ENTITY,DATE,EXPENSE_AREA_3,EXPENSE_TYPE_3,SUPPLIER,TRANSACTION_NUMBER,DISTRIBUTION_AMOUNT,DESCRIPTION,SUPPLIER_POSTCODE,PROJECT_CODE,PROG / ADMIN?,Contract Number,SUPPLIER_TYPE,INV_NUM
MoJ HQ,3-Oct-11,MD600-Information Directorate,245000-Grants in Aid to NDPBs,INFORMATION COMMISSIONER (ICO),1058368,"$1,125,000.00 ",Grant-in-aid requirement for Arm's Length Body - Q3 Payment,SK9 5AF,0,Grant,,,MD10509115
MoJ HQ,13-Oct-11,MF600-Directorate of Judicial Offices,223000-Other Expenditure,CALDER CONFERENCES LTD,1059086,"$57,787.43 ",Hire of QEII Conference Centre 6th and 12th October,LS16 6RF,0,Programme,,,MOJHQ041011-10
MoJ HQ,27-Oct-11,MF400-DJO - TRIBS,223000-Other Expenditure,CALDER CONFERENCES LTD,1060051,"$33,144.37 ","Cost for Conference venue, accommodation, catering and other costs relating to Judicial Training Conferences. - MF174",LS16 6RF,0,Programme,,,MOJHMCTS141011-10
MoJ HQ,6-Oct-11,MF400-DJO - TRIBS,223000-Other Expenditure,CALDER CONFERENCES LTD,1058499,"$27,977.73 ","Cost for Conference venue, accommodation, catering and other costs relating to Judicial Training Conferences. - MF174",LS16 6RF,0,Programme,,,MOJHMCTS290911-10-A
MoJ HQ,17-Oct-11,RB999-JPG - CJRD,246000-Current Grants,VICTIM SUPPORT,1059467,"$9,500,000.00 ",3rd quarter grant payment to the VS for the provision of services to the victims of crime in England and Wales,W1W 6JL,0,Grant,,,RB31110158
MoJ HQ,31-Oct-11,RB999-JPG - CJRD,246000-Current Grants,THE SALVATION ARMY,1060462,"$500,000.00 ","RB311 - The Salvation Army acts as prime contractor, commissioning services on behalf of Govt for victims of trafficking. The contract is valued at £2m per annum, with payments of £500k per quarter starting on 1 October 2011.",SE1 6BN,0,Grant,,,970687
MoJ HQ,24-Oct-11,RB999-JPG - CJRD,223000-Other Expenditure,LANCASHIRE POLICE AUTHORITY,1059896,"$44,993.09 ",Provision of one witness protection officer and support staff to help with the joint MoJ/ACPO Project to set up the UK Protected persons Service. RB311,PR4 5SB,0,Programme,,,7200001274
MoJ HQ,6-Oct-11,RB999-JPG - CJRD,246000-Current Grants,NSPCC,1058681,"$36,360.03 ",Payments to voluntary sector organisations to provide specialist support to victims and witnesses of crime from the 2011/12 Victim & Witness General Fund - 3rd qtr payment ,EC2A 3NH,0,Grant,,,GF/2011/047/SXV/Q3/2011
MoJ HQ,6-Oct-11,RB999-JPG - CJRD,246000-Current Grants,LIGHTHOUSE WOMEN'S AID LTD TRADING AS IPSWICH WOMEN'S AID,1058638,"$31,704.75 ",Payments to voluntary sector organisations to provide specialist support to victims and witnesses of crime from the 2011/12 Victim & Witness General Fund - 3rd qtr payment ,IP1 1HE,0,Grant,,,GF/2011/275/DV/Q3/2011
MoJ HQ,6-Oct-11,RB999-JPG - CJRD,246000-Current Grants,IPSWICH AND SUFFOLK COUNCIL FOR RACIAL EQUALITY,1058611,"$31,275.00 ",Payments to voluntary sector organisations to provide specialist support to victims and witnesses of crime from the 2011/12 Victim & Witness General Fund - 3rd qtr payment ,IP1 3EP,0,Grant,,,GF/2011/122/HC/Q3/2011
MoJ HQ,6-Oct-11,RB999-JPG - CJRD,246000-Current Grants,REFUGE,1058717,"$28,864.75 ",Payments to voluntary sector organisations to provide specialist support to victims and witnesses of crime from the 2011/12 Victim & Witness General Fund - 3rd qtr payment ,E1W 1UN,0,Grant,,,GF/2011/015/OTH/Q3/2011
MoJ HQ,6-Oct-11,RB999-JPG - CJRD,246000-Current Grants,ROAD VICTIMS TRUST,1058725,"$28,411.00 ",Payments to voluntary sector organisations to provide specialist support to victims and witnesses of crime from the 2011/12 Victim & Witness General Fund - 3rd qtr payment , MK42 8BH,0,Grant,,,GF/2011/147/RT/Q3/2011
MoJ HQ,6-Oct-11,RB999-JPG - CJRD,246000-Current Grants,DOMESTIC VIOLENCE AND ABUSE SERVICE (SOUTH AND WEST DEVON),1058540,"$27,450.01 ",Payments to voluntary sector organisations to provide specialist support to victims and witnesses of crime from the 2011/12 Victim & Witness General Fund - 3rd qtr payment ,TQ12 1LZ,0,Grant,,,GF/2011/104/DV/Q3/2011
MoJ HQ,6-Oct-11,RB999-JPG - CJRD,246000-Current Grants,ROADPEACE,1058726,"$26,055.47 ",Payments to voluntary sector organisations to provide specialist support to victims and witnesses of crime from the 2011/12 Victim & Witness General Fund - 3rd qtr payment ,SW9 8RR,0,Grant,,,GF/2011/206/RT/Q3/2011
MoJ HQ,10-Oct-11,RB999-JPG - CJRD,265000-IT & Telecommunications,LOGICA UK LTD,1058955,"$43,550.00 ",Managed Service support for CJ MIS,CF31 9AP,0,Programme,,,358408
MoJ HQ,7-Oct-11,RC999-Criminal Justice Group - OMS,245000-Grants in Aid to NDPBs,YOUTH JUSTICE BOARD FOR ENGLAND & WALES,6413,"$37,950,000.00 ",Grant-in-aid requirement for Arm's Length Body - October,SW1V 2QZ,0,Grant,,,RC20511353
MoJ HQ,10-Oct-11,RC999-Criminal Justice Group - OMS,246000-Current Grants,CLINKS,1058896,"$225,500.00 ",Reducing re-offending national voluntary sector infrastructure grant funding ,YO1 6JH,0,Grant,,,QA10011352
MoJ HQ,10-Oct-11,RC999-Criminal Justice Group - OMS,246000-Current Grants,ACTION FOR PRISONERS FAMILIES,1058862,"$60,000.00 ",Reducing re-offending national voluntary sector infrastructure grant funding ,SW15 2NQ,0,Grant,,SME,QA10011350
MoJ HQ,10-Oct-11,RC999-Criminal Justice Group - OMS,246000-Current Grants,WOMENCENTRE LTD,1059035,"$50,000.00 ",Reducing re-offending national voluntary sector infrastructure grant funding ,HX1 1JN,0,Grant,,,QA10011349
MoJ HQ,10-Oct-11,RC999-Criminal Justice Group - OMS,246000-Current Grants,BLACK TRAINING AND ENTERPRISE GROUP,1058876,"$37,500.00 ",Reducing re-offending national voluntary sector infrastructure grant funding ,N1 9LH,0,Grant,,SME,QA10011351
MoJ HQ,10-Oct-11,RC999-Criminal Justice Group - OMS,246000-Current Grants,CLINKS,1058896,"$27,000.00 ",Reducing re-offending national voluntary sector infrastructure grant funding ,YO1 6JH,0,Grant,,,QA10011352
