Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number,  Amount  ,Vat Registration Num,PO Line Description,Expenditure Type,Contract Number
Department of Health,Department of Health,01/08/2012,Admin Revenue Grant-in-Aid ENDPBs,ER External Relations,COUNCIL FOR HEALTHCARE REGULATORY EXCELLENCE (CHRE),PUBLIC,WC2N 5HR,DH028," 250,000.00 ",,CHRE Grant-In-Aid Revenue Cash Drawdown 2012/13,Admin,
Department of Health,Department of Health,01/08/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,"ASHTON, LEIGH & WIGAN PCT",PUBLIC,WN1 1AH,HAFS-13649," 37,000,000.00 ",,,Other,
Department of Health,Department of Health,01/08/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BARKING AND DAGENHAM PCT,PUBLIC,IG11 8EY,HAFS-13650," 24,000,000.00 ",,,Other,
Department of Health,Department of Health,01/08/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BARNET PCT,PUBLIC,NW9 6QQ,HAFS-13651," 40,000,000.00 ",,,Other,
Department of Health,Department of Health,01/08/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BARNSLEY PCT,PUBLIC,S70 3RD,HAFS-13652," 47,000,000.00 ",,,Other,
Department of Health,Department of Health,01/08/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BASSETLAW PCT,PUBLIC,NG21 0ER,HAFS-13653," 12,000,000.00 ",,,Other,
Department of Health,Department of Health,01/08/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BATH & NORTH EAST SOMERSET PCT,PUBLIC,BA2 5RP,HAFS-13654," 21,000,000.00 ",,,Other,
Department of Health,Department of Health,01/08/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BEDFORDSHIRE PCT,PUBLIC,MK40 2AW,HAFS-13655," 48,000,000.00 ",,,Other,
Department of Health,Department of Health,01/08/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BERKSHIRE EAST PCT,PUBLIC,RG30 2BA,HAFS-13656," 37,912,000.00 ",,,Other,
Department of Health,Department of Health,01/08/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BERKSHIRE WEST PCT,PUBLIC,RG30 2BA,HAFS-13657," 45,000,000.00 ",,,Other,
