Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction No,Payment Description, Total 
Ministry of Defence,Ministry of Defence,10/10/2013,IT and communication services,Head Office & Corporate Services,OFFICE OF COMMUNICATIONS (OFCOM),SE1 9HA,259302,Line + telephone rental including commercial charge for use of radio frequencies,"38,719,600.00"
Ministry of Defence,Ministry of Defence,16/10/2013,Property leases,Defence Infrastructure Organisation ,ASPIRE DEFENCE LIMITED,SP9 7QD,261034,Property dwellings private finance initiative - service concession arrangement service charge,"23,404,150.72"
Ministry of Defence,Ministry of Defence,31/10/2013,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,SHELL EASTERN TRADING (PTE) LIMITED,,2000020512,Raw materials and consumable marine fuel inventory purchased,"18,353,842.59"
Ministry of Defence,Ministry of Defence,09/10/2013,Estate management,Defence Infrastructure Organisation ,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,258555,Estate core services charge,"10,040,886.57"
Ministry of Defence,Ministry of Defence,17/10/2013,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,11217,Monthly GPC payment,"8,575,014.57"
Ministry of Defence,Ministry of Defence,15/10/2013,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,11216,Monthly GPC payment,"8,366,203.40"
Ministry of Defence,Ministry of Defence,09/10/2013,Property leases,Defence Infrastructure Organisation ,MODUS SERVICES LIMITED,SW1A 2HB,258692,Property non dwellings private finance initiative - service concession arrangement service charge,"6,921,185.12"
Ministry of Defence,Ministry of Defence,03/10/2013,Fees for professional services,Land Forces,CAPITA BUSINESS SERVICES LTD,DL1 9HN,256634,Fees for professional services excluding legal fees,"6,643,523.88"
Ministry of Defence,Ministry of Defence,18/10/2013,Estate management,Defence Infrastructure Organisation ,RMPA SERVICES PLC,CO2 7ST,262758,Estate + facilities management services - accommodation inventory + service,"5,917,071.05"
Ministry of Defence,Ministry of Defence,31/10/2013,Fees for professional services,Land Forces,CAPITA BUSINESS SERVICES LTD,DL1 9HN,267330,Fees for professional services excluding legal fees,"5,395,927.67"
Ministry of Defence,Ministry of Defence,24/10/2013,Estate management,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,264789,Estate core services charge,"5,343,173.19"
Ministry of Defence,Ministry of Defence,14/10/2013,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,260408,Cost of food purchases,"5,335,490.84"
Ministry of Defence,Ministry of Defence,18/10/2013,Estate management,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,262474,Estate + facilities management services - accommodation inventory + service,"5,318,476.49"
Ministry of Defence,Ministry of Defence,10/10/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,259023,Fiscal asset under construction - capital in year addition,"5,227,004.03"
Ministry of Defence,Ministry of Defence,11/10/2013,Estate management,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,259558,Works - estate management,"4,762,951.58"
Ministry of Defence,Ministry of Defence,11/10/2013,Payment of utilities,Defence Infrastructure Organisation ,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,259616,Utilities consumed - electricity,"4,646,619.10"
Ministry of Defence,Ministry of Defence,30/10/2013,Estate management,Defence Infrastructure Organisation ,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,266975,Estate core services charge,"4,636,246.12"
Ministry of Defence,Ministry of Defence,25/10/2013,Design services and minor equipment purchases,Defence Equipment & Support,BAE SYSTEMS (OPERATIONS) LIMITED,PR4 1AX,265149,Equipment support non-project costs,"4,514,862.00"
Ministry of Defence,Ministry of Defence,30/10/2013,Fees for professional services,Head Office & Corporate Services,CSC COMPUTER SCIENCES LIMITED.,GU11 1PZ,266878,Fees for professional services excluding legal fees,"4,390,290.42"
Ministry of Defence,Ministry of Defence,14/10/2013,Estate management,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,260130,Estate core services charge,"3,854,065.12"
Ministry of Defence,Ministry of Defence,09/10/2013,Estate management,Defence Infrastructure Organisation ,BABCOCK DYNCORP LIMITED,PE28 2EA,258480,Estate core services charge,"3,833,339.65"
Ministry of Defence,Ministry of Defence,03/10/2013,Fees for professional services,Head Office & Corporate Services,CSC COMPUTER SCIENCES LIMITED.,GU11 1PZ,256678,Fees for professional services excluding legal fees,"3,724,866.66"
Ministry of Defence,Ministry of Defence,28/10/2013,Rental of plant and machinery,Defence Equipment & Support,ALC (SPC) LIMITED,OX25 2LD,265750,Plant + machinery private finance initiative - service concession arrangements service charge,"3,513,867.79"
Ministry of Defence,Ministry of Defence,23/10/2013,Estate management,Defence Infrastructure Organisation ,INTERSERVE (DEFENCE) LTD,BS32 4NH,5000103609,Works - estate management,"3,258,588.40"
Ministry of Defence,Ministry of Defence,18/10/2013,Rental of plant and machinery,Defence Equipment & Support,ALC (SPC) LIMITED,OX25 2LD,262239,Plant + machinery private finance initiative - service concession arrangements service charge,"3,242,204.02"
Ministry of Defence,Ministry of Defence,16/10/2013,Estate management,Defence Infrastructure Organisation ,BABCOCK SUPPORT SERVICES LIMITED,BS3 2HQ,5000103314,Estate core services charge,"3,106,424.19"
Ministry of Defence,Ministry of Defence,11/10/2013,Estate management,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,259737,Estate core services charge,"3,068,444.02"
Ministry of Defence,Ministry of Defence,03/10/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,SKANSKA UK PLC,GU21 6HR,257002,Fiscal asset under construction - capital in year addition,"2,803,674.33"
Ministry of Defence,Ministry of Defence,18/10/2013,General services and support,Defence Equipment & Support,BAE SYSTEMS GLOBAL COMBAT SYSTEMS LIMITED,NP15 1XL,262287,Defence equipment CLS/IOS service charge,"2,739,816.00"
Ministry of Defence,Ministry of Defence,18/10/2013,Purchase of buildings and military equipment ,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,262474,Fiscal asset under construction - capital in year addition,"2,685,087.05"
Ministry of Defence,Ministry of Defence,22/10/2013,Estate management,Defence Infrastructure Organisation ,BABCOCK SUPPORT SERVICES LIMITED,BS3 2HQ,5000103553,Estate core services charge,"2,586,399.41"
Ministry of Defence,Ministry of Defence,16/10/2013,Grants to NDPBs,Land Forces,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,261130,Grant in aid to the council of reserve forces and cadet associations,"2,560,041.00"
Ministry of Defence,Ministry of Defence,07/10/2013,Property leases,Joint Forces Command,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,SN6 8TS,257700,Property non dwellings private finance initiative - service concession arrangement service charge,"2,430,808.48"
Ministry of Defence,Ministry of Defence,14/10/2013,Payment of utilities,Defence Infrastructure Organisation ,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,260197,Utilities consumed - electricity,"2,399,215.76"
Ministry of Defence,Ministry of Defence,16/10/2013,Design services and minor equipment purchases,Defence Equipment & Support,EUROCOPTER UK LIMITED,OX5 1QZ,5000103319,Equipment support project costs,"2,382,173.12"
Ministry of Defence,Ministry of Defence,18/10/2013,Purchase of buildings and military equipment ,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,262377,Fiscal asset under construction - capital in year addition,"2,305,571.91"
Ministry of Defence,Ministry of Defence,24/10/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,264789,Fiscal asset under construction - capital in year addition,"2,230,294.78"
Ministry of Defence,Ministry of Defence,11/10/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,259558,Fiscal asset under construction - capital in year addition,"2,207,010.15"
Ministry of Defence,Ministry of Defence,08/10/2013,Spend on Inventory - General,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,258348,Spend on Inventory - General,"2,194,065.07"
Ministry of Defence,Ministry of Defence,11/10/2013,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,WORLD FUEL SERVICES EUROPE  LTD.,SW1E 5BH,2000020327,Raw materials and consumable aviation fuel inventory purchased,"2,179,349.68"
Ministry of Defence,Ministry of Defence,22/10/2013,Estate management,Defence Infrastructure Organisation ,INTERSERVE (DEFENCE) LTD,BS32 4NH,263655,Works services - excluding United States forces/NATO + married quarters,"2,178,201.40"
Ministry of Defence,Ministry of Defence,28/10/2013,Design services and minor equipment purchases,Defence Equipment & Support,ORGANISATION FOR JOINT ARMAMENTS CO-OPERATION EXECUTIVE ADMIN,,5000103775,Equipment support project costs,"2,147,331.93"
Ministry of Defence,Ministry of Defence,10/10/2013,Grants to NDPBs,Defence Infrastructure Organisation ,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,259012,Grant in aid to the council of reserve forces and cadet associations,"2,119,291.00"
Ministry of Defence,Ministry of Defence,28/10/2013,Transport hire charges,Land Forces,BUSVERKEHR OSTWESTFALEN GMBH,,5000103752,Transport other hire charge,"2,110,411.90"
Ministry of Defence,Ministry of Defence,02/10/2013,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,BP OIL INTERNATIONAL LIMITED,TW16 7BP,2000020218,Raw materials and consumable aviation fuel inventory purchased,"2,083,191.94"
Ministry of Defence,Ministry of Defence,09/10/2013,Estate management,Defence Infrastructure Organisation ,INTERSERVE (DEFENCE) LTD,BS32 4NH,258634,Works services - excluding United States forces/NATO + married quarters,"1,992,598.80"
Ministry of Defence,Ministry of Defence,30/10/2013,Estate management,Defence Infrastructure Organisation ,BABCOCK DYNCORP LIMITED,PE28 2EA,266793,Works - estate management,"1,931,502.88"
Ministry of Defence,Ministry of Defence,07/10/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,257699,Fiscal asset under construction - capital in year addition,"1,924,602.43"
Ministry of Defence,Ministry of Defence,10/10/2013,Estate management,Defence Infrastructure Organisation ,COMPASS CONTRACT SERVICES (U K)LIMITED,B45 9PZ,259001,Estate + facilities management services - accommodation inventory + service,"1,880,491.96"
Ministry of Defence,Ministry of Defence,04/10/2013,Estate management,Defence Infrastructure Organisation ,INTERSERVE (DEFENCE) LTD,BS32 4NH,257306,Works services - excluding United States forces/NATO + married quarters,"1,777,772.77"
Ministry of Defence,Defence Science and Technology Laboratory,18/10/2013,Facility Management Costs,Infrastructure,SERCO LIMITED,,V - 9000155202 - 00172358,Facility Management Costs,"1,773,642.63"
Ministry of Defence,Ministry of Defence,01/10/2013,Estate management,Defence Infrastructure Organisation ,ISS MEDICLEAN LIMITED,GU21 5RW,255875,Estate + facilities management services - accommodation inventory + service,"1,771,907.12"
Ministry of Defence,Ministry of Defence,16/10/2013,Property leases,Land Forces,DEFENCE TRAINING SERVICES LIMITED,BA2 3RH,261150,Property non dwellings private finance initiative - service concession arrangement service charge,"1,768,259.73"
Ministry of Defence,Ministry of Defence,21/10/2013,Estate management,Defence Infrastructure Organisation ,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,263156,Estate core services charge,"1,635,568.00"
Ministry of Defence,Ministry of Defence,09/10/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,258555,Fiscal asset under construction - capital in year addition,"1,632,047.52"
Ministry of Defence,Ministry of Defence,10/10/2013,Fees for professional services,Head Office & Corporate Services,SERVICES SOUND & VISION CORPORATION,SL9 8TN,259381,Fees for professional services excluding legal fees,"1,615,166.00"
Ministry of Defence,Ministry of Defence,09/10/2013,Externally delivered education and training,Navy Command,BABCOCK FLAGSHIP LIMITED,BS23 6BS,258481,External military training ,"1,610,265.00"
Ministry of Defence,Ministry of Defence,24/10/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,CARILLION CONSTRUCTION LIMITED,WV1 4HY,264562,Fiscal asset under construction - capital in year addition,"1,547,305.40"
Ministry of Defence,Ministry of Defence,08/10/2013,Payment of utilities,Defence Infrastructure Organisation ,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,258221,Utilities consumed - electricity,"1,547,145.67"
Ministry of Defence,Ministry of Defence,22/10/2013,Purchase of buildings and military equipment ,Defence Equipment & Support,IBM UNITED KINGDOM LIMITED,PO6 3AE,263647,Fiscal asset under construction - capital in year addition,"1,540,570.25"
Ministry of Defence,Ministry of Defence,28/10/2013,Grants to Reserves Forces and Cadets Association,Defence Infrastructure Organisation ,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,265854,Grants to reserve forces and cadet associations,"1,501,983.01"
Ministry of Defence,Ministry of Defence,10/10/2013,Fees for professional services,Joint Forces Command,SERCO LIMITED,RG27 9UY,259380,Fees for professional services excluding legal fees,"1,448,440.91"
Ministry of Defence,Ministry of Defence,09/10/2013,Design services and minor equipment purchases,Air Command,SERCO LIMITED,RG27 9UY,258792,Equipment support non-project costs,"1,429,880.73"
Ministry of Defence,Defence Science and Technology Laboratory,04/10/2013,Capital Asset expenditure,Infrastructure,SERCO LIMITED,,V - 9000154981 - 00170316,Capital Asset expenditure,"1,391,669.07"
Ministry of Defence,Ministry of Defence,04/10/2013,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,257424,Cost of food purchases,"1,343,298.35"
Ministry of Defence,Ministry of Defence,22/10/2013,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,263812,Cost of food purchases,"1,278,580.19"
Ministry of Defence,Ministry of Defence,28/10/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,265854,Fiscal asset under construction - capital in year addition,"1,269,402.00"
Ministry of Defence,Ministry of Defence,10/10/2013,IT and communication services,Defence Equipment & Support,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,RG12 1HN,259141,Information technology services,"1,259,912.70"
Ministry of Defence,Ministry of Defence,18/10/2013,Estate management,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,262788,Estate + facilities management services - accommodation inventory + service,"1,236,401.08"
Ministry of Defence,Ministry of Defence,18/10/2013,Payment of utilities,Defence Infrastructure Organisation ,ELECTRICITY AUTHORITY OF CYPRUS,CY1399,5000103401,Utilities consumed - electricity,"1,230,955.42"
Ministry of Defence,Ministry of Defence,22/10/2013,Transport hire charges,Air Command,BABCOCK AEROSPACE LIMITED,BH23 6BS,263464,Transport fighting equipment operating lease,"1,208,729.00"
Ministry of Defence,Ministry of Defence,03/10/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,256685,Fiscal asset under construction - capital in year addition,"1,197,464.86"
Ministry of Defence,Ministry of Defence,28/10/2013,Design services and minor equipment purchases,Defence Equipment & Support,EUROCOPTER UK LIMITED,OX5 1QZ,5000103758,Equipment support project costs,"1,191,086.56"
Ministry of Defence,Defence Science and Technology Laboratory,18/10/2013,Sub Contracted Research,Operations,SELEX ES LIMITED,,V - 9000155204 - 00171127,Sub Contracted Research,"1,131,240.00"
Ministry of Defence,Ministry of Defence,30/10/2013,Estate management,Defence Infrastructure Organisation ,INTERSERVE (DEFENCE) LTD,BS32 4NH,266957,Works services - excluding United States forces/NATO + married quarters,"1,128,869.63"
Ministry of Defence,Ministry of Defence,25/10/2013,"Transportation of personnel, freight and travel expenses",Land Forces,AGILITY LOGISTICS LIMITED,RG1 2LG,265102,Movement of service personnel,"1,126,609.33"
Ministry of Defence,Ministry of Defence,03/10/2013,Property leases,Defence Infrastructure Organisation ,FALCON SUPPORT SERVICES LIMITED,RG10 9JU,256731,Property dwellings private finance initiative - service concession arrangement service charge,"1,122,005.25"
Ministry of Defence,Ministry of Defence,21/10/2013,Fees for professional services,Head Office & Corporate Services,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2.00E+11,Fees for professional services excluding legal fees,"1,109,402.37"
Ministry of Defence,Ministry of Defence,03/10/2013,Estate management,Defence Infrastructure Organisation ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,257068,Works - estate management,"1,102,480.16"
Ministry of Defence,Ministry of Defence,11/10/2013,Spend on Inventory - General,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,259863,Spend on Inventory - General,"1,093,744.72"
Ministry of Defence,Ministry of Defence,17/10/2013,Estate management,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,262143,Estate + facilities management services - accommodation inventory + service,"1,089,760.34"
Ministry of Defence,Ministry of Defence,24/10/2013,Externally delivered education and training,Air Command,BABCOCK LAND LIMITED,BH23 9BS,264504,External military training ,"1,083,825.56"
Ministry of Defence,Ministry of Defence,30/10/2013,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,267084,Cost of food purchases,"1,078,116.64"
Ministry of Defence,Ministry of Defence,22/10/2013,Property leases,Joint Forces Command,MINERVA EDUCATION AND TRAINING  LIMITED,RG10 9JU,263716,Property non dwellings private finance initiative - service concession arrangement service charge,"1,067,422.05"
Ministry of Defence,Ministry of Defence,01/10/2013,Property leases,Joint Forces Command,MINERVA EDUCATION AND TRAINING  LIMITED,RG10 9JU,255908,Property non dwellings private finance initiative - service concession arrangement service charge,"1,045,304.79"
Ministry of Defence,Ministry of Defence,09/10/2013,Estate management,Defence Infrastructure Organisation ,BABCOCK DYNCORP LIMITED,PE28 2EA,258480,Works - estate management,"1,037,466.48"
Ministry of Defence,Ministry of Defence,08/10/2013,Service and civilian recruitment,Air Command,GROUPM UK LIMITED,WC1X 8RX,258238,Service recruitment excluding recruitment related external assistance,"983,916.44"
Ministry of Defence,Ministry of Defence,11/10/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,259595,Fiscal asset under construction - capital in year addition,"968,548.98"
Ministry of Defence,Ministry of Defence,08/10/2013,Estate management,Defence Infrastructure Organisation ,INTERSERVE (DEFENCE) LTD,BS32 4NH,5000103004,Works services - excluding United States forces/NATO + married quarters,"963,787.00"
Ministry of Defence,Ministry of Defence,02/10/2013,Payment of utilities,Defence Infrastructure Organisation ,ELECTRICITY AUTHORITY OF CYPRUS,CY1399,5000102782,Utilities consumed - electricity,"959,286.45"
Ministry of Defence,Ministry of Defence,30/10/2013,Estate management,Defence Infrastructure Organisation ,SERCO LIMITED,RG27 9UY,267119,Estate + facilities management services - accommodation inventory + service,"957,177.27"
Ministry of Defence,Ministry of Defence,01/10/2013,Grants to NDPBs,Land Forces,ROYAL HOSPITAL,SW3 4SR,255982,Operating costs grant in aid to the Royal Hospital Chelsea,"948,750.00"
Ministry of Defence,Ministry of Defence,31/10/2013,Grants to NDPBs,Land Forces,ROYAL HOSPITAL,SW3 4SR,267691,Operating costs grant in aid to the Royal Hospital Chelsea,"948,750.00"
Ministry of Defence,Ministry of Defence,16/10/2013,Property leases,Defence Infrastructure Organisation ,MODUS SERVICES LIMITED,SW1A 2HB,261340,Property non dwellings private finance initiative - service concession arrangement service charge,"934,242.21"
Ministry of Defence,Ministry of Defence,11/10/2013,Purchase of buildings and military equipment ,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,259605,Fiscal asset under construction - capital in year addition,"931,850.96"
Ministry of Defence,Ministry of Defence,03/10/2013,Property leases,Defence Infrastructure Organisation ,VEOLIA WATER NEVIS LIMITED,WS11 8JP,257090,Property non dwellings private finance initiative - service concession arrangement service charge,"926,290.43"
Ministry of Defence,Ministry of Defence,17/10/2013,Estate management,Defence Infrastructure Organisation ,BEZIRKSREGIERUNG DUESSELDORF,,5000103349,Works - estate management,"910,249.48"
Ministry of Defence,Ministry of Defence,21/10/2013,International contributions,Head Office & Corporate Services,INTERNATIONAL SCIENCE AND TECHNOLOGY CENTRE,,2000020409,Defence military assistance fund international subscriptions and other payments,"903,467.50"
Ministry of Defence,Ministry of Defence,25/10/2013,Research and development,Joint Forces Command,BAE SYSTEMS (OPERATIONS) LIMITED,GU14 6YU,265151,transport fighting equipment operating lease,"901,963.00"
Ministry of Defence,Ministry of Defence,30/10/2013,Estate management,Defence Infrastructure Organisation ,BABCOCK DYNCORP LIMITED,PE28 2EA,266793,Estate core services charge,"893,441.71"
Ministry of Defence,Ministry of Defence,17/10/2013,Research and development,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,261766,Research and development excluding defence science and technology laboratory,"888,409.82"
Ministry of Defence,Ministry of Defence,18/10/2013,Estate management,Defence Infrastructure Organisation ,INTERSERVE (DEFENCE) LTD,BS32 4NH,262496,Works services - excluding United States forces/NATO + married quarters,"886,984.53"
Ministry of Defence,Ministry of Defence,16/10/2013,Payment of utilities,Defence Infrastructure Organisation ,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,261128,Utilities consumed - gas,"884,483.58"
Ministry of Defence,Ministry of Defence,29/10/2013,Fees for professional services,Head Office & Corporate Services,SERCO LIMITED,RG27 9UY,266695,Fees for professional services excluding legal fees,"876,042.09"
Ministry of Defence,Defence Science and Technology Laboratory,04/10/2013,IT Hardware,Infrastructure,STERIA LIMITED,,V - 9000154962 - 00171343,IT Hardware,"875,709.69"
Ministry of Defence,Ministry of Defence,02/10/2013,Estate management,Defence Infrastructure Organisation ,INTERSERVE (DEFENCE) LTD,BS32 4NH,256251,Works - estate management,"872,679.83"
Ministry of Defence,Ministry of Defence,24/10/2013,Research and development,Joint Forces Command,BAE SYSTEMS (OPERATIONS) LIMITED,GU14 6YU,264512,Research and development excluding defence science and technology laboratory,"860,478.00"
Ministry of Defence,Ministry of Defence,21/10/2013,IT and communication services,Land Forces,HORIZONS INCORPORATED,OH 44128,263122,Information technology services,"852,889.00"
Ministry of Defence,Ministry of Defence,18/10/2013,Estate management,Defence Infrastructure Organisation ,PRIDE (SERP) LTD,GU11 2ER,262735,Works - estate management,"830,636.00"
Ministry of Defence,Ministry of Defence,09/10/2013,Estate management,Defence Infrastructure Organisation ,PRIDE (SERP) LTD,GU11 2ER,258750,Works - estate management,"822,101.00"
Ministry of Defence,Ministry of Defence,29/10/2013,Externally delivered education and training,Air Command,BABCOCK LAND LIMITED,BH23 9BS,266370,External military training ,"804,704.16"
Ministry of Defence,Ministry of Defence,23/10/2013,Grants to NDPBs,Air Command,ROYAL AIR FORCE MUSEUM,NW9 5LL,264331,Operating costs grant in aid to the Royal Air Force museum,"800,000.00"
Ministry of Defence,Ministry of Defence,28/10/2013,Rental of plant and machinery,Defence Equipment & Support,BRIGGS EQUIPMENT UK LIMITED,WS11 8XW,265795,Plant + machinery private finance initiative - service concession arrangements service charge,"797,038.78"
Ministry of Defence,Defence Science and Technology Laboratory,25/10/2013,Repairs & Maintenance,Infrastructure,SERCO LIMITED,,V - 9000155325 - 00172721,Repairs & Maintenance,"795,010.70"
Ministry of Defence,Ministry of Defence,18/10/2013,Design services and minor equipment purchases,Land Forces,UNITED STATES GOVERNMENT,,2000020398,Equipment support non-project costs,"776,562.39"
Ministry of Defence,Ministry of Defence,29/10/2013,Medical treatment & stores and welfare services,Joint Forces Command,CHAS.A.BLATCHFORD & SONS LIMITED,RG22 4AH,266432,Medical health services,"758,520.40"
Ministry of Defence,Ministry of Defence,17/10/2013,Property leases,Defence Infrastructure Organisation ,TRICOMM HOUSING LIMITED,EH3 7HL,262185,Property dwellings private finance initiative - service concession arrangement service charge,"735,981.97"
Ministry of Defence,Ministry of Defence,04/10/2013,Research and development,Defence Equipment & Support,UNITED STATES GOVERNMENT,,178894,Research and development incurred on projects with defence science and technology laboratory,"718,565.84"
Ministry of Defence,Ministry of Defence,31/10/2013,Estate management,Defence Infrastructure Organisation ,PRIDE (SERP) LTD,GU11 2ER,267672,Works - estate management,"715,846.00"
Ministry of Defence,Ministry of Defence,11/10/2013,Grants to NDPBs,Navy Command,SEA CADET CORPS,SE1 7JF,259905,Operating costs grant in aid to the royal navy marine society and sea cadets.,"711,911.00"
Ministry of Defence,Ministry of Defence,30/10/2013,Rent and rates,Defence Infrastructure Organisation ,WILTSHIRE COUNCIL,BA14 4DS,267219,Rent buildings - non civil estate property and married quarter property,"705,525.42"
Ministry of Defence,Ministry of Defence,07/10/2013,Design services and minor equipment purchases,Defence Equipment & Support,BABCOCK AEROSPACE LIMITED,BH23 6BS,257605,Equipment support non-project costs,"702,638.00"
Ministry of Defence,Ministry of Defence,18/10/2013,Estate management,Defence Infrastructure Organisation ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,262863,Works - estate management,"698,676.20"
Ministry of Defence,Ministry of Defence,03/10/2013,Environmental clear up,Defence Infrastructure Organisation ,ASPIRE DEFENCE LIMITED,SP9 7QD,256572,Non nuclear environmental decommissioning liability provision payment against provision,"684,786.76"
Ministry of Defence,Ministry of Defence,07/10/2013,Fees for professional services,Defence Equipment & Support,L.E.K. CONSULTING LLP,SW1X 7JL,257813,Fees for professional services excluding legal fees,"683,963.33"
Ministry of Defence,Defence Science and Technology Laboratory,25/10/2013,Sub Contracted Work,Operations,ROKE MANOR RESEARCH LIMITED,,V - 9000155292 - 00172578,Sub Contracted Work,"683,101.00"
Ministry of Defence,Ministry of Defence,02/10/2013,Estate management,Head Office & Corporate Services,Granada Enterprises Limited,,CO001,Works services - married quarters,"679,298.00"
Ministry of Defence,Ministry of Defence,10/10/2013,Estate management,Defence Infrastructure Organisation ,BABCOCK FLAGSHIP LIMITED,BH23 6BS,258920,Estate + facilities management services - accommodation inventory + service,"670,450.77"
Ministry of Defence,Ministry of Defence,14/10/2013,Purchase of buildings and military equipment ,Defence Equipment & Support,KELLOGG BROWN & ROOT LIMITED,KT22 7NL,260283,Fiscal asset under construction - capital in year addition,"667,452.00"
Ministry of Defence,Ministry of Defence,18/10/2013,Rent and rates,Head Office & Corporate Services,DEPARTMENT FOR WORK AND PENSIONS,CF14 3UW,262376,Rent buildings - non civil estate property and married quarter property,"666,633.07"
Ministry of Defence,Ministry of Defence,22/10/2013,Fees for professional services,Head Office & Corporate Services,CSC COMPUTER SCIENCES LIMITED.,GU11 1PZ,263570,Fees for professional services excluding legal fees,"665,423.76"
Ministry of Defence,Ministry of Defence,11/10/2013,General services and support,Defence Equipment & Support,SAAB AB,,3000009659,Defence equipment CLS/IOS service charge,"650,893.00"
Ministry of Defence,Defence Science and Technology Laboratory,18/10/2013,Sub Contracted Work,Operations,ROKE MANOR RESEARCH LIMITED,,V - 9000155158 - 00171597,Sub Contracted Work,"636,105.00"
Ministry of Defence,Ministry of Defence,09/10/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,258691,Fiscal asset under construction - capital in year addition,"635,918.51"
Ministry of Defence,Ministry of Defence,30/10/2013,IT and communication services,Defence Equipment & Support,CGI IT UK LIMITED,CF31 9AP,266857,Information technology services,"633,229.87"
Ministry of Defence,Ministry of Defence,10/10/2013,Fees for professional services,Head Office & Corporate Services,SERCO LIMITED,RG27 9UY,259380,Fees for professional services excluding legal fees,"632,199.50"
Ministry of Defence,Ministry of Defence,09/10/2013,Externally delivered education and training,Defence Equipment & Support,PRICEWATERHOUSECOOPERS LLP,E14 9SQ,258749,External training - civilian,"626,860.00"
Ministry of Defence,Ministry of Defence,23/10/2013,Estate management,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,264368,Estate + facilities management services - accommodation inventory + service,"622,736.42"
