Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department for Work and Pensions,Employment Programmes,08/10/2010,JOBCENTRE PLUS PATHWAYS TO WORK,EG EMPLOYMENT PROGRAMMES,AMBU LOCAL HEALTH BOARD NEATH PT,591826,"200,892.85"
Department for Work and Pensions,Corporate,11/10/2010,PROFESSIONAL FEES,WWG,SCOTTISH EXECUTIVE,592104,"71,333.34"
Department for Work and Pensions,Corporate,13/10/2010,CAPITAL GRANTS,GROUP FINANCE,WHITE ROSE CREDIT UNION LTD,592318,"21,178.00"
Department for Work and Pensions,Corporate,13/10/2010,EMPLOYMENT ZONES,GROUP FINANCE,WHITE ROSE CREDIT UNION LTD,592318,"25,309.00"
Department for Work and Pensions,Corporate,15/10/2010,EU PROGRAMMES,WWG ,NATIONAL FOUNDATION FOR EDUCATIONAL RESEARCH,592567,"91,643.85"
Department for Work and Pensions,Corporate,15/10/2010,MANAGEMENT CONSULTANCY,GROUP FINANCE,PRICEWATERHOUSE COOPERS LLP,592597,"52,275.86"
Department for Work and Pensions,Corporate,22/10/2010,PROFESSIONAL FEES,DIRECTGOV ,SIMMONS & SIMMONS,593308,"25,082.96"
Department for Work and Pensions,Corporate,22/10/2010,PROFESSIONAL FEES,DIRECTGOV ,SIMMONS & SIMMONS,593308,"6,005.18"
Department for Work and Pensions,Corporate,22/10/2010,PROFESSIONAL FEES,CORPORATE IT,SIMMONS & SIMMONS,593308,"1,070.11"
Department for Work and Pensions,Corporate,25/10/2010,ACCOMMODATION,CORPORATE IT,CHORLEY BUSINESS & TECHNOLOGY CENTRE,593339,"39,520.00"
Department for Work and Pensions,Employment Programmes,01/10/2010,GRANT IN AID,EG EMPLOYMENT PROGRAMMES,REMPLOY LTD,1004443,"10,000,000.00"
Department for Work and Pensions,Corporate,06/10/2010,TOTAL SUPPLIES & SERVICES,EG,COMMUNITY CHANNEL,1004444,"24,820.00"
Department for Work and Pensions,Corporate,06/10/2010,TOTAL SUPPLIES & SERVICES,GROUP FINANCE,NORTHERN IRELAND SOCIAL SECURITY AGENCY,1004445,"38,233.66"
Department for Work and Pensions,Corporate,06/10/2010,AOS CONTRACTED OUT SERVICES,SHARED SERVICES ,XAFINITY CLAYBROOK,1004447,"347,685.07"
Department for Work and Pensions,Corporate,12/10/2010,GRANT IN AID,PENSIONS CLIENT DIRECTORATE,THE PENSIONS OMBUDSMAN,1004451,"726,000.00"
Department for Work and Pensions,Corporate,13/10/2010,APPS DEV,WWG,HP ENTERPRISE SERVICES UK LTD,1004452,"39,718.68"
Department for Work and Pensions,Employment Programmes,14/10/2010,RESIDENTIAL TRAINING,EG EMPLOYMENT PROGRAMMES,ENHAM,1004457,"33,377.08"
Department for Work and Pensions,Employment Programmes,14/10/2010,RESIDENTIAL TRAINING,EG EMPLOYMENT PROGRAMMES,RNIB,1004458,"52,500.00"
Department for Work and Pensions,Employment Programmes,15/10/2010,RESIDENTIAL TRAINING,EG EMPLOYMENT PROGRAMMES,QUEEN ELIZABETHS FOUNDATION TRAINING COLLEGE,1004460,"264,067.47"
