Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount £,Description,
Cabinet Office,Cabinet Office,01/10/2010,ADDITIONSAUC F/H RES CONSULTANCY (FEES) VAT REC,ESTATE MANAGEMENT,ECOVERT FM LTD,3000012482,"61,520.37",Facilities Management : 70 Whitehall Refurbishment Project Phrase 2 ,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,London Councils,1679,"59,748.25",VMP - Volunteer Management Programme,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,Volunteering England,2023,"100,000.00",NSS - National Support Services,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,Essex Disabled People's Association Limited,2164,"27,387.50",IRP - Improving Reach Programme,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,Pendle Community Network Limited,2165,"35,745.00",IRP - Improving Reach Programme,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,"Engage, The West Somerset Voluntary Sector Development Agency",3067,"37,498.00",IRP - Improving Reach Programme,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,London Councils,2238,"188,465.50",IRP - Improving Reach Programme,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,The National Council for Voluntary Organisations,2245,"50,000.00",NPP - National Priorities Programme,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,The National Council for Voluntary Organisations,2017,"150,000.00",NSS - National Support Services,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,B:RAP Ltd,2227,"37,225.00",IRP - Improving Reach Programme,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,Single Parent Action Network,2205,"34,212.50",IRP - Improving Reach Programme,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,Minority Ethnic Network Eastern Region,2216,"32,500.00",IRP - Improving Reach Programme,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,"Cheshire, Halton and Warrington Race and Equality Centre",2182,"34,370.00",IRP - Improving Reach Programme,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,The Media Trust,2018,"100,000.00",NSS - National Support Services,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,Church Action on Poverty Limited,2179,"37,175.00",IRP - Improving Reach Programme,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,The National Council for Voluntary Organisations,2019,"100,000.00",NSS - National Support Services,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,The North East Social Enterprise Partnership Limited,2328,"27,505.00",SEP - Social Enterprise Programme,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,British Association of Settlements and Social Action Centres,2020,"150,000.00",NSS - National Support Services,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,Charities Evaluation Services,2021,"150,000.00",NSS - National Support Services,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,Women's Resource Centre,2022,"100,000.00",NSS - National Support Services,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,Association of Chief Executives of Voluntary Organisations,2024,"150,000.00",NSS - National Support Services,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,Voluntary Organisations' Network North East,2233,"27,747.25",IRP - Improving Reach Programme,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,Greater Manchester Centre for Voluntary Organisation,2088,"55,000.00",CDG - Consortia Development Grant,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,The National Council for Voluntary Organisations,2025,"150,000.00",NSS - National Support Services,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,National Association for Voluntary and Community Action,2242,"50,000.00",NPP - National Priorities Programme,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,National Association for Voluntary and Community Action,2243,"100,000.00",NPP - National Priorities Programme,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,Irish Traveller Movement in Britain,2215,"34,848.00",IRP - Improving Reach Programme,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,Consortia of Ethnic Minority Organisations Limited,2214,"31,417.25",IRP - Improving Reach Programme,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,Federation for Community Development Learning Ltd,2219,"37,500.00",IRP - Improving Reach Programme,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,Leeds Asylum Seekers Support Network,2195,"36,401.25",IRP - Improving Reach Programme,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,Raising Educational Ethnic Minority Achievement Project - REEMAP,2188,"29,125.00",IRP - Improving Reach Programme,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,Sheffield Diocesan Board of Finance,2178,"26,039.00",IRP - Improving Reach Programme,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,The Charities Information Bureau,2013,"27,500.00",CDG - Consortia Development Grant,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,Charities Information Bureau South & West,2504,"36,803.75",MOD - Modernisation Grants,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,London Councils,2081,"175,750.00",CDG - Consortia Development Grant,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,Voluntary Action Wokingham Borough,2474,"29,334.50",MOD - Modernisation Grants,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,London Councils,2463,"35,847.50",MOD - Modernisation Grants,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,London Councils,2039,"140,579.75",MOD - Modernisation Grants,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,Voluntary Sector Training Alliance Ltd,2475,"35,303.40",MOD - Modernisation Grants,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,Sefton Council for Voluntary Service,2089,"33,000.00",CDG - Consortia Development Grant,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,Sefton Council for Voluntary Service,2264,"25,779.50",MOD - Modernisation Grants,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,Sefton Council for Voluntary Service,2138,"33,816.25",MOD - Modernisation Grants,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,Social Enterprise North West Limited,2329,"32,820.00",SEP - Social Enterprise Programme,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,Sport 4 Life Ltd,2220,"30,919.25",IRP - Improving Reach Programme,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,The Tutu Foundation (UK),2174,"37,062.50",IRP - Improving Reach Programme,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,Young Lancashire,2503,"37,469.25",MOD - Modernisation Grants,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,Regional Action and Involvement South East (RAISE),2235,"25,587.50",MOD - Modernisation Grants,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,Community First in Herefordshire & Worcestershire,2059,"28,687.75",MOD - Modernisation Grants,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,Milton Keynes Council of Voluntary Organisations,2046,"27,792.50",MOD - Modernisation Grants,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,Dorset Community Action,2127,"40,126.50",MOD - Modernisation Grants,
Cabinet Office,Capacity Builders,01/10/2010,Grant,Programmes,Social Enterprise South East,2287,"31,250.00",SEP - Social Enterprise Programme,
