Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number, Amount ,Vat Registration Num,Description,Expenditure Type,Contract Number
Department of Health,Department of Health,01/02/2012,External Data Contracts,INFORMATICS,CENTRAL OFFICE OF INFORMATION (COI),,,14244011," 22,142.70 ",,,,
Department of Health,Department of Health,01/02/2012,External Data Contracts,INFORMATICS,CENTRAL OFFICE OF INFORMATION (COI),,,14300105," 22,160.64 ",,,,
Department of Health,Department of Health,01/02/2012,Outsourcing Contract,SOCIAL CARE,CITY AND HACKNEY TEACHING PCT,PUBLIC,E1 1RD,102622611," 32,254.00 ",,City & Hackney Teaching PCT,Programme,
Department of Health,Department of Health,01/02/2012,Policy Payments,SOCIAL CARE,MINISTRY OF JUSTICE (MOJ),PUBLIC,NP209BB,360437," 33,083.15 ",,"Payment to MOJ - NOMS for Audit & Corporate Assurance of Secure Hospitals - November 2010 63 days @ £450 per day = £28,350.00 plus T&S for Audit - £4,733.15 ",Programme,
Department of Health,Department of Health,01/02/2012,Research & development,Research & Development,GATESHEAD HEALTH NHS FOUNDATION TRUST,PUBLIC,NE8 4YL,ERS-451732-55643," 39,168.10 ",,Research Project,Programme,
Department of Health,Department of Health,01/02/2012,External Data Contracts,INFORMATICS,CABLE & WIRELESS UK,,,14323704," 40,322.50 ",,,,
Department of Health,Department of Health,01/02/2012,Utilities,CDD CORPORATE DEVELOPMENT,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,5024736," 41,860.53 ",,"Quarry House Leeds - Accommodation Costs July - March 2012 Utilities Recovery @£40,526.53 mthly",Admin,
Department of Health,Department of Health,01/02/2012,External Data Contracts,INFORMATICS,CABLE & WIRELESS UK,,,14323703," 42,637.16 ",,,,
Department of Health,Department of Health,01/02/2012,Research & development,Research & Development,SALISBURY NHS FOUNDATION TRUST,PUBLIC,SP2 8BJ,ERS-451735-55642," 60,226.00 ",,Research Project,Programme,
Department of Health,Department of Health,01/02/2012,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2448001-21-FEB-12," 76,516.47 ",,,Other,
Department of Health,Department of Health,01/02/2012,Grants to local authorities (CUR),NHS FINANCE PERFORMANCE & OPERATIONS,MIDDLESBROUGH COUNCIL,PUBLIC,TS1 2YL,IW1655/ERS-450707-55272," 92,715.00 ",,DH grant payment WHHP scheme. Middlesbrough Council URN 13 Comfy and cosy in Middlesbrough.  ,Programme,
Department of Health,Department of Health,01/02/2012,Legal / Prof Fees,INFORMATICS,DLA PIPER UK LLP,,,14337006," 93,146.90 ",,,,
Department of Health,Department of Health,01/02/2012,Staff Consultancy & Suppt,INFORMATICS,OXFORD UNIVERSITY HOSPITALS NHS TRUST,,,14259412," 100,913.09 ",,,,
Department of Health,Department of Health,01/02/2012,Storage costs,"PSF POLICY, STRATEGY & FINANCE",TEVA UK LTD,LARGE,,2310233482," 146,197.92 ",,,,
Department of Health,Department of Health,01/02/2012,Storage costs,"PSF POLICY, STRATEGY & FINANCE",TEVA UK LTD,LARGE,,2310233482," 237,471.34 ",,,,
Department of Health,Department of Health,01/02/2012,Outsourcing Contract,WORKFORCE,CARDIFF UNIVERSITY,PUBLIC,CF24 0DE,1029916," 274,706.00 ",,UKFPO - Provision of services to meet the MoU to deliver Specialty Recruitment activity,Programme,
Department of Health,Department of Health,01/02/2012,Rent of Land & Buildings (non-PFI operating lease),CDD CORPORATE DEVELOPMENT,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,5024776," 514,572.51 ",,"Quarry House Leeds - Accommodation Costs July - March 2012 Facilty Price Rent@£484,377.05 mthly.",Admin,
Department of Health,Department of Health,01/02/2012,Grants to local authorities (CUR),NHS FINANCE PERFORMANCE & OPERATIONS,NEWHAM LONDON BOROUGH COUNCIL,PUBLIC,E6 2RP,IW1654/ERS-450710-55275," 700,000.00 ",,"DH grant payment WHHP scheme.  Newham Borough Council.  URN 512 ""East London affordable warmth project""",Programme,
Department of Health,Department of Health,01/02/2012,Outsourcing Contract,NHS MEDICAL DIRECTOR,THE CHRISTIE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,M20 4BX,9663," 1,060,500.00 ",,Provision of cancer registration services for 2011-12 to host the North West Cancer Intelligence Service,Programme,
Department of Health,Department of Health,01/02/2012,Stock Essential Medicines Additions,"PSF POLICY, STRATEGY & FINANCE",TEVA UK LTD,LARGE,,2310233482," 1,069,294.36 ",,,,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,NATIONAL TREATMENT AGENCY FOR SUBSTANCE MISUSE (NTA),PUBLIC,WF3 1WE,HAFS-12249," 1,400,000.00 ",,,Other,
