Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (£)
Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,GIBS LTD,1002189,"251,542.26"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Programme and Project Management Consultancy,DG FINANCE,HAYS SPECIALIST RECRUITMENT LTD,1163726,"11,157.30"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Temporary Staff (Admin and Clerical Only),DG CHANGE & DELIVERY,HAYS SPECIALIST RECRUITMENT LTD,1163726,"14,368.62"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Programme and Project Management Consultancy,DG FINANCE,HAYS SPECIALIST RECRUITMENT LTD,1163726,"12,870.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,IT/IS Consultancy,DG CENTRAL GROUP,HAYS SPECIALIST RECRUITMENT LTD,1163726,"8,064.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Corporate Strategy Consultancy,DG FINANCE,HAYS SPECIALIST RECRUITMENT LTD,1163726,"3,679.62"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Corporate Strategy Consultancy,DG FINANCE,HAYS SPECIALIST RECRUITMENT LTD,1163726,264.4
Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Corporate Strategy Consultancy,DG FINANCE,HAYS SPECIALIST RECRUITMENT LTD,1163726,643.93
Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Corporate Strategy Consultancy,DG FINANCE,HAYS SPECIALIST RECRUITMENT LTD,1163726,46.27
Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,HAYS SPECIALIST RECRUITMENT LTD,1163726,"8,130.49"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Fco Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1163727,"113,130.70"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Fco Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1163727,16.82
Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Fco Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1163727,"19,797.87"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Fco Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1163727,2.94
Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Fco Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1163727,0.01
Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,THE CARBON TRUST,1163753,"34,500.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,P.A.Y.E Income Tax (Oracle PAY Control Account),NON CASH & UNALLOCATED COSTS,HM REVENUE & CUSTOMS,4006772,"4,000,783.16"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,National Insurance (NI) (Oracle PAY Control Account),NON CASH & UNALLOCATED COSTS,HM REVENUE & CUSTOMS,4006772,"2,326,586.95"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Aslc Contribution,NON CASH & UNALLOCATED COSTS,CABINET OFFICE,4006773,"3,376,797.82"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Added Years and Wwpsc,NON CASH & UNALLOCATED COSTS,CABINET OFFICE,4006773,"394,956.89"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Added Years and Wwpsc,NON CASH & UNALLOCATED COSTS,CABINET OFFICE,4006773,"68,442.18"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,COLLIERS MEREDITH & GREW / TECHNOLOGY AGENCY ACCT,2000026560,"38,948.10"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-May-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,NATO,1001549,"4,920,263.14"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-May-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,GIBS LTD,1001551,"39,127.92"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-May-10,Research Budget,UK TRADE AND INVESTMENT DIRECTORATE,ERNST & YOUNG LLP,1163794,"25,000.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-May-10,Research Budget,UK TRADE AND INVESTMENT DIRECTORATE,ERNST & YOUNG LLP,1163794,"4,375.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-May-10,Information Systems Maintenance,DG CENTRAL GROUP,MICROSOFT LIMITED,1163825,"385,500.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-May-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,MICROSOFT LIMITED,1163825,"67,462.50"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-May-10,Training Course: Fees,DG CHANGE & DELIVERY,THE TAYLOR CLARKE PARTNERSHIP LTD,1163861,"25,685.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-May-10,Training Course: Fees,DG CHANGE & DELIVERY,THE TAYLOR CLARKE PARTNERSHIP LTD,1163861,451.2
Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-May-10,Training Course: Fees,DG CHANGE & DELIVERY,THE TAYLOR CLARKE PARTNERSHIP LTD,1163861,240
Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-May-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,THE TAYLOR CLARKE PARTNERSHIP LTD,1163861,"4,615.84"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-May-10,Programme and Project Management Consultancy,DG FINANCE,CONCERTO CONSULTING LTD,1163883,"24,225.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-May-10,Overseas Duty Travel,DG FINANCE,CONCERTO CONSULTING LTD,1163883,"3,377.08"
