Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (�) ,VAT Registration Number
FCO,FCO,01-Dec-10,IT/IS Consultancy,DG CHANGE & DELIVERY,ADVANTAGE TECHNICAL RESOURCING,1004298,"22,000.00",
FCO,FCO,01-Dec-10,IT/IS Consultancy,DG CHANGE & DELIVERY,ADVANTAGE TECHNICAL RESOURCING,1004298,"3,850.00",
FCO,FCO,23-Dec-10,Furniture and Fittings,DG CHANGE & DELIVERY,ARCHER SMITH LTD,1006151,"31,500.00",
FCO,FCO,13-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1005017,"45,200.00",
FCO,FCO,13-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1005017,"1,500.00",
FCO,FCO,13-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1005017,900,
FCO,FCO,13-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1005017,210,
FCO,FCO,13-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1005017,324,
FCO,FCO,13-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1005017,500,
FCO,FCO,13-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1005017,200,
FCO,FCO,13-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1005017,"11,106.00",
FCO,FCO,13-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1005017,68.09,
FCO,FCO,13-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1005017,"1,943.55",
