Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department for Education,DEPARTMENT FOR EDUCATION,01/10/2010,CURRENT GRANTS,Children and Families Improving Information Sharing and Management Group,MINISTRY OF DEFENCE,703083,33025
Department for Education,DEPARTMENT FOR EDUCATION,05/10/2010,CURRENT GRANTS,Children and Families Early Years Extended Schools and Special Needs,BRITISH DYSLEXIA ASSOCIATION,1000272,61327.22
Department for Education,DEPARTMENT FOR EDUCATION,15/10/2010,CURRENT GRANTS,14 - 19 Reform Participation and Attainment,LONDON COUNCILS,1000274,57633.14
Department for Education,TEACHERS PENSION SCHEME,01/10/2010,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP HSBC,1000326,169812.63
Department for Education,TEACHERS PENSION SCHEME,01/10/2010,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP NATWEST,1000327,26229056.75
Department for Education,TEACHERS PENSION SCHEME,04/10/2010,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP NATWEST,1000329,54729773.9
Department for Education,TEACHERS PENSION SCHEME,05/10/2010,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP HSBC,1000330,254975.94
Department for Education,TEACHERS PENSION SCHEME,05/10/2010,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP NATWEST,1000331,23022100.03
Department for Education,TEACHERS PENSION SCHEME,06/10/2010,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP NATWEST,1000334,17690423.9
Department for Education,TEACHERS PENSION SCHEME,06/10/2010,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP HSBC,1000335,32197.1
Department for Education,TEACHERS PENSION SCHEME,06/10/2010,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP NATWEST,1000336,21345684.42
Department for Education,TEACHERS PENSION SCHEME,07/10/2010,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP NATWEST,1000338,16238686.87
Department for Education,TEACHERS PENSION SCHEME,12/10/2010,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP HSBC,1000339,381496.55
Department for Education,TEACHERS PENSION SCHEME,12/10/2010,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP NATWEST,1000340,63131935.27
Department for Education,TEACHERS PENSION SCHEME,13/10/2010,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP HSBC,1000341,158566.8
Department for Education,TEACHERS PENSION SCHEME,13/10/2010,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP NATWEST,1000342,16395428.78
Department for Education,TEACHERS PENSION SCHEME,14/10/2010,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP HSBC,1000343,137266.36
Department for Education,TEACHERS PENSION SCHEME,14/10/2010,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP NATWEST,1000344,16508280.99
Department for Education,TEACHERS PENSION SCHEME,15/10/2010,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP NATWEST,1000346,17622884.64
Department for Education,TEACHERS PENSION SCHEME,15/10/2010,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP HSBC,1000347,397697.23
