Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/12/2014,Consultancy Expenditure,Business & Local Growth - Europen Reform,COMMISSION FOR THE NEW ECONOMY LTD,55281,12889.30,BLG Devolved Admin-Consultancy Expenditure,M1 2HG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/12/2014,Coaching,Enterprise & Skills Group - Vocational Education Directorate,CAPITA BUSINESS SERVICES LTD,56765,2504.00,E&S Devolved Admin-Coaching,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2014,Financial Advice and Services,Shareholder Executive - Business Portfolio,ERNST & YOUNG LLP,57476,20000.00,ShEx Devolved Admin-Financial Advice and Services,SE1 7EU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2014,Other IT Consultancy,Shareholder Executive - Corporate Finance Practice,ERNST & YOUNG LLP,57476,50937.00,ShEx Devolved Admin-Other IT Consultancy,SE1 7EU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2014,Technical Advice / Services & Support,Enterprise & Skills Group - Better Regulation Delivery Office,ITSA LTD,57794,2700.00,BRDO: Competency-Technical Advice / Services & Support,SS15 6TH,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/12/2014,Recruitment Advice and Services,Enterprise & Skills Group - Enterprise Directorate,CAPITA RESOURCING LTD,58315,7969.92,Business Link: Helpline-Recruitment Advice and Services,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2014,Clearing Account - Cost - Leasehold Improvements,Finance & Commercial Group - Estates,EC HARRIS LLP,58821,8705.22,BIS Infrastructure Maintenanc-Clearing Account - Cost - Leasehold Improvements,M60 3NT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/12/2014,Gas,Finance & Commercial Group - Estates,STOCKTON BOROUGH COUNCIL,59078,52.27,F&C Devolved Admin-Gas,TS19 1JA,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/12/2014,Gas,Finance & Commercial Group - Estates,STOCKTON BOROUGH COUNCIL,59078,4.49,F&C Devolved Admin-Gas,TS19 1JA,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2014,Leadership & People Management,"People, Strategy and Higher Education - Director of Change and Corporate Effectiveness, including the BIS Secretariat",THE WINDSOR LEADERSHIP TRUST,59174,41.65,PSHE Devolved Admin-Leadership & People Management,SL4 1EU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/12/2014,Research and Development Expenditure,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,NATIONAL CENTRE FOR SOCIAL RESEARCH(NATCEN),60457,24250.00,Student Support: HE-FE Research-Research and Development Expenditure,EC1V 0AX,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/12/2014,Other Professional Services,Business & Local Growth - Europen Reform,FORUM EUROPE LTD,60576,118.81,E&M Devolved Admin-Other Professional Services,CF10 1BS,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/12/2014,Advertising,Enterprise & Skills Group - Vocational Education Directorate,M4C (A DIVISION OF GROUPM UK LTD),60975,188.09,VE Strategy-Advertising,WC1R 4HQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/12/2014,Advertising,Enterprise & Skills Group - Vocational Education Directorate,M4C (A DIVISION OF GROUPM UK LTD),60975,188086.39,VE Strategy-Advertising,WC1R 4HQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/12/2014,Learning and Dev - CS Skills,Enterprise & Skills Group - Better Regulation Executive (BRE),CAPITA BUSINESS SERVICES LTD,61462,1494.00,E&S Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/12/2014,Learning and Dev - CS Skills,Finance & Commercial Group - Estates,CAPITA BUSINESS SERVICES LTD,61528,178.81,F&C Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2014,Hire of Agency Staff,Finance & Commercial Group - Information and Technology Directorate,ADECCO UK LTD,61950,519.60,F&C Devolved Admin-Hire of Agency Staff,B37 7YE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2014,PR & Marketing Advice & Services,Business & Local Growth - Europen Reform,WILLIAMS LEA LTD,62017,924.93,EU Services Directive: Implementation-PR & Marketing Advice & Services,EC1M 4NA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/12/2014,Hire of Agency Staff,Business & Local Growth - Regional Growth,CAPITA RESOURCING LTD,62285,2868.78,BLG Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/12/2014,Advertising,Enterprise & Skills Group - Vocational Education Directorate,M4C (A DIVISION OF GROUPM UK LTD),62521,42.73,VE Strategy-Advertising,WC1R 4HQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/12/2014,Advertising,Enterprise & Skills Group - Vocational Education Directorate,M4C (A DIVISION OF GROUPM UK LTD),62521,42750.87,VE Strategy-Advertising,WC1R 4HQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/12/2014,Service Charges,Finance & Commercial Group - Estates,WATSON DAY LLP T/A WATSON DAY CHARTERD SURVEYORS,62950,5026.50,F&C Devolved Admin-Service Charges,ME5 8LF,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2014,Service Charges,Finance & Commercial Group - Estates,GVA GRIMLEY LTD,63013,961.20,F&C Devolved Admin-Service Charges,B1 2JJ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2014,Service Charges,Finance & Commercial Group - Estates,GVA GRIMLEY LTD,63014,658.16,F&C Devolved Admin-Service Charges,B1 2JJ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/12/2014,Gas,Finance & Commercial Group - Estates,CORONA ENERGY RETAIL 4 LTD,63083,2125.25,F&C Devolved Admin-Gas,WD17 1JW,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/12/2014,Gas,Finance & Commercial Group - Estates,STOCKTON BOROUGH COUNCIL,63090,6.82,F&C Devolved Admin-Gas,TS19 1JA,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/12/2014,Gas,Finance & Commercial Group - Estates,STOCKTON BOROUGH COUNCIL,63090,54.97,F&C Devolved Admin-Gas,TS19 1JA,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/12/2014,Gas,Finance & Commercial Group - Estates,CORONA ENERGY RETAIL 4 LTD,63146,32.55,F&C Devolved Admin-Gas,WD17 1JW,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/12/2014,Technical Advice / Services & Support,Enterprise & Skills Group - Better Regulation Delivery Office,SCISYS (UK) LTD,63231,280.00,BRDO: PA Delivery-Technical Advice / Services & Support,SN14 0GB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/12/2014,Business Rates,Finance & Commercial Group - Estates,COMPANIES HOUSE,63584,2973.62,F&C Devolved Admin-Business Rates,CF14 3UZ,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/12/2014,Service Charges,Finance & Commercial Group - Estates,COMPANIES HOUSE,63584,6138.29,F&C Devolved Admin-Service Charges,CF14 3UZ,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/12/2014,Business Rates,Finance & Commercial Group - Estates,COMPANIES HOUSE,63584,6405.28,F&C Devolved Admin-Business Rates,CF14 3UZ,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/12/2014,Rentals Under Non-PFI Operating Leases - Buildings,Finance & Commercial Group - Estates,COMPANIES HOUSE,63584,8104.77,F&C Devolved Admin-Rentals Under Non-PFI Operating Leases - Buildings,CF14 3UZ,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/12/2014,Rentals Under Non-PFI Operating Leases - Buildings,Finance & Commercial Group - Estates,CLSH MANAGEMENT LTD,63863,229500.00,F&C Devolved Admin-Rentals Under Non-PFI Operating Leases - Buildings,SW18 1SF,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/12/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),64087,146.70,U.S. - International Scholarships - Fulbright and Others-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/12/2014,Learning and Dev - CS Skills,"People, Strategy and Higher Education - Director of Change and Corporate Effectiveness, including the BIS Secretariat",CAPITA BUSINESS SERVICES LTD,64158,228.00,PSHE Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/12/2014,Learning and Dev - CS Skills,Economics & Markets - Analysis Directorate,CAPITA BUSINESS SERVICES LTD,64162,228.00,E&M Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/12/2014,Advertising,Enterprise & Skills Group - Enterprise Directorate,MINDSHARE MEDIA UK LTD,64173,11992.00,Growth Vouchers-Advertising,WC2H 8AR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/12/2014,Postage,Finance & Commercial Group - Estates,COMPANIES HOUSE,64207,935.63,F&C Devolved Admin-Postage,CF14 3UZ,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/12/2014,Stationery,Finance & Commercial Group - Estates,BANNER BUSINESS SERVICES LTD,64290,262.64,F&C Devolved Admin-Stationery,NR3 1QU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/12/2014,Hire of Agency Staff,Finance & Commercial Group - Modernisation Fund and Shared Services,ADECCO UK LTD,64294,827.58,F&C Devolved Admin-Hire of Agency Staff,B37 7YE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/12/2014,Personnel-related Expenditure,Shareholder Executive - Business Portfolio,ADECCO UK LTD,64299,483.76,ShEx Devolved Admin-Personnel-related Expenditure,B37 7YE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/12/2014,Personnel-related Expenditure,Shareholder Executive - Business Portfolio,ADECCO UK LTD,64300,916.01,ShEx Devolved Admin-Personnel-related Expenditure,B37 7YE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/12/2014,Recruitment Advice and Services,Enterprise & Skills Group - Enterprise Directorate,CAPITA RESOURCING LTD,64328,4027.81,Business Link: Helpline-Recruitment Advice and Services,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2014,Hire of Agency Staff,Business & Local Growth - Regional Growth,CAPITA RESOURCING LTD,64402,2868.78,BLG Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR,,,
