Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/04/2014,PFI IT service costs,Finance & Commercial Group - Information and Technology Directorate,FUJITSU SERVICES LTD,22,180820.47,E&M Devolved Admin-PFI IT service costs,WA3 9BD,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/04/2014,Printing,Finance & Commercial Group - Finance Group,KONICA MINOLTA BUSINESS SOLUTIONS (UK) LTD,3688,9.79,F&C Devolved Admin-Printing,SS14 3AR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/04/2014,PFI IT service costs,Finance & Commercial Group - Information and Technology Directorate,FUJITSU SERVICES LTD,5180,180820.47,F&C Devolved Admin-PFI IT service costs,WA3 9BD,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/04/2014,ICT Maintenance & Upkeep,Finance & Commercial Group - Modernisation Fund and Shared Services,FUJITSU SERVICES LTD,16458,10000.00,F&C Devolved Admin-ICT Maintenance & Upkeep,WA3 9BD,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/04/2014,IT Maintenance and Management Service,Finance & Commercial Group - Information and Technology Directorate,FUJITSU SERVICES LTD,16458,13077.36,F&C Devolved Admin-IT Maintenance and Management Service,WA3 9BD,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/04/2014,Standard Desktop Plus Services,Finance & Commercial Group - Information and Technology Directorate,FUJITSU SERVICES LTD,19414,72.00,F&C Devolved Admin-Standard Desktop Plus Services,WA3 9BD,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/04/2014,Telecoms,Finance & Commercial Group - Information and Technology Directorate,VODAFONE LTD,19601,-586.80,E&M Devolved Admin-Telecoms,RG14 1LA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/04/2014,Telecoms,Finance & Commercial Group - Information and Technology Directorate,VODAFONE LTD,19601,2.00,E&M Devolved Admin-Telecoms,RG14 1LA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/04/2014,Telecoms,Finance & Commercial Group - Information and Technology Directorate,VODAFONE LTD,19601,7.86,E&M Devolved Admin-Telecoms,RG14 1LA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/04/2014,Telecoms,Finance & Commercial Group - Information and Technology Directorate,VODAFONE LTD,19601,578.67,E&M Devolved Admin-Telecoms,RG14 1LA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/04/2014,Telecoms,Finance & Commercial Group - Information and Technology Directorate,VODAFONE LTD,19601,586.80,E&M Devolved Admin-Telecoms,RG14 1LA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/04/2014,Telecoms,Finance & Commercial Group - Information and Technology Directorate,VODAFONE LTD,19601,2549.03,E&M Devolved Admin-Telecoms,RG14 1LA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/04/2014,Consultancy Expenditure,Finance & Commercial Group - Information and Technology Directorate,VODAFONE LTD,19601,13438.02,F&C Devolved Admin-Consultancy Expenditure,RG14 1LA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/04/2014,Catering Supplies,Knowledge & Innovation Group - Innovation Directorate,ELIOR UK PLC,19795,734.00,Collaboration: Business Finance & Investment-Catering Supplies,OX14 3JD,VENDOR,,,
