Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/03/2014,Training And Development Expenditure,Finance & Commercial Group - F&C - Modernisation Fund and Shared Services,CAPITA BUSINESS SERVICES LTD,14016,24390.24,F&C Devolved Admin-Training And Development Expenditure,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/03/2014,Training And Development Expenditure,Finance & Commercial Group - F&C - Modernisation Fund and Shared Services,CAPITA BUSINESS SERVICES LTD,14400,23611.88,F&C Devolved Admin-Training And Development Expenditure,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/03/2014,Training And Development Expenditure,Finance & Commercial Group - F&C - Modernisation Fund and Shared Services,CAPITA BUSINESS SERVICES LTD,14765,31768.29,F&C Devolved Admin-Training And Development Expenditure,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/03/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - KIG - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),16411,214.63,IGPF: UK-India Partnership in Regenerative Medicine-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/03/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - KIG - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),16441,147.49,IGPF: UK-India Partnership in Regenerative Medicine-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/03/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - KIG - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),16442,23.61,IGPF: UK-India Partnership in Regenerative Medicine-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/03/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - KIG - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),16443,111.58,IGPF: UK-India Partnership in Regenerative Medicine-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/03/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - KIG - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),16445,3678.97,IGPF: UK-India Partnership in Regenerative Medicine-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/03/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - KIG - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),16446,787.15,IGPF: UK-India Partnership in Regenerative Medicine-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/03/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - KIG - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),16448,363.74,IGPF: UK-India Partnership in Regenerative Medicine-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,,,
