Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department for Work and Pensions,Jobcentre Plus,28/02/2011,ACCOMMODATION,Jobcentre Plus,TELEREAL TRILLIUM,2019711332,"30,438,174.69"
Department for Work and Pensions,European Social Fund,11/02/2011,ESF NON-PREFUNDED EXPENDITURE,WWEG EUROPEAN SOCIAL FUND,LONDON SKILLS FUNDING AGENCY,5000000468,"12,041,188.00"
Department for Work and Pensions,Corporate,15/02/2011,HOSTING,Corporate IT ,HP ENTERPRISE SERVICES UK LTD,2019496557,"9,443,099.50"
Department for Work and Pensions,Corporate,14/02/2011,COMPUTER SERVICES,Corporate IT ,HP ENTERPRISE SERVICES UK LTD,2019487883,"6,771,613.69"
Department for Work and Pensions,European Social Fund,28/02/2011,ESF NON-PREFUNDED EXPENDITURE,WWEG EUROPEAN SOCIAL FUND,NORTH EAST LEARNING & SKILLS COUNCIL,5000000491,"5,920,102.00"
Department for Work and Pensions,Corporate,07/02/2011,BANKING AND ENCASHMENT COSTS,Group Finance,POST OFFICE LTD,1004630,"5,896,036.85"
Department for Work and Pensions,Corporate,22/02/2011,BANKING AND ENCASHMENT COSTS,Group Finance,POST OFFICE LTD,1004648,"5,634,000.58"
Department for Work and Pensions,Corporate,18/02/2011,NETWORK,Corporate IT ,BT GLOBAL SERVICES,2019589624,"5,576,402.97"
Department for Work and Pensions,Corporate,24/02/2011,Grant in Aid,Balance Sheet Payments,NEST CORPORTATION,2002454,"5,500,000.00"
Department for Work and Pensions,Corporate,28/02/2011,TRADE DEBTORS,Balance Sheet Payments,TELEREAL TRILLIUM,2019711332,"4,641,174.16"
Department for Work and Pensions,Jobcentre Plus,23/02/2011,CONTRACTED OUT SERVICES,Jobcentre Plus,DEPARTMENT OF SOCIAL DEVELOPMENT,1004649,"4,274,331.00"
Department for Work and Pensions,Jobcentre Plus,09/02/2011,MEDICAL SERVICES,Jobcentre Plus,ATOS ORIGIN MEDICAL SERVICES,2019400684,"4,134,181.20"
Department for Work and Pensions,Employment Programmes,11/02/2011,WORKING NEIGHBOURHOOD PILOTS,WWEG EMPLOYMENT PROGRAMMES,DCLG,2002420,"3,697,500.00"
Department for Work and Pensions,Corporate,15/02/2011,HOSTING,Corporate IT ,HP ENTERPRISE SERVICES UK LTD,2019496556,"3,516,303.19"
Department for Work and Pensions,Corporate,15/02/2011,COMPUTER SERVICES,Corporate IT ,HP ENTERPRISE SERVICES UK LTD,2019496557,"3,448,606.22"
Department for Work and Pensions,Corporate,15/02/2011,COMPUTER SERVICES,Corporate IT ,HP ENTERPRISE SERVICES UK LTD,2019496556,"3,194,715.41"
Department for Work and Pensions,Jobcentre Plus,15/02/2011,MEDICAL SERVICES,Jobcentre Plus,ATOS ORIGIN MEDICAL SERVICES,2019492699,"3,161,982.12"
Department for Work and Pensions,European Social Fund,11/02/2011,ESF NON-PREFUNDED EXPENDITURE,WWEG EUROPEAN SOCIAL FUND,SOUTH EAST SKILLS FUNDING AGENCY,5000000473,"3,032,063.00"
Department for Work and Pensions,European Social Fund,18/02/2011,ESF NON-PREFUNDED EXPENDITURE,WWEG EUROPEAN SOCIAL FUND,NORTH EAST LEARNING & SKILLS COUNCIL,5000000483,"2,994,453.00"
Department for Work and Pensions,Corporate,15/02/2011,HELP FOR UNEMPLOYED PEOPLE OTHER,WWG SUMMARY,INTERNATIONAL LABOUR ORGANISATION,3004211,"2,958,172.00"
Department for Work and Pensions,Jobcentre Plus,09/02/2011,AOS CONTRACTED OUT SERVICES,Jobcentre Plus,BALFOUR BEATTY WORKPLACE LTD,2019401988,"2,813,218.43"
Department for Work and Pensions,"Pension, Disability Carers Services",09/02/2011,Accomodation Costs,Pensions & Disability Carers Service ,TELEREAL TRILLIUM,2019466657,"2,663,555.12"
Department for Work and Pensions,"Pension, Disability Carers Services",28/02/2011,ACCOMMODATION,Pensions & Disability Carers Service ,TELEREAL TRILLIUM,2019711332,"2,509,790.11"
Department for Work and Pensions,Employment Programmes,22/02/2011,YOUNG PERSON'S GUARANTEE,WWEG EMPLOYMENT PROGRAMMES,SALFORD CITY COUNCIL,2019611051,"2,413,650.00"
Department for Work and Pensions,Corporate,18/02/2011,TOTAL SUPPLIES & SERVICES,Corporate IT ,CABINET OFFICE,2019589833,"2,360,000.00"
Department for Work and Pensions,Employment Programmes,03/02/2011,Grant in Aid,WWEG EMPLOYMENT PROGRAMMES,REMPLOY LIMITED,1004628,"2,000,000.00"
Department for Work and Pensions,Jobcentre Plus,28/02/2011,ACCOMMODATION,Jobcentre Plus,TELEREAL TRILLIUM,2019711335,"1,946,854.45"
Department for Work and Pensions,Jobcentre Plus,03/02/2011,EMPLOYMENT PROGRAMMES,Balance Sheet Payments,A4E LTD,2019364198,"1,877,399.75"
Department for Work and Pensions,Corporate,15/02/2011,SIAM,Corporate IT ,HP ENTERPRISE SERVICES UK LTD,2019496557,"1,813,926.70"
Department for Work and Pensions,Jobcentre Plus,14/02/2011,APPS DEV,Jobcentre Plus,ACCENTURE,2019485638,"1,800,664.00"
Department for Work and Pensions,Corporate,03/02/2011,Accomodation Costs,Group Finance,HM REVENUE & CUSTOMS,2002413,"1,755,030.09"
Department for Work and Pensions,Employment Programmes,10/02/2011,YOUNG PERSON'S GUARANTEE,WWEG EMPLOYMENT PROGRAMMES,SALFORD CITY COUNCIL,2019476000,"1,727,700.00"
Department for Work and Pensions,Employment Programmes,11/02/2011,Grant in Aid,WWEG EMPLOYMENT PROGRAMMES,REMPLOY LIMITED,1004640,"1,720,364.00"
Department for Work and Pensions,Jobcentre Plus,15/02/2011,MEDICAL SERVICES,Jobcentre Plus,ATOS ORIGIN MEDICAL SERVICES,2019492699,"1,625,934.88"
