Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num,
DEFRA,DEFRA,01/06/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,RIRP083894,27061.06,Improving the sustainability of phosphorus use in arable farming - 2014-15 Quarter 3,WV9 5AP,,Exempt,SFFS0006,Expense,,
DEFRA,DEFRA,05/06/2015,Evidence Non R&D,Policy Delivery DG,A D A S UK Ltd,RIRP081613,27828.00,Horticultural Crop Data Collection: Ornamental Production and Mushroom Data - January 2015,WV9 5AP,,,00000000,Expense,,
DEFRA,DEFRA,23/06/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,RIRP084102,37592.00,Interim report - Risks and opportunities of current and future maize production - 2014-15,WV9 5AP,,SCF0405,00000000,Expense,,
DEFRA,DEFRA,05/06/2015,Other Current Payments E,"Strategy, International and Biosecurity DG",A H D B,180022227,55000.00,Provision of an Electronic Movement service for pigs by the British Pig Executive (BPEX) - 2014-15 Quarter 4,CV8 2TL,,Funding,AHDB0002,Expense,,
DEFRA,DEFRA,03/06/2015,Current Grants E,Policy Delivery DG,Allerdale Borough Council,270515,69834.94,Grant - Solway Coast Area of Outstanding Natural Beauty (AONB) - 2014-15 Quarters 3 and 4,CA14 2RS,,GIA,SOLWAY01,Expense,,
DEFRA,DEFRA,25/06/2015,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,ERS-558660-52479,26915.25,Development of enhanced methods for outbreak investigation and source attribution of Salmonella - 2015-16,KT15 3NB,SME,,00000000,Expense,,
DEFRA,DEFRA,09/06/2015,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,5000063436,36712635.00,Laboratory surveillance funding - 2015-16,YO1 7PX,SME,FUNDING,00000000,Expense,,
DEFRA,DEFRA,01/06/2015,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,5000063676,78205.63,Fallen stock sampling fee - April 2015,YO1 7PX,SME,,00000000,Expense,,
DEFRA,DEFRA,23/06/2015,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,5000065216,56763.40,Fallen stock sampling fee - May 2015,YO1 7PX,SME,,00000000,Expense,,
DEFRA,DEFRA,25/06/2015,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,ERS-558550-52465,52350.08,Transmissible Spongiform Encephalopathy (TSE) strategic competencies - June 2015,KT15 3NB,SME,EXEMPT,00000000,Expense,,
DEFRA,DEFRA,25/06/2015,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,ERS-558579-52474,33636.33,Improving Classical Swine Fever Virus (CSFV) control through enhanced diagnostic and intervention tools - June 2015 ,KT15 3NB,SME,DFP,00000000,Expense,,
