Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,Supplier Postcode,Supplier Type,Expenditure Type,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,01/03/13,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000033740,59954,Legal costs ,WC2B 4TS,Government Department,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,01/03/13,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000033733,75156.3,"Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP ,Large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,01/03/13,Consultancy,SCHEME MANAGEMENT EXECUTIVE,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,3000033731,78300,MyCSP audit services,HP2 4XN,Government Department,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,01/03/13,Supplies and Services,OFFICE FOR CIVIL SOCIETY,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,3000033731,"100,000.00",Contribution to homelessness Social Impact Bond evaluation project,HP2 4XN,Government Department,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,01/03/13,Assets Under Construction,ESTATE MANAGEMENT,ETDE FM,3000033727,"240,626.40",Facilities Management Services,BN1  1HG,large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,01/03/13,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,GCHQ,3000033713,"369,874.80","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",GL51 0EX,Government Department,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,01/03/13,Assets Under Construction,ESTATE MANAGEMENT,ETDE FM,3000033727,"433,625.65",Facilities Management Services,BN1  1HG,large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,01/03/13,Supplies and Services,POLICY COMMUNICATIONS,BRITISH COUNCIL INDIA,3000033719,"1,000,000.00",Great Campaign,INDIA,Non-SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,04/03/13,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000033775,55518.36,"Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP ,Large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,04/03/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,CITIZENSHIP FOUNDATION,3000033783,62500,Go Givers/Giving Nation Project Grant,EC1V 3RS ,SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,04/03/13,IT Costs,GOVERNMENT DIGITAL SERVICE,SPECIALIST COMPUTER CENTRES PLC,3000033774,65715.1,Software development services to support GOV.UK ,B11 2LE,Large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,04/03/13,Supplies and Services,HONOURS AND APPOINTMENTS,THE TREASURER TO THE QUEEN,3000033790,"71,911.00",Central chancery charges for administration of Honours,SW1A 1AA,Government Department,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,04/03/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,NATIONAL COUNCIL FOR VOLUNTARY ORGANISATIONS,3000033785,"100,000.00",Project Grant to improve Financial Sustainabity ,N1 9RL,Non-SME,Grants,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,04/03/13,IT Costs,WORKSPACE AND BETTER TOOLS PLAN,HM TREASURY,3000033779,"282,534.04",Secure storage facilities for IT equipment,NR7 0HS ,Government Department,Admin,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,05/03/13,IT Costs,GOVERNMENT DIGITAL SERVICE,SPECIALIST COMPUTER CENTRES PLC,3000033799,"82,875.00",Software development services to support GOV.UK ,B11 2LE,Large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,05/03/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,VINSPIRED,3000033803,250000,Strategic Grant to support core costs,SW1P 2ASF,Non-SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,06/03/13,Supplies and Services,OFFICE FOR CIVIL SOCIETY,M4C,3000033848,"25,000.00",National Citizen Service Launch Event cost,WC1X 8RX,SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,06/03/13,Accomodation and Utilities,PRIME MINISTERS OFFICE,SECURITY SERVICES GROUP,3000033819,"28,277.25",Security equipment maintenance cost,SN5 7XQ,Government Department,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,06/03/13,GPS Systems Support & Training,eCommerce,Procserve Shared Services Ltd,PINVP2P 1565,"53,449.67",eMarketplace development,SW1E 5RS,Large,Admin ,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,06/03/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,NESTA,3000033831,"72,109.00",Challenge Prizes Project Grant ,EC4A 1DE,large,Grants,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,06/03/13,Resource Grants to Private Sector,GOVERNMENT DIGITAL SERVICE,CITY OF LONDON,3000033867,"371,000.00",Internet security project grant,EC1A 2DP,Non-SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,07/03/13,Consultancy,ERG STRATEGY AND MANAGEMENT INFORMATION,RACHEL BELSHAM CONSULTING LIMITED,3000033913,"25,084.00",Provision of consultancy support to the Civil Service Reform Programme,LU7 0BU,SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,07/03/13,Training - External,Human Resources,Capita Business Services Ltd,PINVP2P 1571,"28,396.44",IT software development cost,SW1H 0XA,Large,Admin,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,07/03/13,Accomodation and Utilities,GOVERNMENT DIGITAL SERVICE,FOOD STANDARDS AGENCY,3000033921,"39,289.98",Acommodation service charges,YO1 7PX,Non-SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,07/03/13,Information Services,Utilites Energy,Insight Direct Ltd,PINDOH 35384,"40,857.13",Annual support for the IT system,UB8 1PH,Large,Admin ,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,07/03/13,Supplies and Services,POLICY COMMUNICATIONS,RADLEY YELDAR LTD,3000033928,"45,000.00",Great Campaign,EC2A 2PB,SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,07/03/13,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000033929,"127,496.70",Legal costs,WC2B 4TS,Government Department,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/03/13,Other Staff Related Costs,OFFICE FOR CIVIL SOCIETY,NEW COLLEGE NOTTINGHAM,3000033935,"97,552.00",National Citizen Service contract,NG1 1PR,Non-SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/03/13,Supplies and Services,ERG STRATEGY AND MANAGEMENT INFORMATION,OPEN GOVERNMENT PARTNERSHIP,2000341,"100,000.00",Membership of the Open Government Partnership,U.S.A.,Non-SME,Admin,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/03/13,Capital grants to Private Sector,OFFICE FOR CIVIL SOCIETY,COMMUNITY DEVELOPMENT FOUNDATION,3000033954,"3,301,794.00",Community First - Endowment Match Challenge Grant Programme ,EC1V 2PT,Large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,11/03/13,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000033988,"90,763.07",Interim IT Specialists,SL6 1DP ,Large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,12/03/13,WDHS Cost of Electricity Generated,Whitehall District Heating Systems,Cofely,PINVP2P 1574,"77,886.89",Whitehall heating systems management,HP12 3TA,Large,Programme ,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,12/03/13,WDHS Cost of Heat Supplied,Whitehall District Heating Systems,Cofely,PINVP2P 1574,"181,258.00",Whitehall heating systems management,HP12 3TA,Large,Programme ,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,13/03/13,Accomodation and Utilities,CENTRAL BUDGETS,CABLE & WIRELESS PLC,3000034041,"29,281.85",Call charges,RG12 1RW,Large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,13/03/13,Supplies and Services,ESTATE MANAGEMENT,RICOH UK LTD,3000034061,"41,070.48",Reprographic Services,CR5 2HR,Large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,13/03/13,Other Staff Related Costs,ERG STRATEGY AND MANAGEMENT INFORMATION,ODGERS RAY & BERNDTSON,3000034067,47300,Recruitment Services,W1S 1JJ,SME,Admin,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/03/13,"Travel, Subsistence and Hospitality",OFFICE OF THE DEPUTY PRIME MINISTER,HOGG ROBINSON TRAVEL LTD,3000034123,"32,315.07",Official Travel ,GU14 7NJ,large,Admin,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,14/03/13,Agency Staff,Enablement Projects,Michael Page International Recruitment Ltd,PINDOH 35805,"33,907.90",Interim IT Specialists,SL1 1DB,Large,Admin ,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/03/13,"Travel, Subsistence and Hospitality",PRIME MINISTERS OFFICE,HOGG ROBINSON TRAVEL LTD,3000034123,"43,383.17",Official Travel,GU14 7NJ,large,Admin,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/03/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,COMMUNITY FOUNDATION NETWORK,3000034115,50000,Structural Reform Fund Grant,N1 9HS,Large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/03/13,Assets Under Construction,ESTATE MANAGEMENT,ETDE FM,3000034085,61526.71,Facilities Management Services,BN1  1HG,large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/03/13,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000034087,"73,852.62","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/03/13,"Travel, Subsistence and Hospitality",PRIME MINISTERS OFFICE,FOREIGN & COMMONWEALTH OFFICE,3000034116,"86,805.38",Official Travel,MK10 1PX,Government Department,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/03/13,Consultancy,ERG STRATEGY AND MANAGEMENT INFORMATION,ERNST & YOUNG LLP,3000034117,"102,260.40",Professional services,SE1 2AF,Large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/03/13,Other Staff Related Costs,OFFICE FOR CIVIL SOCIETY,REED IN PARTNERSHIP LTD,3000034083,"173,364.48",National Citizen Service contract,SE17 3PY,large,Programme,,,,,,,,,,,,,,,,,,,,,,
