DEPARTMENT,ENTITY,ACCOUNTING_DATE,EXPENSE_TYPE,SUPPLIER_OBS_TYPE,EXPENSE_AREA,SUPPLIER,TRANSACTION_NUM,AMOUNT,DESCRIPTION- NO PO NUMBER,POSTCODE,SUPPLIER_TYPE,CONTRACT_NUMBER,PROJECT_CODE,EXPENDITURE_TYPE,VAT_REGISTRATION_NUM
DEFRA,MMO Marine Management Organisation,21/02/2012,Other Current Payments E,OGD,MMO Operations Directorate - Director,Ministry Of Defence,7242085,1699980,Marine Management offshore surveillance hours incurred in relation to coastal enforcement - October-December 2011,L2 3YL,,,0,Expense,
DEFRA,MMO Marine Management Organisation,27/02/2012,Clearing Construction in Progress (I.T.),OGD,MMO Operations Support Directorate,DEFRA,1000011685,348000,Geographical Information System - SPIRIT provided by IBM,YO1 7PX,,,0,Asset,
DEFRA,MMO Marine Management Organisation,21/02/2012,Other Current Payments E,OGD,MMO Operations Directorate - Regulation & Licensing,DEFRA,1000011854,85845.24,Delivery of scientific and technical advice by CEFAS Apr-Dec 2011,YO1 7PX,,,0,Expense,
DEFRA,MMO Marine Management Organisation,21/02/2012,Contracted out services non IT,OGD,MMO Operations Support Directorate,DEFRA,1000011955,75000,Procurement and Commercial function support  to MMO,YO1 7PX,,,0,Expense,
DEFRA,MMO Marine Management Organisation,13/02/2012,Hardware Services/Standard Hardware Items,Supplier,MMO Operations Directorate - Delivery,Archipelago Marine Research Ltd,5.32E+20,87814.25,Purchase of specialist equipment required for the Catch Quota trials,V9A 5S1,SME,,0,Expense,
DEFRA,MMO Marine Management Organisation,17/02/2012,GPC Card,Supplier,Central Finance SRO,Barclaycard Business Issuing,4.72E+21,89730.55,Government Procurement Card bill for February 2012,TS17 6YG,,,0,Asset,
DEFRA,MMO Marine Management Organisation,13/02/2012,Other Current Payments E,Non Supplier,MMO Operations Support Directorate,Vistgate Ltd T/A Ocean Fish,FEF0185030212,86492.65,European Fisheries Fund grant payment,PL26 8LX,SME,,0,Expense,
DEFRA,MMO Marine Management Organisation,29/02/2012,Other Current Payments E,Supplier,MMO Operations Support Directorate,Newhaven Port & Properties Ltd,FEF0350220212,139727.22,European Fisheries Fund grant payment,BN9 0BN,SME,,0,Expense,
DEFRA,MMO Marine Management Organisation,03/02/2012,Other Current Payments E,Non Supplier,MMO Operations Support Directorate,New England Seafood International Ltd,FEF0353260112,76999.05,European Fisheries Fund grant payment,KT9 1TW,SME,,0,Expense,
DEFRA,MMO Marine Management Organisation,29/02/2012,Other Current Payments E,Non Supplier,MMO Operations Support Directorate,Looe Harbour Commissioners.,FEF0462220212,45704.65,European Fisheries Fund grant payment,PL13 1DX,SME,,0,Expense,
DEFRA,MMO Marine Management Organisation,29/02/2012,Other Current Payments E,Non Supplier,MMO Operations Support Directorate,Looe Harbour Commissioners.,FEF04622202126063347,60633.47,European Fisheries Fund grant payment,PL13 1DX,SME,,0,Expense,
DEFRA,MMO Marine Management Organisation,29/02/2012,Other Current Payments E,Non Supplier,MMO Operations Support Directorate,CNV Systems Ltd,FEF0522230212,58850.02,European Fisheries Fund grant payment,NE30 1JE,SME,,0,Expense,
DEFRA,MMO Marine Management Organisation,29/02/2012,Other Current Payments E,Non Supplier,MMO Operations Support Directorate,Western Training Association,FEF0560230212,81000,European Fisheries Fund grant payment,PL6 5BX,SME,,0,Expense,
DEFRA,MMO Marine Management Organisation,29/02/2012,Other Current Payments E,Non Supplier,MMO Operations Support Directorate,A M Seafoods Ltd,FEF0670,42700,European Fisheries Fund grant payment,FY7 6NS,SME,,0,Expense,
DEFRA,MMO Marine Management Organisation,09/02/2012,Other Current Payments E,Non Supplier,MMO Operations Support Directorate,Whitby Fish Sales Ltd,FEF0676,26974.5,European Fisheries Fund grant payment,YO21 3PY,SME,,0,Expense,
DEFRA,MMO Marine Management Organisation,01/02/2012,Other Current Payments E,Supplier,MMO Operations Directorate - Director,Directflight Ltd,MMO254,39861.18,Marine Management aerial surveillance hours incurred in relation to coastal enforcement - December 2011,MK43 0AL,SME,,0,Expense,
DEFRA,MMO Marine Management Organisation,17/02/2012,Other Current Payments E,Supplier,MMO Operations Directorate - Director,Directflight Ltd,MMO256,38785.44,Marine Management aerial surveillance hours incurred in relation to coastal enforcement - January 2011,MK43 0AL,SME,,0,Expense,
DEFRA,MMO Marine Management Organisation,23/02/2012,Overhead Incidental Expenses,Supplier,MMO Operations Directorate - Director,Skills for Justice,SIN003310,25800,Completion of an audit of the Marine Enforcement Officer Training Programme and Accreditation Membership for 14 months to Skills for Justice,S4 7QQ,SME,,0,Expense,
