Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (�) ,VAT Registration Number
FCO,FCO,19-Apr-10,Programme and Project Management Consultancy,DG FINANCE,CONCERTO CONSULTING LTD,1162079,"28,050.00",
FCO,FCO,19-Apr-10,Overseas Duty Travel,DG FINANCE,CONCERTO CONSULTING LTD,1162079,"3,965.99",
FCO,FCO,19-Apr-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CONCERTO CONSULTING LTD,1162079,"5,602.80",
FCO,FCO,04-May-10,Programme and Project Management Consultancy,DG FINANCE,CONCERTO CONSULTING LTD,1163059,"7,650.00",
FCO,FCO,04-May-10,Programme and Project Management Consultancy,DG FINANCE,CONCERTO CONSULTING LTD,1163059,"11,475.00",
FCO,FCO,04-May-10,Programme and Project Management Consultancy,DG FINANCE,CONCERTO CONSULTING LTD,1163059,"5,100.00",
FCO,FCO,04-May-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CONCERTO CONSULTING LTD,1163059,"4,239.38",
FCO,FCO,26-Apr-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,WORLD INSTITUTE OF SUSTAINABLE ENERGY,18274,"48,551.20",
FCO,FCO,26-Apr-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,WORLD INSTITUTE OF SUSTAINABLE ENERGY,18274,"-48,551.20",
FCO,FCO,26-Apr-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,WORLD INSTITUTE OF SUSTAINABLE ENERGY,18274,"34,892.55",
FCO,FCO,26-Apr-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,WORLD INSTITUTE OF SUSTAINABLE ENERGY,18274,"3,799.96",
FCO,FCO,06-Apr-10,General Information Services,DG CHANGE & DELIVERY,BULLET MARKETING LTD,1161066,"27,000.00",
FCO,FCO,06-Apr-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,BULLET MARKETING LTD,1161066,"4,725.00",
