Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number,Amount,Vat Registration Num,PO Line Description,Expenditure Type,Contract Number
Department of Health,Department of Health,04/10/2011,Printing,CDD CORPORATE DEVELOPMENT,XEROX BUSINESS SERVICES,LARGE,UB8 1HS,900082264,31313.45,,Xerox Management Fees 2011 - 2012,Admin,
Department of Health,Department of Health,05/10/2011,Rates,CDD CORPORATE DEVELOPMENT,READING BOROUGH COUNCIL,PUBLIC,RG1 7TD,51134617/11/03/2011,37932,,Premier House - Buisness Rates 2011-2012 (Property Ref:1002668060029),Admin,
Department of Health,Department of Health,05/10/2011,Rent of Land & Buildings (non-PFI operating lease),CDD CORPORATE DEVELOPMENT,MAPELEY BETA ACQUISITION CO LTD,LARGE,SE1 0TA,786338/D0024/30024/122362-29/09/2011,91985,,Premier House Reading - Accommodation Costs 24/06/2011 - 24/06/2012 - Yearly Rent,Admin,
Department of Health,Department of Health,05/10/2011,Rates,CDD CORPORATE DEVELOPMENT,LAMBETH LONDON BOROUGH COUNCIL,PUBLIC,SW2 1RW,325683913/OCT - DEC,294940,,Wellington House - Business Rates Apr 2011 - Mar 2012 (Property Ref:36080133135016),Admin,
Department of Health,Department of Health,05/10/2011,Rates,CDD CORPORATE DEVELOPMENT,WESTMINSTER CITY COUNCIL,PUBLIC,WC2N 6NU,400871826/15/03/11,448470,,Richmond House - Buisness Rates 2011-2012 (Property Ref:400717307900),Admin,
Department of Health,Department of Health,05/10/2011,Rates,CDD CORPORATE DEVELOPMENT,SOUTHWARK LONDON BOROUGH COUNCIL,PUBLIC,SE17 1RX,nn25560080000001/OCT-DEC- oct,493770,,Skipton House - Buisness Rates Apr 2011 - Mar 2012 (Property Ref:NN25560080000001),Admin,
Department of Health,Department of Health,10/10/2011,Conferences & seminars,CDD CORPORATE DEVELOPMENT,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,SK4 2RZ,747775,27267.63,,Expotel Bulk Invoice for Conference bookings for period 01/04/10 to 31/03/11,Admin,
Department of Health,Department of Health,10/10/2011,Utilities,CDD CORPORATE DEVELOPMENT,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,5024374,40526.53,,"Quarry House Leeds - Accommodation Costs July - March 2012 Utilities Recovery @Â£40,526.53 mthly",Admin,
Department of Health,Department of Health,10/10/2011,Travel & subsistence staff,CDD CORPORATE DEVELOPMENT,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,SK4 2RZ,747584,44311.69,,Expotel Bulk Invoice for Hotel Bookings for period 01/04/10 to 31/03/11,Admin,
Department of Health,Department of Health,10/10/2011,Travel -Trains,CDD CORPORATE DEVELOPMENT,FCM TRAVEL SOLUTIONS,LARGE,KT3 7NW,1049605170,57449.75,,DH - Travel Services for Rail Apr 2011 - March 2012,Admin,
Department of Health,Department of Health,10/10/2011,Rates,CDD CORPORATE DEVELOPMENT,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,5024400,112233.6,,"Quarry House Leeds - Accommodation Costs July - January 2012 Business Rates @ Â£112,233.60 mthly.",Admin,
Department of Health,Department of Health,10/10/2011,Rent of Land & Buildings (non-PFI operating lease),CDD CORPORATE DEVELOPMENT,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,5024374,497386.23,,"Quarry House Leeds - Accommodation Costs July - March 2012 Facilty Price Rent@Â£484,377.05 mthly.",Admin,
Department of Health,Department of Health,11/10/2011,Contactor/ Staff Subsitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6561189,240,,DH Internal Audit review work,Admin,
