Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Cabinet Office,CABINET OFFICE,01/04/2011,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000015909,"913,950.02",Facilities Management Services
Cabinet Office,CABINET OFFICE,01/04/2011,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000015909,"76,223.44",Facilities Management Services
Cabinet Office,CABINET OFFICE,01/04/2011,Assets Under Construction,INTELLIGENCE SECURITY AND RESILIENCE,ECOVERT FM LTD,3000015909,"48,355.56",Refurbishment of 70 Whitehall
Cabinet Office,CABINET OFFICE,01/04/2011,Accomodation and Utilities,PRIME MINISTERS OFFICE,SAFE SSG 6231,3000015912,"92,000.00",Maintenance of physical and electronic security equipment
Cabinet Office,CABINET OFFICE,01/04/2011,Freehold Non Residential Buildings,PRIME MINISTERS OFFICE,SAFE SSG 6231,3000015912,"59,611.20",Maintenance of physical and electronic security equipment
Cabinet Office,CABINET OFFICE,01/04/2011,IT Hardware,PRIME MINISTERS OFFICE,CCS MEDIA LTD,3000015907,"25,283.85",IT Hardware
Cabinet Office,CABINET OFFICE,04/04/2011,Grant-in-Aid to Civil Service Welfare Bodies,GOVERNMENT HR AND CAPABILITY,CIVIL SERVICE SPORTS COUNCIL,1000379,"1,072,000.00",Grant to the Civil Service Sports Council
Cabinet Office,CABINET OFFICE,04/04/2011,Grant-in-Aid to Civil Service Welfare Bodies,GOVERNMENT HR AND CAPABILITY,CIVIL SERVICE BENEVOLENT FUND,1000377,"370,000.00",Grant to the Civil Service Benevolent Fund
Cabinet Office,CABINET OFFICE,04/04/2011,Grant-in-Aid to Civil Service Welfare Bodies,GOVERNMENT HR AND CAPABILITY,CIVIL SERVICE RETIREMENT FELLOWSHIP,1000378,"211,604.00",Grant to the Civil Service Retirement Fellowship
Cabinet Office,CABINET OFFICE,04/04/2011,GRANT FUND MANAGEMENT SERVICES,OFFICE FOR CIVIL SOCIETY,BIG LOTTERY FUND,3000015931,"942,235.20",Delivery of the Transition Fund to support the transition of civil society organisations
Cabinet Office,CABINET OFFICE,04/04/2011,Staff Related Cost ,POLITICAL AND CONSTITUTIONAL REFORM,GREATER LONDON LIEUTENANCY,3000015944,"42,602.00",Quarterly advance expense payments to Her Majesty's Lord Lieutenants 
Cabinet Office,CABINET OFFICE,04/04/2011,Staff Related Cost ,POLITICAL AND CONSTITUTIONAL REFORM,WEST MIDLANDS LIEUTENANCY,3000015958,"36,307.50",Quarterly advance expense payments to Her Majesty's Lord Lieutenants 
