Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode ,Project Code,Expenditure Type,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,LINDY E ARMITAGE,130107624,"89,058.44",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,RICHARD M LITTLER,130021825,"84,145.44",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,FIELDINGS PORTER SOLICITORS,130044958,"83,382.04",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,RUSSELL-COOKE LLP,128779955,"79,769.84",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,STOKOE PARTNERSHIP,130079876,"79,689.01",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,GARDEN CITY SOLICITORS,130079864,"78,406.47",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,WILFORD SMITH & CO  LTD,130127796,"78,384.64",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,BMV SOLICITORS,130079850,"78,061.34",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,BSB SOLICITORS,130054127,"72,835.12",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,GOLDKORNS,130054235,"72,835.12",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,LEDGISTERS SOLICITORS,130053647,"72,535.04",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,STEPHEN H BELLAMY QC,127974714,"72,117.75",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,SHEARMAN BOWEN & CO,130054093,"70,125.89",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,STEVE S PERIAN,130079737,"69,598.32",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,CHILDREN & FAMILIES LAW FIRM LLP,129997466,"65,714.79",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,STEPHEN V RIORDAN Q.C.,130115188,"64,818.47",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,JANE E CROSS,130037427,"64,168.35",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,SIMON L BICKLER,130008302,"62,601.67",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,RICK J HOLLAND,130055332,"61,876.20",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,PETHERBRIDGE BASSRA SOLICITORS,130131375,"60,973.06",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,DICKINSON MANSER LLP,130019468,"60,099.73",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,DEAN E KERSHAW,130054715,"58,667.10",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,DAWSON CORNWELL,127974475,"57,930.82",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,WOODFINES LLP,130079914,"57,904.58",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,CARL R GORTON,129630181,"57,504.00",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,TUCKERS SOLICITORS,130054066,"57,248.71",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,ABV SOLICITORS,130072393,"55,460.99",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,OLD BAILEY  SOLICTORS,130079817,"54,967.18",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,JENNIFER RICHARDS,130064600,"54,662.40",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,ANDREWS MCQUEEN SOLICITORS,129823250,"54,584.22",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,SHONA L ROGERS,130128340,"54,332.39",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,JOHN WARD-PROWSE,130019783,"52,932.00",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,ANTHONY M DONNE QC,130115177,"51,632.95",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,NEUMANS LLP,130054507,"51,375.25",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,EBR ATTRIDGE,130079917,"51,375.25",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,KAREN LENNON,130019821,"51,321.60",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,BIVONAS LLP,130019438,"51,227.54",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,JMW SOLICITORS LLP,130053891,"50,894.09",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,GLADSTONE SOLICITORS,130031988,"50,047.82",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,PLATT & FISHWICK SOLICITORS,129630173,"48,365.60",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,MPG SOLICITORS,130061706,"47,734.49",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,ACHILLEA & CO,130008069,"47,679.65",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,IAN J C PEDDIE QC,129849660,"47,412.00",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,NADINE RADFORD QC,130007325,"47,299.07",Legal Aid Payments: Crime Higher,,,,,
