Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,09/12/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,DAEWOO SHIPBUILDING AND MARINE ENGINEERING CO LTD,,81744,Fiscal asset under construction - capital in year addition,"£57,269,185.21"
Ministry of Defence,Ministry of Defence,16/12/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,ANNINGTON RECEIVABLES LTD,W1U 1DR,84338,Rent UK married quarters - operating lease payments,"£42,892,020.46"
Ministry of Defence,Ministry of Defence,04/12/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,80310,Property dwellings private finance initiative - service concession arrangement service charge,"£24,750,965.23"
Ministry of Defence,Ministry of Defence,23/12/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,87040,Property dwellings private finance initiative - service concession arrangement service charge,"£24,331,512.18"
Ministry of Defence,Ministry of Defence,02/12/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,DAEWOO SHIPBUILDING AND MARINE ENGINEERING CO LTD,,79510,Fiscal asset under construction - capital in year addition,"£24,216,025.19"
Ministry of Defence,Ministry of Defence,04/12/2015,Development costs for military equipment,Defence Equipment + Support,BAE SYSTEMS SURFACE SHIPS LIMITED,GU14 6YU,80327,Intangible single use military equipment asset  - in year capital addition,"£22,096,251.43"
Ministry of Defence,Ministry of Defence,02/12/2015,Grants to Reserves Forces and Cadets Association,HO+CS,SHAPE,,6000008566,NATO military budget UK contributions,"£21,130,108.75"
Ministry of Defence,Ministry of Defence,11/12/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT,HP2 4XN,300000985,Rent buildings - non civil estate property and married quarter property,"£15,960,018.08"
Ministry of Defence,Ministry of Defence,15/12/2015,Design services and minor equipment purchases,Defence Equipment + Support,BABCOCK DSG LTD,SP11 8HT,83993,Equipment support non-project costs,"£12,006,824.89"
Ministry of Defence,Ministry of Defence,17/12/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,84984,Single use military equipment asset under construction - capital in year addition,"£11,900,226.00"
Ministry of Defence,Ministry of Defence,09/12/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,81798,Utilities consumed - electricity,"£10,920,640.79"
Ministry of Defence,Ministry of Defence,18/12/2015,Fees for professional services,DEFENCE INFRASTRUCTURE ORGANISATION,CAPITA BUSINESS SERVICES LTD,SW1H 0XA,85599,Fees for professional services excluding legal fees,"£10,383,651.00"
Ministry of Defence,Ministry of Defence,11/12/2015,Fees for professional services,Land Forces,CAPITA BUSINESS SERVICES LTD,DL1 9HN,82809,Fees for professional services excluding legal fees,"£10,351,035.34"
Ministry of Defence,Ministry of Defence,09/12/2015,Fees for professional services,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLION CONSTRUCTION LIMITED,WV3 0SR,81703,Fees for professional services excluding legal fees,"£9,349,709.35"
