Department Family,Entity,Date,Expense Type,Expense Type (a/c),Expense Area (c/c),Supplier,Invoice No,Gross ,Amount
DEFRA,RPA,15-Dec-10,,Wip Software Projects,Programmes & Projects,Steria Limited~105040261,100012222,,25014.4
DEFRA,RPA,23-Dec-10,,Printing,Managed Document Service,Adare Limited~114358310,IS1178115,,26185.49
DEFRA,RPA,08-Dec-10,,Contractor (irrecoverable),Procurement,Amtec Consulting plc~113094694,17063,,26884
DEFRA,RPA,01-Dec-10,,IT Outsourced Services,Programmes & Projects,Steria Limited~105040261,100012680,,28791.85
DEFRA,RPA,13-Dec-10,, Historic Costs Additions,Programmes & Projects,IBM UK LTD~105002620,5812100499,,29457.47
DEFRA,RPA,13-Dec-10,,IT Outsourced Services,Service Management,Steria Limited~105040261,100012915,,30298.75
DEFRA,RPA,13-Dec-10,,IT Outsourced Services,Service Management,Steria Limited~105040261,100012914,,31978.27
DEFRA,RPA,16-Dec-10,,IT Outsourced Services,Service Management,Steria Limited~105040261,100013481,,34721.25
DEFRA,RPA,02-Dec-10,,RPA Vehicle Scheme Costs,various,ARVAL,997324,,37953.55
DEFRA,RPA,15-Dec-10,,IT Outsourced Services,Service Management,Steria Limited~105040261,100013342,,38193.38
DEFRA,RPA,03-Dec-10,,various,various,Barclaycard Business~105048156,4715320649085800/01/12/10,,38346.95
DEFRA,RPA,03-Dec-10,,Travel UK & Foreign,various,Barclaycard Business~105048156,4257571009932239/01/12/10,,40642.47
DEFRA,RPA,15-Dec-10,,Contractor (irrecoverable),Finance Director,Deloitte and Touche LLP~114191649,1110620367,,50127.85
DEFRA,RPA,08-Dec-10,,Printing,Managed Document Service,Adare Limited~114358310,IS1178185,,51996.43
DEFRA,RPA,17-Dec-10,,Asset Clearing Accounts,PPD Programme Corporate ,SOFTWARE AG (UK) LIMITED~111720391,3090012579,,53603.5
DEFRA,RPA,03-Dec-10,,Telecoms Service Charge,Service Management,CABLE & WIRELESS~105012381,5000001141/414883,,58318.77
DEFRA,RPA,13-Dec-10,,Printing,Managed Document Service,Adare Limited~114358310,IS1178179,,59808.33
DEFRA,RPA,24-Dec-10,,IT Outsourced Services,Programmes & Projects,IBM UK LTD~105002620,5812101655,,60656.49
DEFRA,RPA,30-Dec-10,,IT Outsourced Services,Programmes & Projects,IBM UK LTD~105002620,5812101895,,69685.14
DEFRA,RPA,08-Dec-10,,Printing,Managed Document Service,Adare Limited~114358310,IS1177852,,69816.13
DEFRA,RPA,23-Dec-10,,Printing,Managed Document Service,Adare Limited~114358310,IS1178950,,70673.81
DEFRA,RPA,02-Dec-10,,Travel UK (irrecoverable),Defra Funded Projects,SOFTWARE AG (UK) LIMITED~111720391,999008581,,95365.35
DEFRA,RPA,06-Dec-10,,IT Outsourced Services,Service Management,DSGi Business~113219956,10728635,,96328.85
DEFRA,RPA,22-Dec-10,,IT Outsourced Services,Service Management,DEFRA~105038940,1000006366,,130000
DEFRA,RPA,13-Dec-10,,IT Outsourced Services,Programmes & Projects,Steria Limited~105040261,100013357,,169799.25
DEFRA,RPA,13-Dec-10,,IT Outsourced Services,Service Management,Steria Limited~105040261,100013349,,183591.82
DEFRA,RPA,13-Dec-10,,IT Outsourced Services,Service Management,Steria Limited~105040261,100012912,,598862
