Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department for Education,DEPARTMENT FOR EDUCATION,04-Feb-11,TEMPORARY (TEMP) STAFF COSTS,Corporate and Internal Communications Group,CAPITA RESOURCING LTD,4000045864,8840.66
Department for Education,DEPARTMENT FOR EDUCATION,04-Feb-11,TEMPORARY (TEMP) STAFF COSTS,Corporate and Internal Communications Group,CAPITA RESOURCING LTD,4000045864,5745.90
Department for Education,DEPARTMENT FOR EDUCATION,11-Feb-11,TEMPORARY (TEMP) STAFF COSTS,Corporate and Internal Communications Group,CAPITA RESOURCING LTD,4000046255,11813.98
Department for Education,DEPARTMENT FOR EDUCATION,11-Feb-11,TEMPORARY (TEMP) STAFF COSTS,Corporate and Internal Communications Group,CAPITA RESOURCING LTD,4000046255,5511.54
Department for Education,DEPARTMENT FOR EDUCATION,11-Feb-11,COMMUNICATIONS & PUBLICITY,Corporate and Internal Communications Group,REDHOUSE LANE COMMUNICATIONS LTD,4000046278,55362.50
Department for Education,DEPARTMENT FOR EDUCATION,18-Feb-11,COMMUNICATIONS & PUBLICITY,Corporate and Internal Communications Group,ELAN COMPUTING LTD,4000046699,36148.29
Department for Education,DEPARTMENT FOR EDUCATION,23-Feb-11,COMMUNICATIONS & PUBLICITY,Corporate and Internal Communications Group,EDUSERV,4000047117,132683.95
Department for Education,DEPARTMENT FOR EDUCATION,25-Feb-11,TEMPORARY (TEMP) STAFF COSTS,Corporate and Internal Communications Group,CAPITA RESOURCING LTD,4000047586,43832.12
Department for Education,DEPARTMENT FOR EDUCATION,25-Feb-11,TEMPORARY (TEMP) STAFF COSTS,Corporate and Internal Communications Group,CAPITA RESOURCING LTD,4000047586,13340.76
Department for Education,TEACHERS PENSION SCHEME,02-Feb-11,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP NATWEST,1000473,20276977.42
Department for Education,TEACHERS PENSION SCHEME,03-Feb-11,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP HSBC,1000474,281691.87
