Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
Defra,Core Defra,12/08/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,RIRP071118,37779,2012-13 Slurry Storage and Management Project - July 2013 ,WV9 5AP,,WT1508,0,Expense,
Defra,Core Defra,22/08/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,1.51E+12,37494.75,Greenhouse Gas Platform - Nitrous Oxide Emissions Factors - August 2013,WV9 5AP,,exempt,SFFS0005,Expense,
Defra,Core Defra,16/08/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,RIRP071493,55093.79,2012-13 Environmental and Nutritional Benefits of Bioethanol Co-Products - August 2013,WV9 5AP,,Exempt,SFFS0006,Expense,
Defra,Core Defra,08/08/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,RIRP071268,33668.01,2013-14 Improving the sustainability of phosphorus use in arable farming - July 2013,WV9 5AP,,Exempt,SFFS0006,Expense,
Defra,Core Defra,08/08/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,RIRP071262,85541.67,Minimising nitrous oxide intensities of arable crop products - April-June 2013,WV9 5AP,,exempt,SFFS0005,Expense,
Defra,Core Defra,08/08/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,RIRP071211,54766.75,Sustainable Crop and Environment Protection – Targeted Research for Edibles (SCEPTRE) April-June 2013,WV9 5AP,,exempt,SFFS0006,Expense,
Defra,Core Defra,16/08/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,RIRP070348,36310.28,2012-13 Capturing cropland and grassland management impacts on soil carbon in the UK - June 2013,WV9 5AP,,SP1113/exempt,0,Expense,
Defra,Core Defra,20/08/2013,Other Current Payments E,Policy Delivery DG,A H D B,180015247,55000,Provision of electronic reporting for pigs by BPEX (British Pig Executive) - April 2013-March 2014,CV8 2TL,,FUNDING,0,Expense,
Defra,Core Defra,23/08/2013,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-523529-45429,61277.75,"Antigen mining, DIVA (Differentiation of Infected and Vaccinated Animals) assays and other diagnostic approaches - August 2013",KT15 3NB,SME,Exempt,0,Expense,
Defra,Core Defra,23/08/2013,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-523478-45410,51156.41,Maintenance of a Transmissible Spongiform Encephalopathy-free sheep flock after importation from New Zealand -  August 2013,KT15 3NB,SME,exempt,0,Expense,
Defra,Core Defra,23/08/2013,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-523480-45412,45564.08,Studies of natural and experimental Transmissible Spongiform Encephalopathies - August 2013,KT15 3NB,SME,exempt,0,Expense,
Defra,Core Defra,23/08/2013,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-523554-45438,50423,2013-14 Control measures for Salmonella on pig farms and their effect on endemic disease and productivity - August 2013,KT15 3NB,SME,exempt,0,Expense,
Defra,Core Defra,12/08/2013,Payover,Central Finance Group,Animal Health and Veterinary Laboratories Agency,80813,929304.97,2013-14 Value Added Tax repayment - quarter 1 ,YO1 7PX,SME,,0,Liability,
Defra,Core Defra,23/08/2013,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-523526-45447,168911.5,2013-14 Development of an oral Bacille Calmette Guerin vaccine for badgers - regulatory component ,KT15 3NB,SME,IDS,0,Expense,
Defra,Core Defra,23/08/2013,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-523582-45440,244007,2013-14 Continued vaccine development: Improving Bacille Calmette Guerin and developing non-sensitising vaccines for cattle - August 2013,KT15 3NB,SME,IDS,0,Expense,
Defra,Core Defra,23/08/2013,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-523528-45428,139343.75,2013-14 Continued vaccine development: Improving Bacille Calmette Guerin and developing non-sensitising vaccines for cattle (contract variation) - August 2013,KT15 3NB,SME,IDS,0,Expense,
Defra,Core Defra,06/08/2013,Other Current Payments (GB),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000030875,231941.86,AHVLA (Animal Health and Veterinary Laboratories Agency) Tuberculosis Controls work in 2012,YO1 7PX,SME,IDS/Funding,BCP00001,Expense,
Defra,Core Defra,06/08/2013,Other Current Payments E,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000030320,51595.16,"2012-13 Bovine Tuberculosis compliance and enforcement, and specific supplementary funding for the regulatory hub ",YO1 7PX,SME,Exempt,FAP00001,Expense,
Defra,Core Defra,23/08/2013,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-523535-45432,26673.83,2013-14 Research and development towards novel field-based approaches to the diagnosis of bovine tuberculosis in badgers,KT15 3NB,SME,,0,Expense,
Defra,Core Defra,14/08/2013,Other Current Payments (GB),Policy Delivery DG,Animal Health Trust,INV00009380,51360,Quarterly Equine Scanning - April 2012-June 2013,CB8 7DW,SME,18340,0,Expense,
Defra,Core Defra,08/08/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,Association of IFCAs,37,41979.2,Fisheries Management in European Marine Sites: purchase of research equipment for Inshore Fisheries Conservation Authorities - July 2013,IP33 2NH,SME,MB0124,0,Expense,
Defra,Core Defra,23/08/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,B B S R C,ERS-523517-45252,65221.5,"Emerging and Major Infectious Diseases of Livestock (EMIDA) Molecular studies of orbivirus transmission, epidemiology and diagnostics - August 2013",SN2 1UH,,exempt,0,Expense,
Defra,Core Defra,12/08/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,B B S R C,BBSR10811,25061.69,2013-14 Development of Rationally Attenuated Live Vaccines for Effective Control of Infectious Bronchitis - July 2013,SN2 1UH,,Exempt,0,Expense,
Defra,Core Defra,06/08/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,B B S R C,BBSR10805,42638.48,2012-13 Agronomic Processes to Optimise Galanthamine Content of Daffodil Biomass - July 2013,SN2 1UH,,exempt,SFFS0006,Expense,
Defra,Core Defra,08/08/2013,Evidence Non R&D,"Strategy, Evidence and Customers DG",B E T A Technology Ltd,5286,29854.19,2013-14 Provision of UK national contact points services for FP7 (Seventh Research Framework Programme) & LIFE+ (the EU financial instrument dedicated to the environment and nature conservation) - July 2013,DN4 5HZ,SME,exempt,EUIPARTN,Expense,
Defra,Core Defra,12/08/2013,GPC Card,Central Finance Group,Barclaycard Business Issuing,4.72E+21,26356.09,Payment of the monthly invoice for purchases made through Barclaycard - August 2013,TS17 6YG,SME,,0,Asset,
Defra,Core Defra,12/08/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,C E F A S,8003059,26180.16,Provision of Research Programme Management Services - August 2013,NR33 0HT,SME,Exempt,0,Expense,
Defra,Core Defra,20/08/2013,Evidence Non R&D,Policy Delivery DG,C E F A S,8003060,1802196.25,Higher Level Agreement between Defra and Cefas for funding Research and Development projects - August 2013,NR33 0HT,SME,IDS,0,Expense,
Defra,Core Defra,06/08/2013,Other Current Payments (Evidence R&D),"Strategy, Evidence and Customers DG",C E F A S,8003039,40873,2013-14 Developing fisheries surveys to incorporate other ecosystem monitoring requirements: saving money and improving advice - July 2013,NR33 0HT,SME,MF1231,RDEVFUND,Expense,
Defra,Core Defra,14/08/2013,Consultancy Non-Scheme,Chief Operating Officer DG,Cadence Partnership LLP,DEF1304004,34500,Commercial management support providing programme leadership and specialist support for the Strategic Alignment activity contract to cover the period 5 April-30 May 2013,WC2N 5BW,SME,17463,0,Expense,
Defra,Core Defra,02/08/2013,Contractor - Management Cover,Policy Delivery DG,Capita Resourcing Ltd,WN4010689,33723.98,Provision of commercial expertise to strengthen Defra's Thames Tideway Tunnel project team - March-June 2013,SW1P 2AF,,16927,0,Expense,
Defra,Core Defra,23/08/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,Centre For Ecology & Hydrology,ERS-523121-45337,30868.82,2013-14 Operation of the UK Eutrophying & Acidifying Atmospheric Pollutants (UKEAP) - August 2013,SN2 1EU,SME,Exempt,AQRDXXXX,Expense,
Defra,Core Defra,12/08/2013,Current Grants E,Policy Delivery DG,Cornwall Council,70813,27440,2013-14 - The Bathing Water Regulation Local Authority Support Grant,TR1 3AY,,GRANT,0,Expense,
Defra,Core Defra,08/08/2013,Gas,Chief Operating Officer DG,Corona Energy,8486872,96812.02,"Fera, York - Gas Bill - 1 March-1 April 2013",WD17 1JW,,,B2810000,Expense,
Defra,Core Defra,22/08/2013,Gas,Chief Operating Officer DG,Corona Energy,8531816,26050.4,"Fera, York - Gas Bill - 1 July-1 August 2013",WD17 1JW,,,B2810000,Expense,
Defra,Core Defra,29/08/2013,Gas,Chief Operating Officer DG,Corona Energy,8531851,43474,Woodham Lane - Gas Bill - 1 July - 1 August 2013,WD17 1JW,,,B0870000,Expense,
Defra,Core Defra,16/08/2013,Other Current Payments (Evidence R&D),"Strategy, Evidence and Customers DG",Cranfield University,1380365,50000,The Collaborative Centre of Excellence in Understanding and Managing Natural and Environmental Risk and Futures - August 2013 ,MK43 0AL,,exempt,HSFUTURE,Expense,
Defra,Core Defra,16/08/2013,Other Current Payments (Evidence R&D),"Strategy, Evidence and Customers DG",Cranfield University,1380128,50000,The Collaborative Centre of Excellence in Understanding and Managing Natural and Environmental Risk and Futures - July 2013 ,MK43 0AL,,exempt,HSFUTURE,Expense,
Defra,Core Defra,15/08/2013,Property Lease Costs,Chief Operating Officer DG,D T Z,50813,29429.23,Facilities Management services - August 2013,B3 2ED,,,0,Expense,
Defra,Core Defra,08/08/2013,Business Rates,Chief Operating Officer DG,D T Z,DEFRA200,302465.53,"Payment of rent, rates and service charges for various properties within the Defra Network for the month of July 2013",B3 2ED,,,0,Expense,
