Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project code,Expenditure type,VAT Registration Number,PO Number
Defra,Natural England,02-Nov-11,"IT services, equipment & consumables",Capability,Atos IT Services UK Ltd,5584092654,"298,960.04","Charge for hosting, support and development of the Genesis IT System",WV10 6UH,,,,,,869309
Defra,Natural England,04-Nov-11,"IT services, equipment & consumables",Capability,Atos IT Services UK Ltd,5584092861,"34,854.16","Charge for hosting, support and development of the Genesis IT System",WV10 6UH,,,,,,869310
Defra,Natural England,04-Nov-11,Telephony costs,Capability,Global Crossing,80277665,"49,753.70",Charges for telephony and video conference services,RG24 8NA,,,,,,867812
Defra,Natural England,04-Nov-11,Land Management payments,Delivery with Communities,Lord Falmouth,117,"31,881.60",Annual Lease Payment for the Lizard Amalgamation,TR2 4AN,SME,,,,,871045
Defra,Natural England,04-Nov-11,Grants & contributions,Delivery with Communities,North Eastern Sea Fisheries Committee,14,"35,000.00",Contribution to staff costs for a Project Officer,YO16 4LP,SME,23600,,,,871120
Defra,Natural England,04-Nov-11,Grants & contributions,Delivery with Communities,South Cumbria Rivers Trust,2011013,"29,000.00",River Kent & Tribs SSSI River Restoration Work,LA8 8LX,SME,24002,,,,870862
Defra,Natural England,04-Nov-11,Grants & contributions,Customers,The Wildlife Trust for Birmingham and the Black Country,ERS-978017-36354,"40,000.00",Access to Nature Grant,B15 3AA,SME,,,,389322619,868666
Defra,Natural England,08-Nov-11,Barclaycard purchases,Capability,Barclaycard Business Issuing,NEOCT2011BILL,"356,585.50",Monthly payment for Government Procurement Card expenditure,TS17 6YG,,,,,,
Defra,Natural England,08-Nov-11,Geographical Data Purchase,Science & Evidence,DEFRA,195285,"61,216.56",Annual Licence Fee for British Geological Survey Data,YO1 7PX,,23938,,,,870434
Defra,Natural England,10-Nov-11,Grants & contributions,Customers,Birmingham City Council,ERS-978039-36386,"30,746.88",Access to Nature Grant,B1 1BB,,,,,112082130,868847
Defra,Natural England,10-Nov-11,Grants & contributions,Customers,C S V.,ERS-978035-36416,"27,079.16",Access to Nature Grant,IP1 1RS,,,,,,868775
Defra,Natural England,10-Nov-11,Rent & management & utility charges,Capability,D T Z,29343,"-60,567.29",Refund of rent & management & utility charges for the Bristol Office,B4 6HT,#N/A,#N/A,,,,
Defra,Natural England,10-Nov-11,Grants & contributions,Customers,Hampshire & Isle Of Wight Wildlife Trust,ERS-978064-36410,"28,020.86",Access to Nature Grant,SO32 2DP,,,,,,868853
Defra,Natural England,10-Nov-11,Grants & contributions,Customers,Luton Council of Faiths,ERS-978058-36417,"28,367.87",Access to Nature Grant,LU2 0BW,SME,,,,,868564
Defra,Natural England,10-Nov-11,Rail travel costs,Capability,Redfern Travel Ltd,27715,"121,731.97",Monthly charge for rail travel costs,BD1 3AZ,SME,,,,,
Defra,Natural England,14-Nov-11,"IT services, equipment & consumables",Capability,Atos IT Services UK Ltd,5584093739,"1,011,624.00","Charge for hosting, support and development of the Genesis IT System",WV10 6UH,,,,,,868622
Defra,Natural England,14-Nov-11,Legal costs,Capability,Browne Jacobson,205009,"31,289.52",Legal advice,NG1 7BJ,,,,,,
