"Spend over £25,000 - Publication template",,,,,,,,,,,,,
,,,,,,,,,,,,,
Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Defra,Fera,01/08/2011,Direct Subcontractors,Operations Directorate,Rothamsted Research Ltd,53984,28342.25,Modelling Work Completed Q1 20,SN2 1FF,Public Sector,N/A,T5JA7000,Administration
Defra,Fera,01/08/2011,Direct Subcontractors,Operations Directorate,Rothamsted Research Ltd,53985,27168.5,Purchase Order For Modelling W,SN2 1FF,Public Sector,N/A,T5JA7000,Administration
Defra,Fera,01/08/2011,Direct Subcontractors,Operations Directorate,Rothamsted Research Ltd,53986,27168.5,Purchase Order For Modelling W,SN2 1FF,Public Sector,N/A,T5JA7000,Administration
Defra,Fera,01/08/2011,Direct Subcontractors,Policy & Regulation,Health and Safety Laboratory,53999,31440,"Chemical Indicators, Preparati",SK17 9JN,Public Sector,N/A,W8DE1000,Administration
Defra,Fera,04/08/2011,Direct Subcontractors,Policy & Regulation,Health and Safety Laboratory,53998,31644,"Biological Indicators, Prepara",SK17 9JN,Public Sector,N/A,W8DB1000,Administration
Defra,Fera,05/08/2011,Direct Subcontractors,Policy & Regulation,NIAB,53975,64427.77,Routine Service & Delivery - I,CB3 0LE,SME,N/A,W8CA1000,Administration
Defra,Fera,05/08/2011,Direct Subcontractors,Policy & Regulation,NIAB,53976,52019.91,Routine Service & Delivery - I,CB3 0LE,SME,N/A,W8CB1000,Administration
Defra,Fera,05/08/2011,Direct Subcontractors,Policy & Regulation,NIAB,53977,222857.52,Routine Service & Delivery - 2,CB3 0LE,SME,N/A,W8CC1000,Administration
Defra,Fera,11/08/2011,Prepayment Postal Visa Card,Finance And Corporate Services,National Westminster Bank plc,54688,129612.2,National Westminster Bank Plc,SS1 9AJ,Large,N/A,!,Administration
Defra,Fera,16/08/2011,Direct Subcontractors,Operations Directorate,BBKA Enterprises,50427,35555.83,Bbka Course In Funding,CV8 2LG,SME,N/A,V5KC1000,Administration
