Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,Supplier Postcode,Supplier Type,Expenditure Type,,,
Cabinet Office,CABINET OFFICE,02/01/2013,Supplies and Services,HONOURS AND APPOINTMENTS,THE TREASURER TO THE QUEEN,3000032029,"71,911.00",Central Chancery charges for administration of Honours,SW1A 1AA,Government Department,Programme,,,
Cabinet Office,CABINET OFFICE,02/01/2013,Hire of Plant and Machines Memorandum Accounts,IT AND TELECOMS BRANCH,FUJITSU SERVICES,3000032019,"381,804.90",Flex service charges ,SW1A 2WH,Large,Admin,, ,
Cabinet Office,CABINET OFFICE,02/01/2013,Other Staff Related Costs,OFFICE FOR CIVIL SOCIETY,SERCO LTD,3000032014,"4,924,068.00",National Citizen Service contract,RG27 7FR,Large,Programme,,,
Cabinet Office,CABINET OFFICE,03/01/2013,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000032052,"25,633.02","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Programme,,,
Cabinet Office,CABINET OFFICE,03/01/2013,Consultancy,GOVERNMENT PROPERTY UNIT,SLAUGHTER & MAY,3000032060,"30,596.97",Professional services,EC1Y 8YY,Large,Admin,,,
Cabinet Office,CABINET OFFICE,03/01/2013,IT Costs,IT AND TELECOMS BRANCH,VERIZON UK LTD,3000032071,"41,116.80",Core data infrastructure ,RG2 6DA,Large,Admin,,,
Cabinet Office,CABINET OFFICE,03/01/2013,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000032059,"95,722.00",Treasury Solicitor Capitation costs,WC2B 4TS,Government Department,Admin,,,
Cabinet Office,CABINET OFFICE,03/01/2013,Consultancy,GOVERNMENT PROPERTY UNIT,SAVILLS COMMERCIAL LTD,3000032061,"100,000.00",Cost for ending lease of 2 properties,CB2 8PA,Large,Admin,,,
Cabinet Office,CABINET OFFICE,03/01/2013,Supplies and Services,INTELLIGENCE SECURITY AND RESILIENCE,BBC MONITORING,3000032053,"1,456,333.00",Monitoring services provided by the BBC,M14 0EP,Large,Programme,,,
Cabinet Office,CABINET OFFICE,04/01/2013,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000032096,"114,849.88",Facilities Management Services,BN1 1HQ,Large,Admin,,,
