2011 CMIR 7 - TRANSPARENCY REPORT,,,,,,,
Month: March 2011,,,,,,,

Dept.,Entity,Date,OGC Master Category,Project code,Supplier,Transaction Number,Payment Value
Dept. for Education,QCDA,31/03/2011,ICT,Corporate Services,Advanced Business Solutions Ltd (COA),PBAC/00132705,"63,441.13"
Dept. for Education,QCDA,31/03/2011,Professional Services Temporary Staff,Test Delivery Operations Programme,BSS,PBAC/00132735,"30,072.12"
Dept. for Education,QCDA,29/03/2011,Professional Services Learning & Development,CIEA,Chartered Institute Educational Assessor,PRFT/00001530,"81,250.00"
Dept. for Education,QCDA,07/03/2011,Professional Services Learning & Development,Test Delivery Operations Programme,Edexcel Ltd,PBAC/00132391,"1,330,000.00"
Dept. for Education,QCDA,10/03/2011,Logistics,Curriculum Development Programme,Granby Marketing,PBAC/00132438,"418,502.76"
Dept. for Education,QCDA,31/03/2011,Facilities,Corporate Services,MCD (Coventry) Ltd,PBAC/00132728,"366,990.30"
Dept. for Education,QCDA,10/03/2011,Professional Services Learning & Development,Test Delivery Operations Programme,NFER,PBAC/00132449,"26,160.00"
Dept. for Education,QCDA,07/03/2011,Logistics,General Qualifications Programme,Parcelforce Worldwide,PBAC/00132433,"724,644.08"
Dept. for Education,QCDA,07/03/2011,Professional Services Temporary Staff,Corporate Services,PENNA PLC,PBAC/00132434,"145,583.70"
Dept. for Education,QCDA,31/03/2011,Professional Services Temporary Staff,Corporate Services,PENNA PLC,PBAC/00132712,"76,611.32"
Dept. for Education,QCDA,03/03/2011,Professional Services Temporary Staff,Corporate Services,PENNA PLC,PBAC/00132348,"44,625.67"
Dept. for Education,QCDA,29/03/2011,Office Solutions,Test Delivery Operations Programme,Pindar,PBAC/00132667,"231,358.86"
Dept. for Education,QCDA,07/03/2011,Office Solutions,Test Delivery Operations Programme,Pindar,PBAC/00132382,"30,560.45"
Dept. for Education,QCDA,31/03/2011,Professional Services Temporary Staff,Policy & Strategy,Sandwell Metropolitan Borough Council,PBAC/00132747,"31,273.65"
Dept. for Education,QCDA,31/03/2011,Facilities,Corporate Services,SGP Property & Facilities Management Ltd,PBAC/00132723,"43,993.51"
Dept. for Education,QCDA,29/03/2011,ICT,Corporate Services,Steria Ltd ,PBAC/00132653,"205,608.29"
Dept. for Education,QCDA,29/03/2011,ICT,Corporate Services,Steria Services Ltd ,PCREDT/00001007,"-87,500.00"
Dept. for Education,QCDA,29/03/2011,ICT,Corporate Services,Steria Services Ltd ,PCREDT/00001008,"-87,500.00"
Dept. for Education,QCDA,29/03/2011,ICT,Corporate Services,Steria Services Ltd ,PBAC/00132647,"57,829.69"

2011 CMIR 7e - TRANSPARENCY REPORT,,,,,,,
Month: March 2011,,,,,,,

Dept.,Entity,Date,OGC Master Category,Project code,Supplier,Transaction Number, Payment Value 
Department for Education,QCDA(E),30/03/2011,Logistics,Corporate Services,The Stationery Office,QPIN/00001095,"35,912.65"
