Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
DEFRA,Rural Payments Agency,08-Sep-10,Agents Services (MHS),Ops - Workington - BCMS,Food Standards Agency~105029983,915836,85948.22 
DEFRA,Rural Payments Agency,08-Sep-10,Agents Services (MHS),Ops - Workington - BCMS,Food Standards Agency~105029983,915817,117338.79 
DEFRA,Rural Payments Agency,09-Sep-10,Contractors (VAT Irrecoverable),COO/Performance Directorate (OPT),METHODS CONSULTING~105029039,100011499,27881.92 
DEFRA,Rural Payments Agency,09-Sep-10,Telecoms Service Charges (inc conferencing),CIO - Service Management,BRITISH TELECOM PLC~105000844,VP83682270M06301UJ,34752.97 
DEFRA,Rural Payments Agency,13-Sep-10,Contractors (VAT Irrecoverable),COO/Performance Directorate (OPT),METHODS CONSULTING~105029039,100011599,35564.90 
DEFRA,Rural Payments Agency,13-Sep-10,Outscourced Scanning Costs,Managed Document Service,Adare Limited~114358310,IS1173769,38129.68 
DEFRA,Rural Payments Agency,13-Sep-10,Payroll Recharge from DEFRA,HR - Business Support,DEFRA.~105038940,192982,28711.54 
DEFRA,Rural Payments Agency,14-Sep-10,Scheme Related Fees & Charges,Ops - Carlisle - Cross Compliance & Inspections Management Unit,REMOTE SENSING APPLICATIONS CONSULTANTS LTD~105041353,0562,81934.93 
DEFRA,Rural Payments Agency,20-Sep-10,IT Outsourced Services,Supplier Management,DSGi Business~113219956,10617893,68940.00 
DEFRA,Rural Payments Agency,20-Sep-10,Postal & Carriage charges,Corporate Services,ROYAL MAIL~105047406,0798077092/1105364256,35000.00 
DEFRA,Rural Payments Agency,20-Sep-10,Printing,Managed Document Service,Adare Limited~114358310,IS1173749,51583.92 
DEFRA,Rural Payments Agency,22-Sep-10,Travel & Subsistence - Travel (UK),DEFRA Funded Projected,SOFTWARE AG (UK) LIMITED~111720391,4400157,93765.88 
DEFRA,Rural Payments Agency,23-Sep-10,Contractors (VAT Irrecoverable),COO/Performance Directorate (OPT),METHODS CONSULTING~105029039,100011740,30926.00 
DEFRA,Rural Payments Agency,23-Sep-10,Travel & Subsistence - Travel (UK),DEFRA Funded Projected,SOFTWARE AG (UK) LIMITED~111720391,999008216,106999.03 
DEFRA,Rural Payments Agency,27-Sep-10,Contractors (VAT Irrecoverable),CIO - PPD Projects,IBM UK LTD~105002620,5809101095,236081.80 
DEFRA,Rural Payments Agency,27-Sep-10,IT Outsourced Services,CIO - PPD Corporate Services,IBM UK LTD~105002620,5809100965,248251.00 
DEFRA,Rural Payments Agency,27-Sep-10,IT Outsourced Services,CIO - PPD Programme Customer,IBM UK LTD~105002620,5809100966,32385.73 
DEFRA,Rural Payments Agency,27-Sep-10,IT Outsourced Services,Supplier Management,IBM UK LTD~105002620,5809101174,36003.57 
DEFRA,Rural Payments Agency,27-Sep-10,,,Food Standards Agency~105029983,915861,121342.90 
DEFRA,Rural Payments Agency,29-Sep-10,Works & Services - Non Capital Furniture/Removals & Household,Corporate Services,TNT EXPRESS WORLDWIDE (UK) LIMITED~105003426,9450945,37662.40 
