Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department for Work and Pensions,Corporate,01/07/2010,CAPITAL GRANTS,GROUP FINANCE,CLOCKWISE LEICESTER CREDIT UNION,2015996985,"70,000.00"
Department for Work and Pensions,Corporate,01/07/2010,COMMUNICATIONS & PUBLICITY,Corporate and Support Services,XEROX UK LIMITED 3W,2016002279,"1,544.00"
Department for Work and Pensions,Corporate,01/07/2010,COMPUTER SERVICES,CORPORATE IT,XEROX UK LIMITED 3W,2016002279,"245,663.82"
Department for Work and Pensions,Corporate,01/07/2010,CONFERENCES AND MEETINGS,WWG ,NYS CORPORATE LTD,2016000729,723.68
Department for Work and Pensions,Corporate,01/07/2010,CONFERENCES AND MEETINGS,WWG ,NYS CORPORATE LTD,2016000729,"1,971.90"
Department for Work and Pensions,Corporate,01/07/2010,CONFERENCES AND MEETINGS,EG,NYS CORPORATE LTD,2016000729,570.42
Department for Work and Pensions,Corporate,01/07/2010,CONFERENCES AND MEETINGS,EG,NYS CORPORATE LTD,2016000729,"1,770.29"
Department for Work and Pensions,Corporate,01/07/2010,CONFERENCES AND MEETINGS,GROUP FINANCE,NYS CORPORATE LTD,2016000729,"2,696.40"
Department for Work and Pensions,Corporate,01/07/2010,CONFERENCES AND MEETINGS,GROUP FINANCE,NYS CORPORATE LTD,2016000729,409.80
Department for Work and Pensions,Corporate,01/07/2010,CONFERENCES AND MEETINGS,GROUP FINANCE,NYS CORPORATE LTD,2016000729,688.45
Department for Work and Pensions,Corporate,01/07/2010,CONFERENCES AND MEETINGS,GROUP FINANCE,NYS CORPORATE LTD,2016000729,771.33
Department for Work and Pensions,Corporate,01/07/2010,CONFERENCES AND MEETINGS,DIRECTGOV ,NYS CORPORATE LTD,2016000729,198.86
Department for Work and Pensions,Corporate,01/07/2010,CONFERENCES AND MEETINGS,CORPORATE IT,NYS CORPORATE LTD,2016000729,310.72
Department for Work and Pensions,Corporate,01/07/2010,CONFERENCES AND MEETINGS,CHANGE MANAGEMENT DIRECTORATE,NYS CORPORATE LTD,2016000729,"2,086.85"
Department for Work and Pensions,Corporate,01/07/2010,CONFERENCES AND MEETINGS,CHANGE MANAGEMENT DIRECTORATE,NYS CORPORATE LTD,2016000729,"1,032.67"
Department for Work and Pensions,Corporate,01/07/2010,CONFERENCES AND MEETINGS,CHANGE MANAGEMENT DIRECTORATE,NYS CORPORATE LTD,2016000729,336.03
Department for Work and Pensions,Corporate,01/07/2010,CONFERENCES AND MEETINGS,CORPORATE IT,NYS CORPORATE LTD,2016000729,899.90
Department for Work and Pensions,Corporate,01/07/2010,CONFERENCES AND MEETINGS,CORPORATE IT,NYS CORPORATE LTD,2016000729,491.13
Department for Work and Pensions,Corporate,01/07/2010,CONFERENCES AND MEETINGS,Corporate and Support Services,NYS CORPORATE LTD,2016000729,642.68
Department for Work and Pensions,Corporate,01/07/2010,CONFERENCES AND MEETINGS,Corporate and Support Services,NYS CORPORATE LTD,2016000729,"3,098.92"
Department for Work and Pensions,Corporate,01/07/2010,CONFERENCES AND MEETINGS,Corporate and Support Services,NYS CORPORATE LTD,2016000729,"12,149.07"
Department for Work and Pensions,Corporate,01/07/2010,CONFERENCES AND MEETINGS,Corporate and Support Services,NYS CORPORATE LTD,2016000729,"1,011.53"
Department for Work and Pensions,Corporate,01/07/2010,CONFERENCES AND MEETINGS,Corporate and Support Services,NYS CORPORATE LTD,2016000729,"15,916.26"
Department for Work and Pensions,Corporate,01/07/2010,CONFERENCES AND MEETINGS,SHARED SERVICES ,NYS CORPORATE LTD,2016000729,"3,603.42"
Department for Work and Pensions,Corporate,01/07/2010,CONFERENCES AND MEETINGS,CORPORATE IT,NYS CORPORATE LTD,2016000729,381.74
Department for Work and Pensions,Corporate,01/07/2010,CONFERENCES AND MEETINGS,PENSIONS CLIENT DIRECTORATE,NYS CORPORATE LTD,2016000729,26.96
Department for Work and Pensions,Corporate,01/07/2010,CONFERENCES AND MEETINGS,PENSIONS CLIENT DIRECTORATE,NYS CORPORATE LTD,2016000729,"4,969.82"
Department for Work and Pensions,Corporate,01/07/2010,CONFERENCES AND MEETINGS,PENSIONS CLIENT DIRECTORATE,NYS CORPORATE LTD,2016000729,117.20
Department for Work and Pensions,Corporate,01/07/2010,CONFERENCES AND MEETINGS,WWG,NYS CORPORATE LTD,2016000729,"4,816.07"
Department for Work and Pensions,Corporate,01/07/2010,CONFERENCES AND MEETINGS,EG,NYS CORPORATE LTD,2016000729,351.35
Department for Work and Pensions,Corporate,01/07/2010,INTERNATIONAL PROGRAMMES,WWG ,UKCISA,2016002098,"63,500.00"
Department for Work and Pensions,Corporate,01/07/2010,MANAGEMENT CONSULTANCY,GROUP FINANCE,PRICEWATERHOUSE COOPERS LLP,2016001004,"87,031.20"
Department for Work and Pensions,Corporate,01/07/2010,MARKETING,Corporate and Support Services,XEROX UK LIMITED 3W,2016002279,180.00
Department for Work and Pensions,Corporate,01/07/2010,MARKETING,Corporate and Support Services,ASSOCIATED NORTHCLIFFE DIGITAL LTD,2015996520,-40.22
Department for Work and Pensions,Corporate,01/07/2010,NON PRIME CHARGES,DIRECTGOV ,COI CENTRAL OFFICE OF INFORMATION,2015996993,"305,296.43"
Department for Work and Pensions,Corporate,01/07/2010,NON PRIME CHARGES,DIRECTGOV ,COI CENTRAL OFFICE OF INFORMATION,2015996993,"24,234.37"
Department for Work and Pensions,Corporate,01/07/2010,OFFICE MACHINERY HIRE & MAINTENANCE,LSPG,XEROX UK LIMITED 3W,2016002279,"1,117.13"
Department for Work and Pensions,Corporate,01/07/2010,POSTAGE,GROUP FINANCE,TNT UK LTD,2016002062,7.90
Department for Work and Pensions,Corporate,01/07/2010,POSTAGE,GROUP FINANCE,TNT UK LTD,2016002062,3.95
Department for Work and Pensions,Corporate,01/07/2010,POSTAGE,GROUP FINANCE,TNT UK LTD,2016002062,27.65
