Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number,Amount,Contract Number,Publish/Redact,Project Code
,,01/11/2013,IT minor costs non capital,DG: PHD,HEALTH AND SOCIAL CARE INFORMATION CENTRE,PUBLIC,WF3 1WE,12665764,26787,,Publish,
,,01/11/2013,Outsourcing Contract,DG: PHD,HEALTH AND SOCIAL CARE INFORMATION CENTRE,PUBLIC,,12665950,117795,,Publish,
,,28/11/2013,Additions Other loans,DG: SFNHS,COMMUNITY HEALTH PARTNERSHIPS (CHP),PUBLIC,SE1 9BW,BK TRANSFER 28/11/13,10000000,,Publish,
,,27/11/2013,Research & development,DG: RDD,NORTH WEST LONDON HOSPITALS NHS TRUST,PUBLIC,HA1 3UJ,ERS-508997-82925,49189,,Publish,
,,27/11/2013,Research & development,DG: RDD,THE ROYAL MARSDEN NHS FOUNDATION TRUST,PUBLIC,SM2  5PT,ERS-508994-82924,43000,,Publish,
,,27/11/2013,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,ERS-508993-82922,2066236,,Publish,
,,27/11/2013,Research & development,DG: RDD,NHS OXFORDSHIRE CCG 10Q,PUBLIC,OX4 2LH,ERS-508991-82930,87182,,Publish,
,,01/11/2013,CASH FUNDING Rev Inside RAB,DG: CENTRAL TECHNICAL,CARE QUALITY COMMISSION (CQC) CQC033,PUBLIC,,HAFS-16161,7000000,,Publish,
,,01/11/2013,CASH FUNDING Rev Inside RAB,DG: CENTRAL TECHNICAL,HEALTH AND SOCIAL CARE INFORMATION CENTRE,PUBLIC,WF3 1WE,HAFS-16162,15000000,,Publish,
,,01/11/2013,CASH FUNDING Rev Inside RAB,DG: CENTRAL TECHNICAL,HEALTH EDUCATION ENGLAND T1510,PUBLIC,LS1 4PL,HAFS-16163,340000000,,Publish,
,,01/11/2013,CASH FUNDING Rev Inside RAB,DG: CENTRAL TECHNICAL,HEALTH RESEARCH AUTHORITY,PUBLIC,SE1 6LH,HAFS-16164,860000,,Publish,
,,01/11/2013,CASH FUNDING Rev Inside RAB,DG: CENTRAL TECHNICAL,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS MIR033,PUBLIC,,HAFS-16165,5050000,,Publish,
,,01/11/2013,CASH FUNDING Rev Inside RAB,DG: CENTRAL TECHNICAL,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),PUBLIC,SE1 7NT,HAFS-16166,6000000,,Publish,
,,01/11/2013,CASH FUNDING Rev Inside RAB,DG: CENTRAL TECHNICAL,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PUBLIC,NE1 6SN,HAFS-16167,15600000,,Publish,
,,01/11/2013,CASH FUNDING Rev Inside RAB,DG: CENTRAL TECHNICAL,NHS ENGLAND CBA033,PUBLIC,LS2 7UE,HAFS-16168,3634258000,,Publish,
,,01/11/2013,CASH FUNDING Rev Inside RAB,DG: CENTRAL TECHNICAL,NHS TRUST DEVELOPMENT AUTHORITY,PUBLIC,SW1E 6QT,HAFS-16169,2500000,,Publish,
,,01/11/2013,CASH FUNDING Rev Inside RAB,DG: CENTRAL TECHNICAL,PUBLIC HEALTH ENGLAND PHE033,PUBLIC,SP4 0JG,HAFS-16170,70000000,,Publish,
,,01/11/2013,CASH FUNDING Rev Inside RAB,DG: CENTRAL TECHNICAL,NHS ENGLAND CBA033,PUBLIC,LS2 7UE,HAFS-16171,4553761000,,Publish,
,,27/11/2013,Research & development,DG: RDD,THE ROYAL MARSDEN NHS FOUNDATION TRUST,PUBLIC,SM2  5PT,ERS-508990-82923,107230,,Publish,
,,27/11/2013,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,PUBLIC,EX2 5DW,ERS-508989-82921,208666,,Publish,
,,27/11/2013,Research & development,DG: RDD,MEDICINES AND HEALTHCARE PRODUCTS REGULATORY AGENCY (MHP033),PUBLIC,SW1W 9SZ,ERS-508988-82926,32466.6,,Publish,
,,04/11/2013,Additions FT Financing Facility Loans,DG: CENTRAL TECHNICAL,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,PUBLIC,DN2 5LT,HAFS-16172,10000000,,Publish,
,,04/11/2013,Additions PDC Revenue Support NHS T Temporary,DG: CENTRAL TECHNICAL,MID YORKSHIRE HOSPITALS NHS TRUST,PUBLIC,WF1 4TU,HAFS-16173,1000000,,Publish,
,,04/11/2013,Additions PDC Revenue Support NHS FT Permenant,DG: CENTRAL TECHNICAL,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,PUBLIC,PE3 6DA,HAFS-16174,3800000,,Publish,
,,04/11/2013,Additions PDC Capital Support NHS FT Permenant,DG: CENTRAL TECHNICAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,PUBLIC,NW3 2QG,HAFS-16175,165000,,Publish,
,,04/11/2013,Additions PDC Revenue Support NHS T Temporary,DG: CENTRAL TECHNICAL,SURREY & SUSSEX HEALTHCARE NHS TRUST,PUBLIC,RH1 5RH,HAFS-16176,5500000,,Publish,
,,04/11/2013,Additions PDC Capital Support NHS FT Permenant,DG: CENTRAL TECHNICAL,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,PUBLIC,YO30 4RY,HAFS-16177,12000000,,Publish,
,,05/11/2013,Outsourcing Contract,DG: SFNHS,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,PUBLIC,EX2 7HY,6283597,199167,,Publish,
,,27/11/2013,Outsourcing Contract,DG: ERD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,3126281,43909.2,,Publish,
,,27/11/2013,Outsourcing Contract,DG: ERD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,3126281,1000,,Publish,
,,27/11/2013,Outsourcing Contract,DG: ERD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,3126281,35214,,Publish,
,,27/11/2013,Outsourcing Contract,DG: ERD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,3126281,252559,,Publish,
,,06/11/2013,Outsourcing Contract,DG: PHD,NHS SUPPLY CHAIN,PUBLIC,DE55 4QJ,9044000025,3873638,,Publish,
,,07/11/2013,Research & development,DG: RDD,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,PUBLIC,NW1 0PE,ERS-507500-81918,67640,,Publish,
,,07/11/2013,Research & development,DG: RDD,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,PUBLIC,BS99 1YF,ERS-507501-81881,38546,,Publish,
,,07/11/2013,Research & development,DG: RDD,BARTS HEALTH NHS TRUST R1H,PUBLIC,E1 8PR,ERS-507502-81921,29946,,Publish,
,,07/11/2013,Research & development,DG: RDD,NHS Bradford Districts CCG 02R,PUBLIC,WF3 1WE,ERS-507503-81925,83900,,Publish,
,,07/11/2013,Research & development,DG: RDD,NHS Cambridgeshire and Peterborough CCG 06H,PUBLIC,CB2 8FH,ERS-507504-81923,105245,,Publish,
,,07/11/2013,Research & development,DG: RDD,NHS BRISTOL CCG 11H,PUBLIC,BS1 3NX,ERS-507505-81924,88592,,Publish,
,,07/11/2013,Research & development,DG: RDD,NHS OXFORDSHIRE CCG 10Q,PUBLIC,OX4 2LH,ERS-507506-81922,37169,,Publish,
,,07/11/2013,Research & development,DG: RDD,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,PUBLIC,M21 9UN,ERS-507507-81917,56602,,Publish,
,,07/11/2013,Research & development,DG: RDD,PLYMOUTH HOSPITALS NHS TRUST,PUBLIC,WF3 1WE,ERS-507508-81886,71514,,Publish,
,,07/11/2013,Research & development,DG: RDD,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,PUBLIC,BS99 1YF,ERS-507509-81882,26719,,Publish,
