Departmental Family,Departmental Entity,Date,Expence Type,Supplier,Transaction Number, Amount ,PO Line Description,Supplier site postcode,Supplier Type,Contract Number,Project Code,Expence Type
,,01/01/2016,DH Support to Mergers,FRIMLEY HEALTH NHS FOUNDATION TRUST,N0078843," 133,333 ",Advisory Costs,GU16 5UJ,PUBLIC,,,
,,01/01/2016,DH Support to Mergers,FRIMLEY HEALTH NHS FOUNDATION TRUST,N0078843,"-297,500 ",Implementation of Heatherwood Operational Efficiency - Frimley,GU16 5UJ,PUBLIC,,,
,,01/01/2016,DH Support to Mergers,FRIMLEY HEALTH NHS FOUNDATION TRUST,N0078843," 164,167 ",PMO Costs,GU16 5UJ,PUBLIC,,,
,,01/01/2016,Rent of Land & Buildings (non-PFI operating lease),SAVILLS COMMERCIAL LTD,DS101L-1/1/2016,-144 ,Blenheim House - Part Ground Floor - Rental FY2015-16 ,M2 2FE,LARGE,,,
,,01/01/2016,Service charge,SAVILLS COMMERCIAL LTD,DS101L-1/1/2016, 144 ,Blenheim House - Part Ground Floor - Rental FY2015-16 ,M2 2FE,LARGE,,,
,,01/01/2016,Expense clearing GPC (ST),THE ROYAL BANK OF SCOTLAND PLC,5873001-27-JAN-16," 27,790 ",,SS1 9AJ,LARGE,,,
,,04/01/2016,ENDPBs Admin Revenue Grant in Aid,CARE QUALITY COMMISSION (CQC) CQC033,HAFS-19116," 15,000,000 ",,,PUBLIC,,,
,,04/01/2016,ENDPBs Admin Revenue Grant in Aid,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,HAFS-19117," 15,000,000 ",,WF3 1WE,PUBLIC,,,
,,04/01/2016,ENDPBs Admin Revenue Grant in Aid,HEALTH EDUCATION ENGLAND T1510,HAFS-19118," 540,000,000 ",,LS1 4PL,PUBLIC,,,
,,04/01/2016,ENDPBs Admin Revenue Grant in Aid,HEALTH RESEARCH AUTHORITY,HAFS-19119," 1,350,000 ",,SE1 6LH,PUBLIC,,,
,,04/01/2016,ENDPBs Admin Revenue Grant in Aid,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS MIR033,HAFS-19120," 6,500,000 ",,,PUBLIC,,,
,,04/01/2016,ENDPBs Admin Revenue Grant in Aid,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-19121," 3,000,000 ",,SE1 7NT,PUBLIC,,,
,,04/01/2016,SpHAs Programme Revenue Parliamentary Funding,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-19122," 12,500,000 ",,NE1 6SN,PUBLIC,,,
,,04/01/2016,ENDPBs Admin Revenue Grant in Aid,NHS ENGLAND CBA033,HAFS-19123," 2,360,328,000 ",,LS2 7UE,PUBLIC,,,
,,04/01/2016,ENDPBs Admin Revenue Grant in Aid,NHS ENGLAND CBA033,HAFS-19124," 5,143,199,000 ",,LS2 7UE,PUBLIC,,,
,,04/01/2016,SpHAs Programme Revenue Parliamentary Funding,NHS LITIGATION AUTHORITY,HAFS-19125," 20,000,000 ",,LS1 4AD,PUBLIC,,,
,,04/01/2016,SpHAs Programme Revenue Parliamentary Funding,NHS TRUST DEVELOPMENT AUTHORITY,HAFS-19126," 3,500,000 ",,SW1E 6QT,PUBLIC,,,
,,04/01/2016,SpHAs Programme Revenue Parliamentary Funding,PUBLIC HEALTH ENGLAND PHE033,HAFS-19127," 76,001,000 ",,SP4 0JG,PUBLIC,,,
,,04/01/2016,Additions PDC Capital Support NHS FT Permenant,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,HAFS-19145," 480,000 ",,RG24 9NA,PUBLIC,,,
,,04/01/2016,Additions PDC Capital Support NHS T Permenant,LEWISHAM AND GREENWICH NHS TRUST,HAFS-19146," 3,443,000 ",,SE13 6LH,PUBLIC,,,
,,04/01/2016,Additions PDC Capital Support NHS FT Permenant,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,HAFS-19147," 1,000,000 ",,GL1 2EL,PUBLIC,,,
,,04/01/2016,DH Support to Mergers,ROYAL FREE LONDON NHS FOUNDATION TRUST,I0110623," 1,895,000 ",Implementation of Barnet and Chase Farm Operational Efficiency,NW3 2QG,PUBLIC,,,
,,04/01/2016,Expense clearing GPC (ST),THE ROYAL BANK OF SCOTLAND PLC,5873001-27-JAN-16," 2,378 ",,SS1 9AJ,LARGE,,,
,,04/01/2016,Service charge,DOCUMENT CAPTURE CO LTD,101615," 36,000 ","Revenue: 2015/16 Choices Document Capture - Hosting and Analysis for online survey tools. 12 months for the use of Verint survey tool and CRM system 	 ",HA0 4PE,SME,,,
,,04/01/2016,Service charge,ACCENTURE UK LTD,3003303944," 36,700 ","Revenue charges for the  Period commencing FY15/16: Mail2-v0002 Backlog Fast Track Assesment and Preparation - Accenture 	 ",EC3M 3BD,LARGE,,,
,,04/01/2016,Service charge,ACCENTURE UK LTD,3003303945," 102,587 ","Revenue charges for the  Period commencing FY15/16: Mail2-v0004 - v2.1 - Interim Operating Model - Accenture  	 ",EC3M 3BD,LARGE,,,
,,04/01/2016,Service charge,ACCENTURE UK LTD,3003303946," 108,024 ","Revenue : charges for the  Period commencing FY15/16: Mail2-V0005 - v1.3 - Portal Approach - Accenture  	 ",EC3M 3BD,LARGE,,,
,,04/01/2016,Service charge,EXPERIAN HOLDINGS LTD,HEX65000555308," 60,415 ","Revenue: 2015/16 Choices Experian - Software Licensing renewal with effect from 11/11/2015 to 10/11/2016	 ",NG80 1TH,SME,,,
,,05/01/2016,Other creditors (ST),NHS PROPERTY SERVICES LTD,PAYMENT RETURNED," 56,661 ",,SE1 6LH,PUBLIC,,,
,,05/01/2016,Research & development,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-549312-114921," 7,280 ",HTA Commissioned Research,BS99 1YF,PUBLIC,,,
,,05/01/2016,Research & development,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-549312-114921," 2,761 ",HTA Commissioned Research,BS99 1YF,PUBLIC,,,
,,05/01/2016,Research & development,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-549312-114921," 27,007 ",HTA Commissioned Research,BS99 1YF,PUBLIC,,,
