DEPARTMENT,ENTITY,ACCOUNTING_DATE,EXPENSE_TYPE,SUPPLIER_OBS_TYPE,EXPENSE_AREA,SUPPLIER_OBS_TYPE_1,SUPPLIER,TRANSACTION_NUM, AMOUNT ,DESCRIPTION,POSTCODE,SUPPLIER_TYPE,CONTRACT_NUMBER,PROJECT_CODE,EXPENDITURE_TYPE,VAT_REGISTRATION_NUM
DEFRA,DEFRA ORGANISATION,24/01/2012,Mobile Phones,Supplier,Central Finance Group,Supplier,Vodafone Ltd,61271337,58030.90,Defra Vodafone bill for November 2011,RG14 5FF,,,0,Asset,
DEFRA,DEFRA ORGANISATION,12/01/2012,GPC Card,Supplier,Central Finance Group,Supplier,Barclaycard Business Issuing,4.72E+21,167130.83,Government Procurement Card payments across Defra for period January 2012,TS17 6YG,,,0,Asset,
DEFRA,DEFRA ORGANISATION,20/01/2012,Other Current Payments E,OGD,Environment and Rural Group,OGD,JSS Pensions Administration,3441,109822.48,Nature Conservation Council Pensions GROSS MONTHLY AP COSTS DEC 2011,SN2 1UY,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,26/01/2012,Other Current Payments (Evidence R&D),Supplier,Environment and Rural Group,Supplier,Frontier Economics Ltd,5222,166688.00,Economics of Climate Resilience ,WC1V 6DA,SME,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,10/01/2012,Other Current Payments (GB),OGD,Environment and Rural Group,OGD,Dept For Communities & Local Gov,10112,250000.00,LONDON SUPPORT GRANT SERVICES,HP2 4XN,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,10/01/2012,Inwards Secondments,OGD,Environment and Rural Group,OGD,H M Treasury,27146,30000.00,SECONDMENT  OCT-NOV 2011,NR7 0HS,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,10/01/2012,Other Current Payments E,OGD,Environment and Rural Group,OGD,Dept For Communities & Local Gov,40112,1752777.78,LONDON SUPPORT GRANT SERVICES,HP2 4XN,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,24/01/2012,Other Current Payments E,Supplier,Environment and Rural Group,Supplier,North Pennines AONB Partnership,81211,278268.75,North Pennines AREA OF OUTSTANDING NATURAL BEAUTY,DL13 2UY,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,03/01/2012,Current Grants E,Local Authority,Environment and Rural Group,Local Authority,Northumberland Nat Park Authority,81211,504337.00,Grant-In Aid Payment - Northumberland National Parks Authority,NE46 1BS,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,03/01/2012,Current Grants E,Local Authority,Environment and Rural Group,Local Authority,Peak District National Park Auth,81211,771720.00,Grant-In Aid Payment  Peak District National Park,DE45 1AE,,Exempt,0,Expense,
