Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,21/01/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,AMEC(AGL) LTD,DL1 2ED,426195,Fiscal asset under construction - capital in year addition,"£13,800,000.00"
Ministry of Defence,Ministry of Defence,15/01/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,424367,Utilities consumed - electricity,"£10,900,200.39"
Ministry of Defence,Ministry of Defence,09/01/2015,"Purchase of munitions, other inventory or fuel",Defence Equipment + Support,SHELL U.K. OIL PRODUCTS LTD,G2 7EQ,2000023883,Raw materials and consumable aviation fuel inventory purchased,"£9,698,202.91"
Ministry of Defence,Ministry of Defence,20/01/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,425894,Estate core services charge,"£9,160,748.79"
Ministry of Defence,Ministry of Defence,16/01/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,424840,Utilities consumed - gas,"£8,457,290.75"
Ministry of Defence,Ministry of Defence,08/01/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,SW1A 2HB,421760,Property non dwellings private finance initiative - service concession arrangement service charge,"£7,868,123.70"
Ministry of Defence,Ministry of Defence,19/01/2015,Government Procurement Card,Ministry of Defence,Barclays Bank PLC,TS17 6YG,EMP11439,Monthly GPC Payment,"£7,752,563.21"
Ministry of Defence,Ministry of Defence,13/01/2015,Grants to NDPBs,Land Forces,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,423338,Grant in aid to the council of reserve forces and cadet associations,"£7,313,407.50"
Ministry of Defence,Ministry of Defence,27/01/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY (HOUSING PRIME) LIMITED,WV1 4HY,428346,Estate core services charge,"£6,388,338.72"
Ministry of Defence,Ministry of Defence,14/01/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,BABCOCK DYNCORP LIMITED,PE28 2EA,423787,Estate core services charge,"£6,279,937.49"
