Department,Entity,Date,Expense type,Expense Area,Supplier Name,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Number,Expenditure type
Defra,NE,02/04/2012,Asset purchases,Delivery with Communities,4 M Portable Buildings Ltd,4089,"£31,814.40",Purchase of demountable building,SY4 5SD,SME,24325,,
Defra,NE,30/04/2012,Grants & contributions,Delivery with Communities,Anglian Water,80006113,"£40,000.00",Installation of biosecurity washdown units at Grafham Way and Rutland Water Site of Special Scientific Interest,LN57WR,,,,
Defra,NE,16/04/2012,"IT services, equipment & consumables",Capability,Atos IT Services UK Ltd,5584104634,"£140,874.31",Application development costs for the Genesis IT System,WV10 6UH,,24394,,
Defra,NE,16/04/2012,"IT services, equipment & consumables",Capability,Atos IT Services UK Ltd,5584104630,"£1,011,624.00","Charge for hosting, support and development of the Genesis IT System",WV10 6UH,,,,
Defra,NE,04/04/2012,"IT services, equipment & consumables",Capability,Atos IT Services UK Ltd,5584097200,"£201,234.44",Application development costs for the Genesis IT System,WV10 6UH,,24396,,
Defra,NE,16/04/2012,"IT services, equipment & consumables",Capability,Atos IT Services UK Ltd,5584104631,"£75,787.26",Application development costs for the Genesis IT System,WV10 6UH,,1/08.04.11,,
Defra,NE,10/04/2012,Barclaycard purchases,Capability,Barclaycard Business Issuing,4715320649067576020412,"£763,425.67",March monthly payment for Government Procurement Card expenditure,TS17 6YG,,,,
Defra,NE,12/04/2012,"IT services, equipment & consumables",Capability,BravoSolution UK Ltd,BUK12V0004177,"£40,000.03",E-tendering system licence,EC2M 7AD,SME,RM1557/3,,
Defra,NE,24/04/2012,Legal costs,Capability,Browne Jacobson,215945,"£30,121.58",Legal services,NG1 7BJ,,,,
Defra,NE,02/04/2012,"Monitoring, Evaluation & Surveillance costs",Delivery with Communities,Butterfly Conservation,SIN006465,"£40,000.00",Data Management and Mobilisation of Lepidoptera,BH20 5QP,,23714,,
Defra,NE,02/04/2012,Grants & contributions,Delivery with Communities,Butterfly Conservation,SIN006466,"£30,000.00",Macro-mouth status study,BH20 5QP,,23731,,
Defra,NE,12/04/2012,Grants & contributions,Delivery with Communities,Butterfly Conservation,S1N006522,"£100,000.00",Land purchase grant,BH20 5QP,,24429,,
Defra,NE,04/04/2012,Grants & contributions,Delivery with Communities,Butterfly Conservation,SIN006464,"£100,000.00",Butterfly conservation work,BH20 5QP,,24270,,
Defra,NE,26/04/2012,"Monitoring, Evaluation & Surveillance costs",Science & Evidence,Centre For Ecology & Hydrology,7060002624,"£100,000.00",Agreement scale monitoring of Higher Level Stewardship,OX10 8BB,,Omnicom 20272,,
Defra,NE,16/04/2012,Grants & contributions,Delivery with Communities,Centre For Ecology & Hydrology,7060002662,"£30,000.00",Monitoring and research into lake fish species,LA1 4AP,,24248,,
Defra,NE,02/04/2012,"Monitoring, Evaluation & Surveillance costs",Delivery with Communities,CMACS Ltd,1641,"£37,607.40",Intertidal surveying on the Solent Maritime,CH62 0AW,SME,23601,,
Defra,NE,02/04/2012,Other programme expenditure,Delivery with Communities,Cornwall Council,33,"£38,872.36",Refund of overpayment,TR1 3AY,,,,
