Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode ,Project Code,Expenditure Type
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/04/2013,Crime Higher,LEGAL AID FUND,MELDRUM SOLICITORS LLP,127613149,"116,020.12",Legal Aid Payments: Crime Higher,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/04/2013,Crime Higher,LEGAL AID FUND,LLOYDS PR LTD,127611309,"98,602.86",Legal Aid Payments: Crime Higher,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/04/2013,Crime Higher,LEGAL AID FUND,RAHMAN RAVELLI SOLICTORS LTD,127612984,"98,602.86",Legal Aid Payments: Crime Higher,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/04/2013,Civil Representation,LEGAL AID FUND,A H PAGE,127513535,"79,867.21",Legal Aid Payments: Civil Representation,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/04/2013,Crime Higher,LEGAL AID FUND,MORDI & CO,127611105,"78,406.47",Legal Aid Payments: Crime Higher,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/04/2013,Crime Higher,LEGAL AID FUND,B H MOHAMMED,127611524,"78,406.47",Legal Aid Payments: Crime Higher,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/04/2013,Crime Higher,LEGAL AID FUND,DANIEL JANNER Q.C.,127637808,"78,239.10",Legal Aid Payments: Crime Higher,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/04/2013,Crime Higher,LEGAL AID FUND,BARK & CO,127586376,"72,670.04",Legal Aid Payments: Crime Higher,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/04/2013,Crime Higher,LEGAL AID FUND,KALBER STRUCKLEY & COMPANY,127611262,"71,653.78",Legal Aid Payments: Crime Higher,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/04/2013,Crime Higher,LEGAL AID FUND,LLOYDS PR LTD,127586355,"65,671.20",Legal Aid Payments: Crime Higher,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/04/2013,Civil Representation,LEGAL AID FUND,R AELRED HOOKWAY,127510023,"59,640.00",Legal Aid Payments: Civil Representation,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/04/2013,Crime Higher,LEGAL AID FUND,SOLOMON LAW SOLICITORS LTD,127611561,"59,356.54",Legal Aid Payments: Crime Higher,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/04/2013,Civil Representation,LEGAL AID FUND,JEREMY P WESTON,127592008,"58,741.20",Legal Aid Payments: Civil Representation,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/04/2013,Legal Help,LEGAL AID FUND,FIRSTASSIST SERVICES LTD,127540276,"58,501.54",Legal Aid Payments: Legal Help,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/04/2013,Crime Higher,LEGAL AID FUND,ENNON & CO,127613121,"58,144.07",Legal Aid Payments: Crime Higher,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/04/2013,Crime Higher,LEGAL AID FUND,ABBEY SOLICITORS,127626405,"57,273.78",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/04/2013,Legal Help,LEGAL AID FUND,WEST SUSSEX CAB CONSORTIUM-CLAN,127618393,"56,988.35",Legal Aid Payments: Legal Help
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/04/2013,Crime Higher,LEGAL AID FUND,OLLIERS,127536366,"56,874.29",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/04/2013,Civil Representation,LEGAL AID FUND,ALISON BALL QC,127592528,"56,506.50",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/04/2013,Civil Representation,LEGAL AID FUND,JANE E CROWLEY QC,127291358,"56,188.50",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/04/2013,Crime Higher,LEGAL AID FUND,KELCEY & HALL SOLICITORS,127560205,"55,068.49",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/04/2013,Crime Higher,LEGAL AID FUND,RUSSELL-COOKE LLP,127613051,"54,910.95",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/04/2013,Civil Representation,LEGAL AID FUND,ALISON BALL QC,127169432,"54,427.50",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/04/2013,Crime Higher,LEGAL AID FUND,O'KEEFFE SOLICITORS,127613082,"52,865.20",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/04/2013,Crime Higher,LEGAL AID FUND,GOLDEN SOLICITORS,127636888,"52,626.86",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/04/2013,Crime Higher,LEGAL AID FUND,RICHARD M LITTLER,127563027,"50,653.92",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/04/2013,Crime Higher,LEGAL AID FUND,RH LAW LLP,127636436,"49,908.71",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/04/2013,Crime Higher,LEGAL AID FUND,RICHARD HASWELL SOLICITORS LLP,127637205,"49,771.04",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/04/2013,Crime Higher,LEGAL AID FUND,MCCORMACKS LAW,127599806,"48,292.20",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/04/2013,Civil Representation,LEGAL AID FUND,OLIVER E JONES,127552534,"48,135.01",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/04/2013,Civil Representation,LEGAL AID FUND,HARDING EVANS LLP,127291312,"46,488.18",Legal Aid Payments: Civil Representation
