Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department for Work and Pensions,Jobcentre Plus,29/07/2011,ACCOMMODATION,Jobcentre Plus,TELEREAL TRILLIUM,2021942553,"30,346,786.04"
Department for Work and Pensions,Corporate,20/07/2011,Other (FAS Assistance),Corporate and Support Services,THE BOARD OF THE PENSION PROTECTION FUND AS FAS SCHEME MANAGER,1004908,"16,413,000.00"
Department for Work and Pensions,European Social Fund,13/07/2011,ESF NON-PREFUNDED EXPENDITURE,WWEG EUROPEAN SOCIAL FUND,YORKSHIRE & HUMBER SKILLS FUNDING AGENCY,5000000649,"14,738,957.00"
Department for Work and Pensions,European Social Fund,20/07/2011,ESF Expenditure,WWEG EUROPEAN SOCIAL FUND,NORTH EAST LEARNING & SKILLS COUNCIL,5000000654,"11,296,300.00"
Department for Work and Pensions,Corporate,19/07/2011,NETWORK,Corporate IT,BT GLOBAL SERVICES,2021773119,"8,393,248.43"
Department for Work and Pensions,Corporate,12/07/2011,HOSTING,Corporate IT,HP ENTERPRISE SERVICES UK LTD,2021683128,"7,520,850.14"
Department for Work and Pensions,Corporate,18/07/2011,COMPUTER SERVICES,Corporate IT,HP ENTERPRISE SERVICES UK LTD,2021770534,"6,547,779.56"
Department for Work and Pensions,Corporate,19/07/2011,HOSTING,Corporate IT,HP ENTERPRISE SERVICES UK LTD,2021775134,"6,453,887.53"
Department for Work and Pensions,European Social Fund,20/07/2011,ESF Expenditure,WWEG EUROPEAN SOCIAL FUND,EAST MIDLANDS DWP,5000000653,"6,216,435.00"
Department for Work and Pensions,Corporate,25/07/2011,BANKING AND ENCASHMENT COSTS,GROUP FINANCE,POST OFFICE LTD,1004915,"5,537,863.12"
Department for Work and Pensions,Employment Programmes,04/07/2011,grants in aid,WWEG EMPLOYMENT PROGRAMMES,REMPLOY,1004892,"5,500,000.00"
Department for Work and Pensions,Corporate,01/07/2011,BANKING AND ENCASHMENT COSTS,GROUP FINANCE,POST OFFICE LTD,1004889,"5,480,190.38"
Department for Work and Pensions,European Social Fund,27/07/2011,ESF Expenditure,WWEG EUROPEAN SOCIAL FUND,EAST OF ENGLAND DEVELOPMENT AGENCY EEDA,5000000667,"5,162,765.00"
Department for Work and Pensions,European Social Fund,05/07/2011,ESF NON-PREFUNDED EXPENDITURE,WWEG EUROPEAN SOCIAL FUND,EAST MIDLANDS SKILLS FUNDING AGENCY,5000000623,"4,888,186.00"
Department for Work and Pensions,Corporate,07/07/2011,GRANTS IN AID,Corporate and Support Services,PENSION PROTECTION FUND,1004896,"4,793,000.00"
Department for Work and Pensions,Corporate,29/07/2011,TRADE DEBTORS,Balance sheet payments,TELEREAL TRILLIUM,2021942553,"4,661,277.79"
Department for Work and Pensions,Jobcentre Plus,29/07/2011,ACCOMMODATION,Jobcentre Plus,TELEREAL TRILLIUM,2021942554,"4,659,729.33"
Department for Work and Pensions,Jobcentre Plus,25/07/2011,MEDICAL SERVICES,Jobcentre Plus,ATOS HEALTHCARE,2021856494,"4,022,333.16"
Department for Work and Pensions,Corporate,19/07/2011,COMPUTER SERVICES,Corporate IT,HP ENTERPRISE SERVICES UK LTD,2021775134,"3,432,256.63"
Department for Work and Pensions,Jobcentre Plus,25/07/2011,MEDICAL SERVICES,Jobcentre Plus,ATOS HEALTHCARE,2021856494,"2,962,557.34"
Department for Work and Pensions,Corporate,19/07/2011,COMPUTER SERVICES,Corporate IT,BT GLOBAL SERVICES,2021773119,"2,923,716.07"
Department for Work and Pensions,Jobcentre Plus,11/07/2011,AOS CONTRACTED OUT SERVICES,Jobcentre Plus,BALFOUR BEATTY WORKPLACE LTD,2021676200,"2,811,277.32"
Department for Work and Pensions,Jobcentre Plus,27/07/2011,COMPUTER SERVICES,Jobcentre Plus,ACCENTURE,2021870748,"2,529,190.92"
Department for Work and Pensions,"Pensions, Disability & Carers Service",29/07/2011,ACCOMMODATION,Pensions Disability & Carers Service,TELEREAL TRILLIUM,2021942553,"2,502,534.82"
Department for Work and Pensions,European Social Fund,25/07/2011,ESF Expenditure,WWEG EUROPEAN SOCIAL FUND,NORTH WEST SKILLS FUNDING AGENCY,5000000663,"2,425,070.00"
Department for Work and Pensions,Employment Programmes,29/07/2011,grants in aid,WWEG EMPLOYMENT PROGRAMMES,REMPLOY LTD,2021942264,"2,349,999.92"
Department for Work and Pensions,Corporate,19/07/2011,COMPUTER SERVICES,Corporate IT,HP ENTERPRISE SERVICES UK LTD,2021775134,"2,315,272.15"
Department for Work and Pensions,Jobcentre Plus,29/07/2011,ACCOMMODATION,Jobcentre Plus,TELEREAL TRILLIUM,2021942553,"2,091,067.82"
Department for Work and Pensions,European Social Fund,13/07/2011,ESF NON - PREFUNDED EXPENDITURE,WWEG EUROPEAN SOCIAL FUND,EAST OF ENGLAND DWP,5000000643,"1,937,453.00"
Department for Work and Pensions,Corporate,29/07/2011,GRANTS IN AID,Corporate and Support Services,PENSION PROTECTION FUND,1004922,"1,930,000.00"
Department for Work and Pensions,European Social Fund,12/07/2011,ESF NON-PREFUNDED EXPENDITURE,WWEG EUROPEAN SOCIAL FUND,SOUTH EAST SKILLS FUNDING AGENCY,5000000639,"1,872,304.00"
Department for Work and Pensions,"Pensions, Disability & Carers Service",25/07/2011,Accommodation Costs,Pensions Disability & Carers Service,HMRC,2002714,"1,851,904.27"
Department for Work and Pensions,Corporate,12/07/2011,SIAM,Corporate IT,HP ENTERPRISE SERVICES UK LTD,2021683128,"1,813,926.70"
Department for Work and Pensions,Corporate,19/07/2011,COMPUTER SERVICES,Corporate IT,HP ENTERPRISE SERVICES UK LTD,2021775134,"1,784,756.51"
Department for Work and Pensions,Corporate,19/07/2011,IS/IT,Corporate IT,HP ENTERPRISE SERVICES UK LTD,2021775134,"1,696,601.95"
Department for Work and Pensions,Jobcentre Plus,29/07/2011,ACCOMMODATION,Jobcentre Plus,TELEREAL TRILLIUM,2021942555,"1,695,568.05"
Department for Work and Pensions,European Social Fund,25/07/2011,ESF Expenditure,WWEG EUROPEAN SOCIAL FUND,SOUTH WEST DWP,5000000665,"1,687,412.00"
Department for Work and Pensions,Corporate,19/07/2011,COMPUTER SERVICES,Corporate IT,BT GLOBAL SERVICES,2021773119,"1,552,921.11"
Department for Work and Pensions,European Social Fund,12/07/2011,ESF NON-PREFUNDED EXPENDITURE,WWEG EUROPEAN SOCIAL FUND,YORKSHIRE & HUMBER SKILLS FUNDING AGENCY,5000000642,"1,493,537.00"
Department for Work and Pensions,Corporate,13/07/2011,AOS CONTRACTED OUT SERVICES,Shared Services,DEPARTMENT OF TRANSPORT,2021703046,"1,440,040.02"
Department for Work and Pensions,Corporate,12/07/2011,IS/IT,Corporate IT,XEROX UK LTD 3W,2021685968,"1,309,033.62"
Department for Work and Pensions,Corporate,29/07/2011,ACCOMMODATION,GROUP FINANCE,TELEREAL TRILLIUM,2021942553,"1,215,430.83"
Department for Work and Pensions,Corporate,12/07/2011,OTHER GOODS AND SERVICES,WWG SUMMARY,VALUATION OFFICE AGENCY,2002691,"1,200,000.00"
Department for Work and Pensions,Corporate,19/07/2011,OTHER MAJOR CONTRACTS,GROUP FINANCE,SANTANDER,1004907,"1,191,476.00"
Department for Work and Pensions,Corporate,04/07/2011,GRANTS IN AID,Corporate and Support Services,THE PENSIONS REGULATOR,1004893,"1,165,000.00"
Department for Work and Pensions,Corporate,08/07/2011,CONTRACTED OUT SERVICES,GROUP FINANCE,XEROX UK LTD 3W,2021674821,"1,158,250.00"
Department for Work and Pensions,Employment Programmes,18/07/2011,EP GENERIC PROVIDER PAYMENTS,WWEG EMPLOYMENT PROGRAMMES,A4E LTD,2021768619,"1,077,915.67"
