Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode ,Project Code,Expenditure Type,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,TY ARIAN LTD,129492470,"160,447.16",Legal Aid Payments: Legal Help,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,STUART MILLER SOLICITORS LTD,129507221,"139,210.19",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,HOGAN BROWN SOLICITORS,129412461,"98,602.86",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,MICHAEL G WOOLDRIDGE,129507159,"98,602.86",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,KENNETH M BARROW & CO,129507446,"98,602.86",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,CHRISTOPHER M CONVEY,129470476,"86,412.25",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,RUSTEM GUARDIAN SOLICITORS,129424082,"85,512.00",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,EBR ATTRIDGE,129507808,"79,324.84",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,STEPHEN C MEADOWCROFT Q.C.,129508161,"73,794.48",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,T V  EDWARDS LLP,129507935,"71,738.94",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,JVA LAW,129507288,"71,647.56",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,LEONARD SMITH Q.C.,129501058,"70,699.56",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,ANN L COTCHER QC,129412054,"70,592.33",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,STUART MILLER SOLICITORS LTD,129411730,"69,475.91",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,THE JOHNSON PARTNERSHIP,129507806,"68,905.28",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,SHELTER-HELPLINE,129450850,"68,758.16",Legal Aid Payments: Legal Help,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,HENRY C GRUNWALD QC,129508741,"68,646.30",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,MARK JONES & PARTNERS,129497268,"67,106.10",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,KEITH DYSON & CO,129507422,"66,093.76",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,SHELTER-HELPLINE,129450903,"62,870.17",Legal Aid Payments: Legal Help,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,ELEANOR J LAWS,129507972,"61,559.72",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,BLASER MILLS ***,129423855,"60,194.29",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,JAMES H H TILLYARD QC,127777259,"58,212.00",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,CHIVERS SOLICITORS LLP,129343430,"58,004.26",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,SAKHI LEGAL SERVICES LTD,129507574,"56,862.04",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,EDWARD P REES Q.C.,129508332,"55,896.79",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,PAUL A HOPKINS QC,129299836,"52,390.80",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,BAKE & CO SOLICITORS,129134418,"51,506.00",Legal Aid Payments: Legal Help,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,JEROME LYNCH QC,129508717,"51,338.04",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,ROW & SCOTT LTD,129507744,"49,702.33",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,JNP LEGAL LTD,127777207,"49,627.42",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,CHOPRA & GILL SOLICITORS,129484800,"49,029.16",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,WOLLEN MICHELMORE,129456339,"48,708.00",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,IGNATIUS L HUGHES,129412002,"47,222.90",Legal Aid Payments: Crime Higher,,,,,
