2011 CMIR 7 - TRANSPARENCY REPORT,,,,,,,
Month: May 2010,,,,,,,

Department Family,Entity,Date,OGC Master Category,Project Code,Supplier,Transaction Number, Amount 
Dept. for Education,QCDA,19/05/2010,Marketing & Media,Corporate Support,Amor Business Technology Solutions Ltd,PBAC/00127007,"31,425.38"
Dept. for Education,QCDA,25/05/2010,Marketing & Media,Corporate Support,Amor Business Technology Solutions Ltd,PBAC/00127199,"48,395.56"
Dept. for Education,QCDA,12/05/2010,Professional Services Learning & Development,Diploma Programme,Assessment & Qualifications Alliance,PBAC/00126792,"29,598.60"
Dept. for Education,QCDA,25/05/2010,Professional Services Learning & Development,Diploma Programme,Association of Colleges,PBAC/00127184,"58,649.99"
Dept. for Education,QCDA,26/05/2010,Professional Services Other,Corporate Support,Beachcroft LLP,PBAC/00127302,"30,134.47"
Dept. for Education,QCDA,24/05/2010,Professional Services Learning & Development,Corporate Support,Bostock Marketing Group Ltd,PBAC/00127170,"90,710.00"
Dept. for Education,QCDA,24/05/2010,Professional Services Learning & Development,Diploma Programme,B-Plan Information Systems Ltd,PBAC/00127172,"25,005.22"
Dept. for Education,QCDA,11/05/2010,Professional Services Consultancy,Diploma Programme,Cap Gemini UK Plc,PBAC/00126764,"70,793.75"
Dept. for Education,QCDA,05/05/2010,Travel & Events,Corporate Support,Carlson Wagonlit Travel,PBAC/00126374,"27,738.78"
Dept. for Education,QCDA,06/05/2010,N/A,Corporate Support,Civil Superannuation Vote,PRFT/00001441,"540,025.08"
Dept. for Education,QCDA,06/05/2010,Office Solutions,Test Delivery Operations Programme,COI Communications,PRFT/00001442,"27,824.28"
Dept. for Education,QCDA,25/05/2010,Office Solutions,Test Delivery Operations Programme,COI Communications,PRFT/00001447,"117,916.75"
Dept. for Education,QCDA,06/05/2010,N/A,Corporate Support,Contributions Agency,PRFT/00001440,"530,792.56"
Dept. for Education,QCDA,13/05/2010,Professional Services Learning & Development,Test Delivery Operations Programme,Edexcel Ltd,PBAC/00126830,"196,208.00"
Dept. for Education,QCDA,05/05/2010,Travel & Events,Corporate Support,Expotel Hotel Reservations Ltd,PBAC/00126464,"33,285.93"
Dept. for Education,QCDA,14/05/2010,Professional Services Temporary Staff,Corporate Support,GatenbySanderson Ltd,PBAC/00126937,"25,262.50"
Dept. for Education,QCDA,07/05/2010,Professional Services Learning & Development,Diploma Programme,Hewell Taylor Freed & Associates,PBAC/00126599,"28,119.04"
Dept. for Education,QCDA,06/05/2010,N/A,Corporate Support,Inland Revenue Only,PRFT/00001439,"874,130.64"
Dept. for Education,QCDA,05/05/2010,Professional Services Learning & Development,Assessment & Test Policy Programme,JW English Consultancy Ltd,PBAC/00126441,"25,515.00"
Dept. for Education,QCDA,12/05/2010,Professional Services Learning & Development,Diploma Programme,Learning and Skills Network Ltd,PBAC/00126793,"57,099.10"
Dept. for Education,QCDA,20/05/2010,Professional Services Temporary Staff,Corporate Support,Methods Consulting Ltd,PBAC/00127038,"57,783.56"
Dept. for Education,QCDA,25/05/2010,Professional Services Temporary Staff,Corporate Support,Methods Consulting Ltd,PBAC/00127190,"89,069.58"
Dept. for Education,QCDA,05/05/2010,Professional Services Learning & Development,Curriculum Development Programme,NACGT,PBAC/00126407,"27,350.00"
Dept. for Education,QCDA,05/05/2010,Professional Services Learning & Development,Assessment & Test Policy Programme,NCS Services UK Ltd,PBAC/00126457,"56,249.24"
Dept. for Education,QCDA,05/05/2010,Professional Services Learning & Development,Test Delivery Operations Programme,NFER,PBAC/00126424,"50,783.00"
