Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description,Supplier Site Postcode,Supplier Type,Latest Contract Number,Project Code,Expenditure Type
,,01/04/2016,Outsourcing Contract,"DG: FINANCE, COMMERCIAL & NHS",HERTFORDSHIRE PARTNERSHIP NHS FOUNDATION TRUST,417918," 61,000.00 ",RBA852 - Kingsley Green  - HERTFORDSHIRE PARTNERSHIP NHS FOUNDATION TRUST - Maintenance,AL3 5TL,PUBLIC,,,
,,01/04/2016,Outsourcing Contract,"DG: FINANCE, COMMERCIAL & NHS",HERTFORDSHIRE PARTNERSHIP NHS FOUNDATION TRUST,417918, 772.81 ,RBA852 - Kingsley Green  - HERTFORDSHIRE PARTNERSHIP NHS FOUNDATION TRUST - Security,AL3 5TL,PUBLIC,,,
,,01/04/2016,Outsourcing Contract,"DG: FINANCE, COMMERCIAL & NHS",HERTFORDSHIRE PARTNERSHIP NHS FOUNDATION TRUST,417918," 40,020.31 ",Hertfordshire Partnership NHS FT - Security costs for Kingsley Green. RBA852,AL3 5TL,PUBLIC,,,
,,05/04/2016,Outsourcing Contract,"DG: FINANCE, COMMERCIAL & NHS",HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12672622," 77,577.87 ","Seven day services metrics – mortality, length of stay, emergency readmissions",WF3 1WE,PUBLIC,,,
,,08/04/2016,Outsourcing Contract,"DG: FINANCE, COMMERCIAL & NHS",NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,3610021050," 181,106.00 ",Mobilisation activities - Phase 1 adoption of GS1 and PEPPOL standards,TS24 9AH,PUBLIC,,,
,,12/04/2016,Outsourcing Contract,"DG: FINANCE, COMMERCIAL & NHS",ROYAL CORNWALL HOSPITAL NHS TRUST,2427097," 334,546.00 ",Mobilisation activities - Phase 1 adoption of GS1 and PEPPOL standards,TR1 2XN,PUBLIC,,,
,,20/04/2016,Policy Payments,DG: STRATEGY & EXTERNAL RELATIONS,NHS PENSIONS AGENCY,15930," 269,031.31 ",Injury Benefits Liabilities (SHA & PCT Legacy) 2015-16,FY7 8LG,PUBLIC,,,
,,20/04/2016,Policy Payments,DG: STRATEGY & EXTERNAL RELATIONS,NHS PENSIONS AGENCY,15930," 723,918.57 ",Injury Benefits Liabilities (SHA & PCT Legacy) 2015-16,FY7 8LG,PUBLIC,,,
,,15/04/2016,Outsourcing Contract,"DG: FINANCE, COMMERCIAL & NHS",ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,E0042280," 53,511.12 ",3 year national clinical programme across 10 categories - November 15 to February 17 - (up to 2 year review gateway).,HA7 4LP,PUBLIC,,,
,,26/04/2016,Service charge,"DG: FINANCE, COMMERCIAL & NHS",NHS SHARED BUSINESS SERVICES SBS,100040412," 27,083.33 ",SBS- Digital Archive Services - Annual Service Charge,WF3 1WE,PUBLIC,,,
,,01/04/2016,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,HAFS-20945," 6,390,000.00 ",,WF3 1WE,PUBLIC,,,
,,01/04/2016,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,HEALTH EDUCATION ENGLAND T1510,HAFS-20946," 445,000,000.00 ",,LS1 4PL,PUBLIC,,,
,,01/04/2016,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,HEALTH RESEARCH AUTHORITY,HAFS-20947," 1,000,000.00 ",,SE1 6LH,PUBLIC,,,
,,01/04/2016,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS MIR033,HAFS-20948," 7,000,000.00 ",,,PUBLIC,,,
,,01/04/2016,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-20949," 2,000,000.00 ",,SE1 7NT,PUBLIC,,,
,,01/04/2016,SpHAs Programme Revenue Parliamentary Funding,DG: Holding CT Core,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-20950," 5,000,000.00 ",,NE1 6SN,PUBLIC,,,
,,01/04/2016,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,NHS ENGLAND CBA033,HAFS-20951," 3,875,516,000.00 ",,LS2 7UE,PUBLIC,,,
,,01/04/2016,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,NHS ENGLAND CBA033,HAFS-20952," 5,699,067,000.00 ",,LS2 7UE,PUBLIC,,,
,,01/04/2016,SpHAs Programme Revenue Parliamentary Funding,DG: Holding CT Core,NHS LITIGATION AUTHORITY,HAFS-20953," 75,000,000.00 ",,LS1 4AD,PUBLIC,,,
,,01/04/2016,SpHAs Programme Revenue Parliamentary Funding,DG: Holding CT Core,NHS TRUST DEVELOPMENT AUTHORITY,HAFS-20954," 6,000,000.00 ",,SW1E 6QT,PUBLIC,,,
,,01/04/2016,SpHAs Programme Revenue Parliamentary Funding,DG: Holding CT Core,PUBLIC HEALTH ENGLAND PHE033,HAFS-20955," 763,368,000.00 ",,SP4 0JG,PUBLIC,,,
,,06/04/2016,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,HAFS-20956," 7,610,000.00 ",,WF3 1WE,PUBLIC,,,
,,11/04/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,BARKING HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST,HAFS-20957," 21,156,000.00 ",,WF3 1WE,PUBLIC,,,
,,11/04/2016,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,HAFS-20958," 2,406,000.00 ",,S75 2PY,PUBLIC,,,
,,11/04/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,BARTS HEALTH NHS TRUST,HAFS-20959," 58,000,000.00 ",,E1 8PR,PUBLIC,,,
,,11/04/2016,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,HAFS-20960," 7,429,000.00 ",,SS16 5NL,PUBLIC,,,
,,11/04/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,BEDFORD HOSPITAL NHS TRUST,HAFS-20961," 300,000.00 ",,MK42 9DJ,PUBLIC,,,
,,11/04/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,BEDFORD HOSPITAL NHS TRUST,HAFS-20962," 3,514,000.00 ",,MK42 9DJ,PUBLIC,,,
,,11/04/2016,Additions NHS Trust Capital Investment Loans,DG: Holding CT Core,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,HAFS-20963," 1,938,000.00 ",,BN2 3EW,PUBLIC,,,
,,11/04/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,HAFS-20964," 1,100,000.00 ",,HP7 0JD,PUBLIC,,,
,,11/04/2016,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,CALDERDALE & HUDDERSFIELD NHS FOUNDATION TRUST,HAFS-20965," 5,000,000.00 ",,HD3 3EA,PUBLIC,,,
,,11/04/2016,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,HAFS-20966," 12,455,000.00 ",,CB2 2QQ,PUBLIC,,,
,,11/04/2016,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,HAFS-20967," 3,879,000.00 ",,CO4 5JL,PUBLIC,,,
,,11/04/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,CROYDON HEALTH SERVICES NHS TRUST,HAFS-20968," 1,161,000.00 ",,CR7 7YE,PUBLIC,,,
,,11/04/2016,Additions NHS Trust Capital Investment Loans,DG: Holding CT Core,CROYDON HEALTH SERVICES NHS TRUST,HAFS-20969," 848,000.00 ",,CR7 7YE,PUBLIC,,,
,,11/04/2016,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,DERBY HOSPITALS NHS FOUNDATION TRUST,HAFS-20970," 3,009,000.00 ",,DE1 2QY,PUBLIC,,,
,,11/04/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,EAST CHESHIRE NHS TRUST,HAFS-20971," 1,400,000.00 ",,SK10 3BL,PUBLIC,,,
,,11/04/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,HAFS-20972," 975,000.00 ",,NG8 3LL,PUBLIC,,,
,,11/04/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,EAST SUSSEX HEALTHCARE NHS TRUST,HAFS-20973," 7,290,000.00 ",,TN37 7PT,PUBLIC,,,
,,11/04/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,EPSOM & ST HELIER UNIVERSITY HOSPITAL NHS TRUST,HAFS-20974," 2,941,000.00 ",,SM5 1AA,PUBLIC,,,
,,11/04/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,GEORGE ELIOT HOSPITAL NHS TRUST,HAFS-20975," 1,000,000.00 ",,CV10 7DJ,PUBLIC,,,
,,11/04/2016,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,GUYS AND ST THOMAS NHS FOUNDATION TRUST,HAFS-20976," 19,345,000.00 ",,SE1 9RT,PUBLIC,,,
,,11/04/2016,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,GUYS AND ST THOMAS NHS FOUNDATION TRUST,HAFS-20977," 2,334,000.00 ",,SE1 9RT,PUBLIC,,,
,,11/04/2016,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,GUYS AND ST THOMAS NHS FOUNDATION TRUST,HAFS-20978," 11,547,000.00 ",,SE1 9RT,PUBLIC,,,
,,11/04/2016,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,GUYS AND ST THOMAS NHS FOUNDATION TRUST,HAFS-20979," 1,874,000.00 ",,SE1 9RT,PUBLIC,,,
,,11/04/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,HINCHINGBROOKE HEALTH CARE NHS TRUST,HAFS-20980," 1,700,000.00 ",,PE29 6NT,PUBLIC,,,
,,11/04/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,HAFS-20981," 3,452,000.00 ",,W12 0HS,PUBLIC,,,
