Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,Department of Health,01/01/2015,IT minor costs non capital,DG: SFNHS,NHS SHARED BUSINESS SERVICES SBS,100028745,"7,147.83",SBS - Images,WF3 1WE,PUBLIC,,,Admin
Department of Health,Department of Health,01/01/2015,Service charge,DG: SFNHS,NHS SHARED BUSINESS SERVICES SBS,100028745,"-7,147.83",SBS - Annual Service Charges,WF3 1WE,PUBLIC,,,Admin
Department of Health,Department of Health,01/01/2015,Outsourcing Contract,DG: RDD,PA CONSULTING SERVICES LTD,10106482,0,Information Systems,SW1W 9SR,LARGE,,,Programme
Department of Health,Department of Health,01/01/2015,Outsourcing Contract,DG: SCLGCP,PA CONSULTING SERVICES LTD,10106482,"48,000.00",PA Consulting - PMO Support to Better Care Fund Management Office Oct-14 to Mar-15(PSBC 4681),SW1W 9SR,LARGE,,,Programme
Department of Health,Department of Health,01/01/2015,Expense clearing GPC (ST),DG: Holding CT Core,BARCLAYCARD BUSINESS,4897001-07-JAN-15,"25,636.80",,TS17 6YG,SME,,,Other
Department of Health,Department of Health,01/01/2015,Contractor/Staff Substitution,DG: SFNHS,CAPITA BUSINESS SERVICES LTD (CL1 ONLY),LO10006100,"41,607.95",Correction,,LARGE,,,Programme
Department of Health,Department of Health,01/01/2015,Contractor/Staff Substitution,DG: SFNHS,CAPITA BUSINESS SERVICES LTD (CL1 ONLY),LO10006100,"45,667.26",Interim Stretegy Implementation Lead ,,LARGE,,,Programme
Department of Health,Department of Health,02/01/2015,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,CARE QUALITY COMMISSION (CQC) CQC033,HAFS-17737,"10,000,000.00",,,PUBLIC,,,Other
Department of Health,Department of Health,02/01/2015,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,HAFS-17738,"12,000,000.00",,WF3 1WE,PUBLIC,,,Other
Department of Health,Department of Health,02/01/2015,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,HEALTH EDUCATION ENGLAND T1510,HAFS-17739,"537,000,000.00",,LS1 4PL,PUBLIC,,,Other
Department of Health,Department of Health,02/01/2015,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,HEALTH RESEARCH AUTHORITY,HAFS-17740,"750,000.00",,SE1 6LH,PUBLIC,,,Other
Department of Health,Department of Health,02/01/2015,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS MIR033,HAFS-17741,"6,000,000.00",,,PUBLIC,,,Other
Department of Health,Department of Health,02/01/2015,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-17742,"5,000,000.00",,SE1 7NT,PUBLIC,,,Other
Department of Health,Department of Health,02/01/2015,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-17743,"8,300,000.00",,NE1 6SN,PUBLIC,,,Other
Department of Health,Department of Health,02/01/2015,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,NHS ENGLAND CBA033,HAFS-17744,"3,382,175,000.00",,LS2 7UE,PUBLIC,,,Other
Department of Health,Department of Health,02/01/2015,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,NHS ENGLAND CBA033,HAFS-17745,"5,031,014,000.00",,LS2 7UE,PUBLIC,,,Other
Department of Health,Department of Health,02/01/2015,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,NHS LITIGATION AUTHORITY,HAFS-17746,"2,302,000.00",,LS1 4AD,PUBLIC,,,Other
Department of Health,Department of Health,02/01/2015,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,PUBLIC HEALTH ENGLAND PHE033,HAFS-17747,"793,725,000.00",,SP4 0JG,PUBLIC,,,Other
Department of Health,Department of Health,03/01/2015,Expense clearing GPC (ST),DG: Holding CT Core,BARCLAYCARD BUSINESS,4897001-07-JAN-15,31.24,,TS17 6YG,SME,,,Other
Department of Health,Department of Health,04/01/2015,Expense clearing GPC (ST),DG: Holding CT Core,BARCLAYCARD BUSINESS,4897001-07-JAN-15,31.99,,TS17 6YG,SME,,,Other
Department of Health,Department of Health,05/01/2015,Secondees in invoiced costs,DG: SCLGCP,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12669664,"32,680.88",Secondment costs,LS1 6AE,PUBLIC,,,Programme
Department of Health,Department of Health,05/01/2015,Secondees in invoiced costs,DG: SCLGCP,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12669664,0.01,,LS1 6AE,PUBLIC,,,Programme
Department of Health,Department of Health,05/01/2015,Secondees in invoiced costs,DG: SCLGCP,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12669665,"26,286.04",Secondment costs,LS1 6AE,PUBLIC,,,Programme
Department of Health,Department of Health,05/01/2015,Policy Payments,DG: ERD,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12669671,"70,994.40","Costs of ""running the consultation, build and deliver the collection system, liaising with data providers, internal development of systems to validate, analyse and produce the quarterly publication""",LS1 6AE,PUBLIC,,,Programme
Department of Health,Department of Health,05/01/2015,Consultancy/Professional Advice,DG: PHD,SAPIENT LTD,34084,"31,410.00",Abortion Notification system IT replacement continuance programme,E1 6DU,LARGE,,,Programme
Department of Health,Department of Health,05/01/2015,Consultancy/Professional Advice,DG: PHD,SAPIENT LTD,34085,"31,939.50",SAPIENT CR14/CR15,E1 6DU,LARGE,,,Programme
Department of Health,Department of Health,05/01/2015,Contractor/Staff Substitution,DG: SFNHS,NHS PROPERTY SERVICES LTD,48333406,"34,941.84",PA and Office Manager ,WF3 1WE,PUBLIC,,,Admin
