Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
DEFRA,DEFRA ,01/04/2016,Grant-in Aid Payments,Environment and Rural DG Group,Royal Botanic Gardens Kew,KEWGIA011617,3000000,PO383105 GIA PAYMENT APRIL 2016,TW9 3AB,,GIA,0,Expense,
DEFRA,DEFRA ,04/04/2016,Contractor - Management Cover,Chief Operating Officer DG,Capita Business Services Ltd,LO10103866,273594.2,REF: PRE-BILLER P52641 FEES & EXPENSES INCLUDED WITHIN PERIOD ENDING 19/03/2016,SL6 1DP,,,0,Expense,
DEFRA,DEFRA ,04/04/2016,IT Software,Chief Operating Officer DG,M D S Technologies Ltd,4946,45981.74,PO 382016 CHARGES FOR 1st-15th  FEB2016,SN14 0GX,SME,CAP502,CAPDFA08,Expense,
DEFRA,DEFRA ,04/04/2016,Other Current Payments E,Environment and Rural DG Group,Government Legal Department,10416,34621.7,PO 382370 COSTS,WC2B 4TS,,IGS,0,Expense,
DEFRA,DEFRA ,04/04/2016,Grant-in Aid Payments,"Strategy, International, Food and Farming DG Group",Marine Management Organisation,1.04E+11,3200000,GRANT IN AID PAYMENT TO MMO,NE4 7YH,,GIA,0,Expense,
DEFRA,DEFRA ,04/04/2016,Capital grants to Charities,Environment and Rural DG Group,Canal & River Trust,90887562,10005138,PO382934 PAYMENT OF PART A CORE GRANT,MK9 1BB,,GIA,0,Expense,
DEFRA,DEFRA ,04/04/2016,Current Grants E,Environment and Rural DG Group,North York Moors National Park,300316,1040797,PO 383065 NATIONAL PARK GRANT CLAIM QTR1,YO62 5BP,SME,GIA,YORKMOOR,Expense,
DEFRA,DEFRA ,04/04/2016,Grant-in Aid Payments,Environment and Rural DG Group,Natural England,290316,11300000,PO 383096 GRANT IN AID PAYMENT FOR NE APR 16,YO1 7PX,,GIA,0,Expense,
DEFRA,DEFRA ,04/04/2016,Inwards Secondments,Chief Operating Officer DG,Natural England,8000028315,38237.03,PO 374854 NE159 STAFF SECONDMENTS,YO1 7PX,,,0,Expense,
DEFRA,DEFRA ,04/04/2016,Inwards Secondments,Chief Operating Officer DG,Natural England,8000023331,49807.96,PO 374854 S SECONDMENTS COSTS 01.01.2015 TO 31.03.2015,YO1 7PX,,,0,Expense,
