Organisation,,Partnerships for Schools,,,,,
Submitted By,,Management Accountant,,,,,
Spend Tolerance,,"£25,000",,,,,
Month,,01.03.2012 to 31.03.2012,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT
DfE,PfS,05/03/2012,Revenue Grant,Schools Capital and Revenue Grants,REDCAR PRIVATE FINANCE INITIATIVE,428728,175125.44
DfE,PfS,05/03/2012,Capital Grant,Schools Capital and Revenue Grants,MANCHESTER DIOCESAN BOARD OF EDUCATION,429030,197465.97
DfE,PfS,05/03/2012,Capital Grant,Schools Capital and Revenue Grants,LINCOLN DIOCESEN TRUSTESS BOARD OF FINANCE LTD,429032,29700
DfE,PfS,05/03/2012,Capital Grant,Schools Capital and Revenue Grants,SALISBURY DIOCESAN BOARD OF EDUCATION,429034,53534.35
DfE,PfS,05/03/2012,Capital Grant,Schools Capital and Revenue Grants,OXFORD DIOCESAN COUNCIL OF EDUCATION,429036,167246.53
DfE,PfS,05/03/2012,Capital Grant,Schools Capital and Revenue Grants,CHICHESTER DIOCESAN BOARD OF FINANCE 11,429050,25420.79
DfE,PfS,05/03/2012,Capital Grant,Schools Capital and Revenue Grants,DIOCESAN (BARCHESTER) SCHEME,429054,34684.02
DfE,PfS,05/03/2012,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC ARCHDIOCESE OF SOUTHWARK,429056,264810.65
DfE,PfS,05/03/2012,Capital Grant,Schools Capital and Revenue Grants,LONDON DIOCESAN BOARD FOR SCHOOLS ACCOUNT,429058,36454.91
DfE,PfS,05/03/2012,Capital Grant,Schools Capital and Revenue Grants,ALL SAINTS ROMAN CATHOLIC UPPER SCHOOL MANSFIELD TRUST,429060,57168.2
DfE,PfS,05/03/2012,Capital Grant,Schools Capital and Revenue Grants,BRISTOL DIOCESAN BOARD OF FINANCE EDUC. FUND,429062,38320.09
DfE,PfS,05/03/2012,Capital Grant,Schools Capital and Revenue Grants,CLIFTON CATHOLIC DIOCESAN TRUSTEES REGISTERED,429064,250151.49
DfE,PfS,05/03/2012,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE,429070,47082.95
DfE,PfS,05/03/2012,Capital Grant,Schools Capital and Revenue Grants,LIVERPOOL ARCHDIOCESIAN SCHOOL REPAIR ACCOUNT,429088,206178.64
DfE,PfS,05/03/2012,Capital Grant,Schools Capital and Revenue Grants,SOUTHWARK DIOCESAN BOARD OF EDUCATION INC NO 3 ACCOUNT,429094,305849.57
DfE,PfS,05/03/2012,Capital Grant,Schools Capital and Revenue Grants,ST MARY'S REDCLIFFE AND TEMPLE SCHOOL AMC,429102,87750
DfE,PfS,05/03/2012,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH ROMAN CATHOLIC DIOCESE TRUSTEES REGISTERED WOODLEY ST D SAVIO SCHOOL SMALL PJT,429104,103992.08
DfE,PfS,05/03/2012,Capital Grant,Schools Capital and Revenue Grants,ST PATRICKS ROMAN CATHOLIC PRIMARY SCHOOL,429106,27270
DfE,PfS,05/03/2012,Capital Grant,Schools Capital and Revenue Grants,SOUTHWARK DIOCESAN BOARD OF EDUCATION NO.4 ACCOUNT,429110,283538.4
DfE,PfS,05/03/2012,Capital Grant,Schools Capital and Revenue Grants,BOURNEMOUTH CORPUS CHRISTI SMALL PROJECT,429114,211714.57
DfE,PfS,05/03/2012,Capital Grant,Schools Capital and Revenue Grants,SHREWSBURY DIOCESAN SCHOOLS ACCOUNT,429118,33806.81
DfE,PfS,05/03/2012,Capital Grant,Schools Capital and Revenue Grants,HARROW JEWISH DAY SCHOOL TRUST,429120,48637.17
DfE,PfS,05/03/2012,Capital Grant,Schools Capital and Revenue Grants,CHELMSFORD DIOCESAN BOARD OF FINANCE,429122,25348.34
DfE,PfS,05/03/2012,Capital Grant,Schools Capital and Revenue Grants,SALFORD ROMAN CATHOLIC DIOCESE DEVOLVED FORMULA CAPITAL 1 ACCOUNT,429126,89402.61
DfE,PfS,05/03/2012,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH ROMAN CATHOLIC DIOCESE TRUSTEES REGISTERED SCHOOLS CONDITION SCHEME NO 2 ACCOUNT,429128,26087.48
DfE,PfS,05/03/2012,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH DIOCESAN CHURCH SCHOOL GOVERNORS FUND,429136,51540.31
DfE,PfS,05/03/2012,Capital Grant,Schools Capital and Revenue Grants,WESTMINSTER ROMAN CATHOLIC DIOCESE TRUST SCHOOL BUILDING FUND PROJECTS,429140,635173.69
DfE,PfS,05/03/2012,Capital Grant,Schools Capital and Revenue Grants,EDUCATIONAL DEVELOPMENT LTD - SCHOOLS ACCOUNT,429144,65706.21
DfE,PfS,05/03/2012,Capital Grant,Schools Capital and Revenue Grants,ST CLEMENT DANES SCHOOL,429154,32832.26
DfE,PfS,05/03/2012,Capital Grant,Schools Capital and Revenue Grants,NEWCASTLE DICESE FOR DURHAM SCHOOLS ACCOUNT,429156,78464.67
DfE,PfS,05/03/2012,Capital Grant,Schools Capital and Revenue Grants,AL-FURQAN EDUCATIONAL TRUST,429158,285182.33
DfE,PfS,08/03/2012,Technical Costs - Capital,Free School Technical Advice,CAPITA SYMONDS LTD,429168,253445.48
DfE,PfS,08/03/2012,Legacy PFI Advice - Priority School Building Programme,Central & West Director,MOTT MACDONALD,429184,144585.24
DfE,PfS,08/03/2012,Legacy PFI Advice - Priority School Building Programme,Central & West Director,EC HARRIS,429200,36000
DfE,PfS,08/03/2012,Technical Costs - Capital,Free School Technical Advice,TURNER & TOWNSEND,429210,75130.48
DfE,PfS,08/03/2012,Seconded Staff Costs,Central & West Director,TURNER & TOWNSEND,429210,58393.92
DfE,PfS,07/03/2012,Capital Grant,Schools Capital and Revenue Grants,MANCHESTER DIOCESAN BOARD OF EDUCATION,429214,295303.51
DfE,PfS,07/03/2012,Capital Grant,Schools Capital and Revenue Grants,BATH AND WELLS DIOCESAN BOARD OF FINANCE,429216,26812.55
DfE,PfS,07/03/2012,Capital Grant,Schools Capital and Revenue Grants,NORTHAMPTON ROMAN CATHOLIC DIOCESE TRUST,429218,61653.3
DfE,PfS,07/03/2012,Capital Grant,Schools Capital and Revenue Grants,SALISBURY DIOCESAN BOARD OF EDUCATION,429220,29581.44
DfE,PfS,07/03/2012,Capital Grant,Schools Capital and Revenue Grants,ST EDMUNDSBURY AND IPSWICH DIOCESAN BOARD OF FINANCE BARCHESTER,429222,25650
