Department family,Entity,Date settled,Expense Type,Expense area,Supplier,Transaction number,Amount,Narrative
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2013,Grant-in-Aid (DCMS NDPBs),OFCOM,OFCOM,30030540,"3,925,050.00",MAY SPECTRUM MANAGEMENT
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2013,Grant-in-Aid (DCMS NDPBs),OFCOM,OFCOM,30030543,"144,591.00",MAY ORPHAN COSTS
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2013,Current Grants Private Sector,GIA Architecture+Heritage,Greenwich Foundation for the RN College,50000605,"105,003.00",GIA ORNC MAY 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2013,Grant-in-Aid (DCMS NDPBs),GIA Sports bodies,Sport Ground Safety Authority,50000608,"93,416.00",SGSA GIA MAY 13
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Geffrye Museum,50000609,"132,560.00",GM GIA MAY 13
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2013,Grant to OGD (Resource),Architecture + heritage progs,The Treasurer to the Queen,50000610,"40,000.00",MH GIA MAY 13
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Victoria & Albert Museum,50000612,"3,318,334.00",V&A GIA MAY 13
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Horniman Museum,50000613,"325,867.00",HM GIA MAY 13
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Wallace Collection,50000614,"241,000.00",TWC GIA MAY 13
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Sir John Soane's Museum,50000624,"112,876.00",SJSM GIA MAY 13
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2013,Grant-in-Aid (DCMS NDPBs),GIA Libraries bodies,Public Lending Right,50000625,"45,348.00",PLR GIA MAY 13
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2013,Grant-in-Aid (DCMS NDPBs),GIA Architecture+Heritage,Churches Conservation Trust,50000626,"250,000.00",CCT GIA MAY 13
Department for Culture Media and Sport,Department for Culture Media and Sport,01/05/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Natural History Museum,50000630,"3,689,000.00",NHM GIA MAY 13
