Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Defra,Defra,02/06/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,RIRP076627,30130.25,Screening for costs of disease resistance caused by stomatal dysfunction - January-March 2014,WV9 5AP,,exempt,SFFS0006,Expense
Defra,Defra,12/06/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,RIRP077032,34446.2,Minimising nitrous oxide intensities of arable crop products - January-March 2014,WV9 5AP,,exempt,SFFS0005,Expense
Defra,Defra,06/06/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Adi Electrical Ltd,1616,58920,Provision of Small Business Research Initiative (SBRI) project on biodegradable carrier bags,B30 3HX,SME,WE0111,0,Expense
Defra,Defra,30/06/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000041972,46300,Monk Parakeet eradication - Research and development - 2013-14,KT15 3NB,SME,dfp,0,Expense
Defra,Defra,25/06/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-541104-49064,61168.66,"Antigen mining, Differentiation of Infected and Vaccinated Animals assays and other diagnostic approaches - June 2014",KT15 3NB,SME,Exempt,0,Expense
Defra,Defra,25/06/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-541103-49063,104703,Continued vaccine development: Improving Bacillus Calmette–Guérin (BCG) and developing non-sensitising vaccines for cattle  - 2014-15 ,KT15 3NB,SME,SE3266,0,Expense
Defra,Defra,02/06/2014,Other Current Payments (GB),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000043257,48343,Badger control advice and support - 2013-14 Quarter 4,YO1 7PX,SME,DFP,BCP00001,Expense
Defra,Defra,02/06/2014,Other Current Payments (GB),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000041971,747451,Badger control advice and support - Research and Development - 2013-14 Final Invoice,YO1 7PX,SME,DFP,BCP00001,Expense
Defra,Defra,25/06/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-541101-49077,98370,Development of an oral Bacillus Calmette–Guérin (BCG) vaccine for badgers - regulatory component - 2013-14,KT15 3NB,SME,IGS,0,Expense
Defra,Defra,02/06/2014,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000043258,35267,Badger Vaccine Deployment Project: Research and Development - 2013-14 Quarter 4,YO1 7PX,SME,IGS,FERA0001,Expense
Defra,Defra,02/06/2014,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000043255,34183,Badger Control and Support - 2013-14 Quarter 4,YO1 7PX,SME,DFP,BCP00001,Expense
Defra,Defra,02/06/2014,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000043501,67744.77,Fallen stock sampling fee - April 2014,YO1 7PX,SME,DFP Funding,0,Expense
Defra,Defra,10/06/2014,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000042593,60550.93,Fallen Stock Sampling Fee - March 2014,YO1 7PX,SME,IDS,0,Expense
Defra,Defra,25/06/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-541127-49071,56575,Control measures for Salmonella on pig farms and their effect on endemic disease and productivity - 2014-15,KT15 3NB,SME,DFP,0,Expense
Defra,Defra,25/06/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-541102-49078,75180,Development of an oral Bacillus Calmette–Guérin (BCG) vaccine for badgers - research component - 2014-15,KT15 3NB,SME,,0,Expense
Defra,Defra,02/06/2014,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000043256,34041,Badger and Bovine Tuberculosis Advice - 2013-14 Quarter 4,YO1 7PX,SME,IGS,FERA0001,Expense
Defra,Defra,18/06/2014,Prog - Admin Costs - FLS Office Services Consultancy,Policy Delivery DG,Ashurst LLP,369401,131510.26,Provision of commercial legal advice to Defra in respect of the Thames Tideway Tunnel project - 26 April-30 May 2014,EC2A 2HA,,20238,0,Expense
Defra,Defra,06/06/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Association of IFCAs,1402,320014,Fisheries Management in Marine Protected Areas and in particular Marine Conservation Zones. Purchase of Research equipment for Inshore Fisheries and Conservation Authorities,IP33 2NH,SME,MB0136,0,Expense
Defra,Defra,30/06/2014,IT Software,Chief Operating Officer DG,Atos IT Services UK Ltd,5584160337,60368.54,Cloud ASC (Accredited Secure Cloud) IT services - April 2014,WV10 6UH,,cap124,CAPDFA08,Expense
