Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number,Amount,Vat Registration Num,PO Line Description,Expenditure Type,Contract Number
Department of Health,Department of Health,01/01/2012,Outsourcing Contract,CDD CORPORATE DEVELOPMENT,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201268346,-108143.61,,Quarry House - Phases 2 & 3,Admin,
Department of Health,Department of Health,01/01/2012,Outsourcing Contract,CDD CORPORATE DEVELOPMENT,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201268346,-41340.53,,Programme Management & Contingency,Admin,
Department of Health,Department of Health,01/01/2012,Contractor/Staff Substitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6588803,13,,DH Internal Audit review work,Admin,
Department of Health,Department of Health,01/01/2012,Contractor/Staff Substitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6588803,153,,DH Internal Audit review work,Admin,
Department of Health,Department of Health,01/01/2012,Contractor/Staff Substitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6588803,272,,DH Internal Audit review work,Admin,
Department of Health,Department of Health,01/01/2012,Contractor/Staff Substitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6588803,285,,DH Internal Audit review work,Admin,
Department of Health,Department of Health,01/01/2012,Contractor/Staff Substitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6588803,541.5,,DH Internal Audit review work,Admin,
Department of Health,Department of Health,01/01/2012,Contractor/Staff Substitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6588803,561,,DH Internal Audit review work,Admin,
Department of Health,Department of Health,01/01/2012,Contractor/Staff Substitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6588803,612,,DH Internal Audit review work,Admin,
Department of Health,Department of Health,01/01/2012,Contractor/Staff Substitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6588803,1173,,DH Internal Audit review work,Admin,
Department of Health,Department of Health,01/01/2012,Contractor/Staff Substitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6588803,1368,,DH Internal Audit review work,Admin,
Department of Health,Department of Health,01/01/2012,Contractor/Staff Substitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6588803,1482,,DH Internal Audit review work,Admin,
