Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Expenditure Type
Cabinet Office,Cabinet Office,01/10/12,Consultancy,CENTRAL BUDGETS,HERBERT SMITH LLP,3000029715,"50,000.00",Provision of legal service relating to myCSP programme,EC2A 2HS,Large,Administration
Cabinet Office,Cabinet Office,01/10/12,Other Staff Related Costs,CENTRAL BUDGETS,FCO SERVICES,3000029714,"76,974.00",Vetting Fees,MK19 7BH,Government Department,Administration
Cabinet Office,Cabinet Office,01/10/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,TEMPLAR EXECUTIVES LTD,3000029718,"33,600.00","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",GL50 3DA,sme,Programme
Cabinet Office,Cabinet Office,02/10/12,Accomodation and Utilities,CENTRAL BUDGETS,MAPELY,3000029738,"500,000.00",Rent for Accomodation,SE1 0TA,sme,Administration
Cabinet Office,Cabinet Office,02/10/12,IT Costs,IT AND TELECOMS BRANCH,VERIZON UK LTD,3000029748,"160,857.60",Core data infrastructure,RG2 6DA,Large,Administration
Cabinet Office,Cabinet Office,02/10/12,IT Costs,GOVERNMENT DIGITAL SERVICE,STERIA LTD,3000029745,"33,547.21",Providers of the infrastructure for GOV.UK,HP2 7AH,large,Programme
Cabinet Office,Cabinet Office,02/10/12,Supplies and Services,HONOURS AND APPOINTMENTS,THE TREASURER TO THE QUEEN,3000029747,"71,911.00",Central Chancery charges for administration of Honours,SW1A 1AA,Government Department,Programme
Cabinet Office,Cabinet Office,02/10/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,NATIONAL YOUTH AGENCY,3000029741,"89,111.00",National Citizen Service project grant,LE5 3GL,sme,Grants
Cabinet Office,Cabinet Office,02/10/12,Resource Grants to Local Authorities,OFFICE FOR CIVIL SOCIETY,OXFORDSHIRE COUNTY COUNCIL,3000029743,"74,688.00",National Citizen Service project grant,OX1 1NA,Government Department,Grants
Cabinet Office,Cabinet Office,03/10/12,Supplies and Services,INTELLIGENCE SECURITY AND RESILIENCE,CYBER SECURITY CHALLENGE UK LTD,3000029765,"45,000.00",Get Safe On Line campaign,HP9 2YX,sme,Programme
Cabinet Office,Cabinet Office,03/10/12,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,RETHINK RECRUITMENT SOLUTIONS LTD,3000029768,"28,192.55",Interim IT specialists,M2 1FB,SME,Programme
Cabinet Office,Government Procurement Service,04/10/12,Legal Fees,Legal Services,Weightmans LLP,PINDOH 34769,"30,659.34",Legal services fee,L3 9QJ,Large,Administration
Cabinet Office,Cabinet Office,05/10/12,Supplies and Services,ERG STRATEGY AND MANAGEMENT INFORMATION,OXFORD SAID BUSINESS SCHOOL LTD,3000029814,"52,588.33",Payment for development of Phase 1 residential module of the Government’s Major Projects Leadership Academy’,OX1 5NY,sme,Administration
Cabinet Office,Cabinet Office,05/10/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000029800,"118,256.32","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Programme
Cabinet Office,Cabinet Office,08/10/12,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000029838,"78,661.29",Interim IT specialists,SL6 1DP,Large,Programme
Cabinet Office,Cabinet Office,08/10/12,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000029838,"78,337.80",Interim IT specialists,SL6 1DP ,Large,Programme
Cabinet Office,Cabinet Office,08/10/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE SOCIAL INVESTMENT BUSINESS,3000029854,"390,780.00",Social Action Fund grants,WC1H 8AG,SME,Grants
Cabinet Office,Cabinet Office,08/10/12,GRANT FUND MANAGEMENT SERVICES,OFFICE FOR CIVIL SOCIETY,SOCIAL INVESTMENT BUSINESS,3000029851,"69,129.00",Grant Fund Management costs for the Social Action Fund grants,WC1H 8AG,sme,Programme
Cabinet Office,Cabinet Office,08/10/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE CHALLENGE NETWORK,3000029853,"130,212.00",National Citizen Service project grant,SE1 7HS,sme,Grants
Cabinet Office,Cabinet Office,08/10/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,BUSINESS IN THE COMMUNITY,3000029837,"28,500.00",National Citizen Service project grant,N1 7RQ,sme,Grants
Cabinet Office,Cabinet Office,08/10/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,LOCALITY,3000029844,"740,600.00",Community Organisers Bursary Grant 2012/13,N1 6DR,Large,Grants
Cabinet Office,Cabinet Office,09/10/12,Accomodation and Utilities,ESTATE MANAGEMENT,MITIE BUSINESS SERVICES LTD,3000029877,"48,911.10",Facilities Management Services,BS16 7FN,Large,Administration
Cabinet Office,Cabinet Office,09/10/12,Supplies and Services,IT AND TELECOMS BRANCH,DWP,3000029869,"154,166.00",Shared Services Charge,FY5 3TA,Government Department,Administration
Cabinet Office,Cabinet Office,09/10/12,IT Costs,POLITICAL AND CONSTITUTIONAL REFORM,SPECIALIST COMPUTER CENTRES PLC,3000029882,"61,203.56",Delivering the Digital capability that supports the business change from household to individual electoral registration ,B11 2LE,Large,Programme
Cabinet Office,Cabinet Office,09/10/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,NATIONAL COUNCIL FOR VOLUNTARY ORGANISATIONS,3000029878,"125,000.00",Strategic partners transition grant ,N1 9RL,large,Grants
Cabinet Office,Cabinet Office,09/10/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,YOUNG DEVON,3000029884,"128,027.00",National Citizen Service project grant,PL21 0AB,large,Grants
Cabinet Office,Cabinet Office,10/10/12,Supplies and Services,CENTRAL BUDGETS,CITY OF WESTMINSTER,3000029901,"37,500.00",Whitehall streetscape project,SW1E 6QP,Large,Administration
Cabinet Office,Cabinet Office,10/10/12,Accomodation and Utilities,CENTRAL BUDGETS,HM REVENUE & CUSTOMS 8899,3000029905,"279,324.90",Rent for Accomodation,BD98 1YY,Government Department,Administration
Cabinet Office,Government Procurement Service,10/10/12,WDHS Maintenance & Repairs,Whitehall District Heating Systems,Cofely,PINVP2P 1222,"62,983.99",Whitehall heating systems management,HP12 3TA,Large,Programme
Cabinet Office,Cabinet Office,11/10/12,Other Staff Related Costs,SCHEME MANAGEMENT EXECUTIVE,THE TRUSTEES OF PRUDENTIAL PLATINUM PENSION,3000029938,"38,368.65",Actuarial services,RG1 3AR,Large,Administration
Cabinet Office,Cabinet Office,11/10/12,IT Costs,GOVERNMENT DIGITAL SERVICE,CESG,3000029927,"125,000.00",Provision of identity assurance services,GL51 0EX,Government Department,Programme
Cabinet Office,Cabinet Office,11/10/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,CHANGEMAKERS,3000029928,"29,980.00",National Citizen Service project grant,N7 7QT,sme,Grants
Cabinet Office,Cabinet Office,12/10/12,Accomodation and Utilities,PRIME MINISTERS OFFICE,SECURITY SERVICES GROUP,3000029992,"48,030.30",Maintenance of physical and electronic security equipment,SN5 7XQ,Government Department,Administration
Cabinet Office,Cabinet Office,12/10/12,Accomodation and Utilities,GOVERNMENT DIGITAL SERVICE,FOOD STANDARDS AGENCY,3000029963,"225,298.52",Service charges for accomodation,YO1 7PX,large,Programme
Cabinet Office,Cabinet Office,12/10/12,IT Hardware,GOVERNMENT DIGITAL SERVICE,SPECIALIST COMPUTER CENTRES PLC,3000029995,"35,840.53",Software development services to support the GDS businesslink/GOV.UK replacement and monthly managed services,B11 2LE,Large,Programme
Cabinet Office,Cabinet Office,12/10/12,IT Costs,GOVERNMENT DIGITAL SERVICE,STERIA LTD,3000029996,"33,687.44",Providers of the infrastructure for GOV.UK,HP2 7AH ,large,Programme
Cabinet Office,Cabinet Office,12/10/12,GRANT FUND MANAGEMENT VAT RECOVERABLE,OFFICE FOR CIVIL SOCIETY,BIG LOTTERY FUND,3000029952,"160,549.00",Grant fund management costs for the Transition Fund - 2012-13,EC4A 1DE,large,Programme
Cabinet Office,Cabinet Office,12/10/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,CATCH22 CHARITY LTD,3000029955,"125,949.00",National Citizen Service project grant,EC1V 9BW,large,Grants
Cabinet Office,Cabinet Office,12/10/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SEFTON COUNCIL FOR VOLUNTARY SERVICE,3000029993,"120,205.00",National Citizen Service project grant,L22 0NY,SME,Grants
Cabinet Office,Cabinet Office,15/10/12,Accomodation and Utilities,ESTATE MANAGEMENT,ETDE FM,3000030020,"29,123.92",Facilities Management Services,BN1  1HG,Large,Administration
Cabinet Office,Cabinet Office,15/10/12,SUNNINGDALE PARK PFI SERVICE CHARGES,CENTRAL BUDGETS,DE VERE VENUES LTD,3000030018,"509,396.00",Private Finance Initiative Service Charges ,KT24 6DU,Large,Administration
Cabinet Office,Cabinet Office,15/10/12,Accomodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,MINISTRY OF DEFENCE,3000030029,"145,581.28",High Integrity Telecomms System project costs,L2 3YL,Government Department,Programme
Cabinet Office,Cabinet Office,16/10/12,IT Costs,INTELLIGENCE SECURITY AND RESILIENCE,CABLE & WIRELESS PLC,3000030053,"75,000.00",Network Service Charge,RG12 1RW,Large,Administration
Cabinet Office,Cabinet Office,16/10/12,"Travel, Subsistence and Hospitality",INTELLIGENCE SECURITY AND RESILIENCE,HOGG ROBINSON TRAVEL LTD,3000030066,"28,175.37",Official Travel,GU14 7NJ,Large,Administration
Cabinet Office,Cabinet Office,16/10/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,ADVALUS LTD,3000030048,"190,500.00","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SN13 0RP,SME,Programme
Cabinet Office,Cabinet Office,16/10/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000030054,"55,003.72","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Programme
Cabinet Office,Cabinet Office,16/10/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CESG,3000030055,"50,000.40","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",GL51 0EX,Government Department,Programme
Cabinet Office,Cabinet Office,16/10/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE CHALLENGE NETWORK,3000030078,"1,145,331.00",National Citizen Service project grant,SE1 7HS,sme,Grants
Cabinet Office,Cabinet Office,17/10/12,Agency and Temporary Staff,ESTATE MANAGEMENT,REED SPECIALIST RECRUITMENT,3000030125,"28,985.15",Interim staff costs,SW20 0BA,Large,Administration
Cabinet Office,Cabinet Office,17/10/12,IT Costs,GOVERNMENT PROPERTY UNIT,CORPORATE DOCUMENT SERVICES LTD,3000030100,"25,888.99","Monthly costs for September 2012 for support, maintenance and minor developments of e-PIMS",LS2 LY,Large,Programme
Cabinet Office,Cabinet Office,18/10/12,"Travel, Subsistence and Hospitality",PRIME MINISTERS OFFICE,FOREIGN & COMMONWEALTH OFFICE,3000030148,"42,372.91",Official Travel,MK10 1PX,Government Department,Administration
Cabinet Office,Cabinet Office,18/10/12,Accomodation and Utilities,PRIME MINISTERS OFFICE,ETDE FM,3000030147,"25,216.71",Facilities Management Services,BN1  1HG,Large,Administration
