Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Vat Registration Num
Department of Health,Department of Health,01/09/2011,Professional fees,WORKFORCE,GENERAL MEDICAL COUNCIL,90000140,-375222.02,
Department of Health,Department of Health,01/09/2011,Expense clearing GPC (ST),More than one Directorate,BARCLAYCARD BUSINESS,2224001-19-SEP-11,48604.76,
Department of Health,Department of Health,01/09/2011,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),735373,67776,
Department of Health,Department of Health,01/09/2011,Outsourcing Contract,WORKFORCE,GENERAL MEDICAL COUNCIL,90000140,375222.02,
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,NATIONAL PATIENT SAFETY AGENCY (NPSA),HAFS-11327,"1,000,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,NATIONAL TREATMENT AGENCY FOR SUBSTANCE MISUSE (NTA),HAFS-11328,"1,100,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,NHS INSTITUTE FOR INNOVATION AND IMPROVEMENT,HAFS-11333,"2,500,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,HEALTH AND SOCIAL CARE INFORMATION CENTRE,HAFS-11298,"3,000,000",
Department of Health,Department of Health,01/09/2011,Service charge,Informatics,BT GROUP PLC,CHAPS1/9/11,4731043.47,
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-11326,"5,750,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,HARTLEPOOL PCT,HAFS-11295,"12,900,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,BASSETLAW PCT,HAFS-11242,"13,250,000",
Department of Health,Department of Health,01/09/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS,HAFS-11336,"16,120,000",
