Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Expenditure Type,
Cabinet Office,Cabinet Office,01/05/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,BIG SOCIETY NETWORK,3000026576,"116,666.00",Grant to support a programme of work that complements the Government’s objectives for Big Society,WC2R1LA,sme,Grants,
Cabinet Office,Cabinet Office,01/05/12,Accommodation and Utilities,COI TRANSITION COSTS - ADMIN,CITIBASE,3000026230,"26,799.29",Regional office rent and fixed charges,B25HG,non sme,Admin,
Cabinet Office,Cabinet Office,01/05/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE CHALLENGE NETWORK,3000026301,"2,245,252.00",National Citizen Service project grant,SE1 7HS,sme,Grants,
Cabinet Office,Cabinet Office,01/05/12,Supplies and Services,INTELLIGENCE SECURITY AND RESILIENCE,BBC MONITORING,3000025942,"1,683,333.00",Monitoring services provided by the BBC,M14 0EP,large,Programme,
Cabinet Office,Cabinet Office,01/05/12,Supplies and Services,INTELLIGENCE SECURITY AND RESILIENCE,BBC MONITORING,3000026438,"1,683,333.00",Monitoring services provided by the BBC,M14 0EP,large,Programme,
Cabinet Office,Cabinet Office,02/05/12,Termination Benefits,NATIONAL SCHOOL OF GOVERNMENT,CO CIVIL SUPERANNUATION,3000188,"4,436,955.44",Redundancy payments for National School of Government,RG249NW,Government Department,Admin,
Cabinet Office,Cabinet Office,03/05/12,Accommodation and Utilities,ERG STRATEGY AND MANAGEMENT INFORMATION,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,3000025842,"41,589.00",Accommodation in BIS Estate for 9 Cabinet Office staff in 8 locations throughout England.,NP197AA,Government Department,Admin,
Cabinet Office,Cabinet Office,03/05/12,Accommodation and Utilities,ESTATE MANAGEMENT,ETDE FM,3000026406,"921,491.93",Facilities management services,BN11HG,large,Admin,
Cabinet Office,Cabinet Office,03/05/12,Assets Under Construction,ESTATE MANAGEMENT,ETDE FM,3000026162,"501,389.28",Facilities management services,BN11HG,large,Admin,
Cabinet Office,Cabinet Office,03/05/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,YOUNG DEVON,3000026561,"913,122.00",National Citizen Service project grant,PL21 0AB,large,Grants,
Cabinet Office,Cabinet Office,04/05/12,Assets Under Construction,ESTATE MANAGEMENT,ETDE FM,3000026162,"80,222.28",Refurbishment of 70 Whitehall,BN11HG,large,Admin,
Cabinet Office,Cabinet Office,04/05/12,Accommodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,MINISTRY OF DEFENCE,3000026624,"780,319.25",High Integrity Telecomms System project costs,L2 3YL,Government Department,Programme,
Cabinet Office,Cabinet Office,04/05/12,IT Costs,GDS BUSINESS SUPPORT AND OPERATIONS,STERIA LTD,3000026557,"703,580.01",Payment for a Quarter's managed service; hosting and maintenance of the Directgov website,HP2 7AH,non sme,Programme,
Cabinet Office,Cabinet Office,04/05/12,Accommodation and Utilities,ESTATE MANAGEMENT,ETDE FM,3000026406,"31,327.52",Facilities management services,BN11HG,large,Admin,
Cabinet Office,Cabinet Office,08/05/12,Consultancy,CIVIL SERVICE PENSIONS,HERBERT SMITH LLP,3000026286,"601,816.61",Legal services fee,EC2A 2HS,Large,Admin,
Cabinet Office,Cabinet Office,08/05/12,IT Hardware,PRIME MINISTERS OFFICE,ETDE FM,3000025951,"30,514.22",ICT Infrastructure Renewal,BN11HG,large,Admin,
Cabinet Office,Cabinet Office,08/05/12,Freehold Non Residential Buildings,PRIME MINISTERS OFFICE,ETDE FM,3000026071,"27,142.63",ICT Infrastructure Renewal,BN11HG,large,Admin,
