Departmental Family,Entity,Date,Expense Type,Expense Area,GL Division Discription,Supplier,Transaction Number, Amount ,PO Line Description,Supplier Site Postcode,Project code,Expenditure Type,Supplier Type,Contract Number
,,01/12/2016,ENDPBs Admin Revenue Grant in Aid,Central Technical,DD: NHS FC,CARE QUALITY COMMISSION (CQC) CQC033,HAFS-22114," 8,000,000 ",,,,,PUBLIC,
,,01/12/2016,ENDPBs Admin Revenue Grant in Aid,Central Technical,DD: NHS FC,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,HAFS-22115," 30,612,000 ",,WF3 1WE,,,PUBLIC,
,,01/12/2016,ENDPBs Admin Revenue Grant in Aid,Central Technical,DD: NHS FC,HEALTH EDUCATION ENGLAND T1510,HAFS-22116," 400,000,000 ",,LS1 4PL,,,PUBLIC,
,,01/12/2016,ENDPBs Admin Revenue Grant in Aid,Central Technical,DD: NHS FC,HEALTH RESEARCH AUTHORITY,HAFS-22117," 1,100,000 ",,SE1 6LH,,,PUBLIC,
,,01/12/2016,ENDPBs Admin Revenue Grant in Aid,Central Technical,DD: NHS FC,HUMAN FERTILISATION AND EMBRYOLOGY AUTHORITY (HFEA),HAFS-22118," 234,000 ",,EC1Y 8HF,,,PUBLIC,
,,01/12/2016,ENDPBs Admin Revenue Grant in Aid,Central Technical,DD: NHS FC,HUMAN TISSUE AUTHORITY (HTA033),HAFS-22119," 176,000 ",,,,,PUBLIC,
,,01/12/2016,ENDPBs Admin Revenue Grant in Aid,Central Technical,DD: NHS FC,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS MIR033,HAFS-22120," 6,000,000 ",,,,,PUBLIC,
,,01/12/2016,ENDPBs Admin Revenue Grant in Aid,Central Technical,DD: NHS FC,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-22121," 2,800,000 ",,SE1 7NT,,,PUBLIC,
,,01/12/2016,ENDPBs Admin Revenue Grant in Aid,Central Technical,DD: NHS FC,NHS ENGLAND CBA033,HAFS-22123," 3,584,161,000 ",,LS2 7UE,,,PUBLIC,
,,01/12/2016,ENDPBs Admin Revenue Grant in Aid,Central Technical,DD: NHS FC,NHS ENGLAND CBA033,HAFS-22124," 5,561,905,000 ",,LS2 7UE,,,PUBLIC,
