Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number,Amount,PO Number,PO line Description,Contract Number,Project Code
,,01/10/2013,Professional fees,DG: SCLGCP,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,PUBLIC,DN4 8QN,63585,47500,505966,Fees for Y&H/East Mids section 12 approval panel for the period of 01-04-13 to 31-03-2014,,
,,01/10/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical,CARE QUALITY COMMISSION (CQC) CQC033,PUBLIC,,HAFS-16097,10000000,,,,
,,01/10/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical,HEALTH AND SOCIAL CARE INFORMATION CENTRE,PUBLIC,WF3 1WE,HAFS-16098,15000000,,,,
,,01/10/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical,HEALTH EDUCATION ENGLAND T1510,PUBLIC,LS1 4PL,HAFS-16099,558000000,,,,
,,01/10/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical,HEALTH RESEARCH AUTHORITY,PUBLIC,SE1 6LH,HAFS-16100,860000,,,,
,,01/10/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS MIR033,PUBLIC,,HAFS-16102,5704000,,,,
,,01/10/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),PUBLIC,SE1 7NT,HAFS-16103,5500000,,,,
,,01/10/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PUBLIC,NE1 6SN,HAFS-16104,12200000,,,,
,,01/10/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical,NHS ENGLAND CBA033,PUBLIC,LS2 7UE,HAFS-16105,2926044000,,,,
,,01/10/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical,NHS TRUST DEVELOPMENT AUTHORITY,PUBLIC,SW1E 6QT,HAFS-16106,2000000,,,,
,,01/10/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical,PUBLIC HEALTH ENGLAND PHE033,PUBLIC,SP4 0JG,HAFS-16107,743449000,,,,
,,01/10/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical,NHS ENGLAND CBA033,PUBLIC,LS2 7UE,HAFS-16108,4567235000,,,,
Department of Health,Department of Health,29/10/2013,Injury Benefits,DG: ERD,NHS PENSIONS AGENCY,,FY7 8LG,50004756,930981.88,,,,
Department of Health,Department of Health,29/10/2013,Pension Liability/Compensation,DG: ERD,NHS PENSIONS AGENCY,,FY7 8LG,50004755,3596738.77,,,,
,,03/10/2013,Outsourcing Contract,DG: GOAD,NHS SHARED BUSINESS SERVICES (SBS),PUBLIC,WF3 1WE,100019716,24403.5,506241,Small Changes to BMS for 2013-14 - MWO DHBMS.028.01/13,,
,,03/10/2013,Professional fees,DG: GOAD,NHS SHARED BUSINESS SERVICES (SBS),PUBLIC,WF3 1WE,100019772,712142.7,505798,Closedown Agreement - Migration Charge (one-off),,
,,03/10/2013,Outsourcing Contract,DG: SFNHS,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,PUBLIC,EX2 7HY,6283273,199167,504890,Monthly charge for hosting of the Ambulance Radio Programme,,
,,04/10/2013,Outsourcing Contract,DG: ERD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,3114489,264000,505732,Provision of RST services for 2013/14 - Business Support & Staffing,,
,,04/10/2013,Outsourcing Contract,DG: ERD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,3114489,17000,505732,Provision of RST services for 2013/14 - Reseach & Quality Improvement (VAT reclaimable),,
,,04/10/2013,Outsourcing Contract,DG: ERD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,3114489,3000,505732,Provision of RST services for 2013/14 - Supporting Implementation (VAT claimable),,
,,04/10/2013,Outsourcing Contract,DG: ERD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,3114489,1200,505732,Provision of RST services for 2013/14 - Supporting Implementation (VAT not reclaimable),,
,,04/10/2013,Outsourcing Contract,DG: ERD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,3117440,56400,505732,Provision of RST services for 2013/14 - Supporting Implementation (VAT not reclaimable),,
,,04/10/2013,Outsourcing Contract,DG: ERD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,3117440,1000,505732,Provision of RST services for 2013/14 - Supporting Implementation (VAT claimable),,
,,04/10/2013,Outsourcing Contract,DG: ERD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,3117440,188000,505732,Provision of RST services for 2013/14 - Business Support & Staffing,,
,,04/10/2013,ENDPBs Admin Revenue Grant in Aid,DG: ERD,COUNCIL FOR HEALTHCARE REGULATORY EXCELLENCE (CHRE),PUBLIC,WC2N 5HR,DH051,250000,505403,PSA Grant-In-Aid Revenue Cash Drawdown 2013/14 (Additional),,
,,04/10/2013,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,PUBLIC,BR3 3BX,ERS-505047-80147,44346,348786,Programme Grants for NHS Trusts,,
,,04/10/2013,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,PUBLIC,BR3 3BX,ERS-505047-80147,39896,348894,Programme Grants for NHS Trusts,,
,,04/10/2013,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,PUBLIC,BR3 3BX,ERS-505047-80147,44532,349091,Programme Grants for NHS Trusts,,
,,04/10/2013,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,PUBLIC,BR3 3BX,ERS-505047-80147,40818,349093,Programme Grants for NHS Trusts,,
