Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Supplier Type,Latest Contract Number,Project Code,Expenditure Type
,,01/06/2016,Radio communications,"DG: FINANCE, COMMERCIAL & NHS",AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-483,2196131.63,April 16 - March 17 Core Service Charges,SL1 2EJ,LARGE,,,
,,01/06/2016,Addition Clearing - F&F,DG: GROUP OPERATIONS,FLEXIFORM BUSINESS FURNITURE LTD,436385,27405.08,Replaces PO 526522. Richmond House – 1st Floor – Phase 6 Furniture,BD3 7AE,SME,,,
,,01/06/2016,Outsourcing Contract,"DG: FINANCE, COMMERCIAL & NHS",BROVANTURE LTD,611126,33942,Brovanture  - Contract 1: Hosting and licenses (based on 3 environments) May 2016 - Dec 2016,GU2 7YG,SME,,,
,,01/06/2016,Expense clearing GPC (ST),Central Technical,THE ROYAL BANK OF SCOTLAND PLC,6153001-02-JUN-16,28623.68,,SS1 9AJ,LARGE,,,
,,01/06/2016,Outsourcing Contract,"DG: FINANCE, COMMERCIAL & NHS",PLYMOUTH HOSPITALS NHS TRUST,884115,336870,Delivery of Phase 1 adoption of GS1 and PEPPOL standards,WF3 1WE,PUBLIC,,,
,,01/06/2016,Addition Clearing - SW LIC,"DG: INNOVATION, GROWTH & TECHNOLOGY",THE PHOENIX PARTNERSHIP (LEEDS) LTD,GPSOC025,10000,Capital 2016/17 TPP GPSoC Replacement: Capital cost for interim payment covering April and May 16,LS18 5TN,SME,,,
,,01/06/2016,Service charge,"DG: INNOVATION, GROWTH & TECHNOLOGY",THE PHOENIX PARTNERSHIP (LEEDS) LTD,GPSOC025,318519.36,Revenue 2016/17 TPP GPSoC Replacement: Charges for interim payment covering April and May 16,LS18 5TN,SME,,,
,,01/06/2016,ENDPBs Admin Revenue Grant in Aid,Central Technical,CARE QUALITY COMMISSION (CQC) CQC033,HAFS-21133,10000000,,,PUBLIC,,,
,,01/06/2016,ENDPBs Admin Revenue Grant in Aid,Central Technical,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,HAFS-21134,13000000,,WF3 1WE,PUBLIC,,,
,,01/06/2016,ENDPBs Admin Revenue Grant in Aid,Central Technical,HEALTH EDUCATION ENGLAND T1510,HAFS-21135,325000000,,LS1 4PL,PUBLIC,,,
,,01/06/2016,ENDPBs Admin Revenue Grant in Aid,Central Technical,HEALTH RESEARCH AUTHORITY,HAFS-21136,750000,,SE1 6LH,PUBLIC,,,
,,01/06/2016,ENDPBs Admin Revenue Grant in Aid,Central Technical,HUMAN FERTILISATION AND EMBRYOLOGY AUTHORITY (HFEA),HAFS-21137,234000,,EC1Y 8HF,PUBLIC,,,
,,01/06/2016,ENDPBs Admin Revenue Grant in Aid,Central Technical,HUMAN TISSUE AUTHORITY (HTA033),HAFS-21138,176000,,,PUBLIC,,,
,,01/06/2016,ENDPBs Admin Revenue Grant in Aid,Central Technical,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS MIR033,HAFS-21139,6000000,,,PUBLIC,,,
,,01/06/2016,ENDPBs Admin Revenue Grant in Aid,Central Technical,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-21140,2000000,,SE1 7NT,PUBLIC,,,
,,01/06/2016,SpHAs Programme Revenue Parliamentary Funding,Central Technical,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-21141,7300000,,NE1 6SN,PUBLIC,,,
,,01/06/2016,ENDPBs Admin Revenue Grant in Aid,Central Technical,NHS ENGLAND CBA033,HAFS-21142,3021130000,,LS2 7UE,PUBLIC,,,
,,01/06/2016,ENDPBs Admin Revenue Grant in Aid,Central Technical,NHS ENGLAND CBA033,HAFS-21143,5442131000,,LS2 7UE,PUBLIC,,,
,,01/06/2016,SpHAs Programme Revenue Parliamentary Funding,Central Technical,NHS TRUST DEVELOPMENT AUTHORITY,HAFS-21144,12000000,,SW1E 6QT,PUBLIC,,,
,,01/06/2016,SpHAs Programme Revenue Parliamentary Funding,Central Technical,PUBLIC HEALTH ENGLAND PHE033,HAFS-21145,46500000,,SP4 0JG,PUBLIC,,,
,,01/06/2016,Contractor/Staff Substitution,DG: GROUP OPERATIONS,CAPITA BUSINESS SERVICES LTD CL1 ONLY,LO10096438,0.01,,,LARGE,,,
,,01/06/2016,Contractor/Staff Substitution,DG: GROUP OPERATIONS,CAPITA BUSINESS SERVICES LTD CL1 ONLY,LO10096438,360,Capita CL1 new line for PO-521893 for HEO specialist contractor POST AWR rate after 3 months paying pension contributions,,LARGE,,,
,,01/06/2016,Contractor/Staff Substitution,DG: GROUP OPERATIONS,CAPITA BUSINESS SERVICES LTD CL1 ONLY,LO10096438,15324.88,Capita CL1 new line for PO 521893 for HEO  specialist contractor post AWR hourly rate after 3 months now paying pension contributions,,LARGE,,,
,,01/06/2016,Contractor/Staff Substitution,DG: GROUP OPERATIONS,CAPITA BUSINESS SERVICES LTD CL1 ONLY,LO10096438,22714.54,"CAPITA CL1 Contractor Specialist HEO, New line for PO 521893 to merely change rate from daily to hourly. From week commencing 8 June 2015 change to hourly rate. Full docs for spend already on I-proc",,LARGE,,,
,,01/06/2016,Contractor/Staff Substitution,DG: GROUP OPERATIONS,CAPITA BUSINESS SERVICES LTD CL1 ONLY,LO10096438,9146.09,Add to PO-521893 for HEO specialist contractor-CL1,,LARGE,,,
,,01/06/2016,Storage costs,"DG: INNOVATION, GROWTH & TECHNOLOGY",TEVA UK LTD,2310446458,153340.75,,2310446458,LARGE,,,
,,01/06/2016,Essential Meds SPG - Additions,"DG: INNOVATION, GROWTH & TECHNOLOGY",Tillotts Pharma UK Ltd,124,619722.63,,,SME,,,
,,01/06/2016,Essential Meds SPG - Additions,"DG: INNOVATION, GROWTH & TECHNOLOGY",Tillotts Pharma UK Ltd,124,19.98,,,SME,,,
,,01/06/2016,Essential Meds SPG - Additions,"DG: INNOVATION, GROWTH & TECHNOLOGY",ACTAVIS UK LTD,16018732,1529498.04,,,LARGE,,,
,,01/06/2016,Essential Meds SPG - Additions,"DG: INNOVATION, GROWTH & TECHNOLOGY",B BRAUN MEDICAL LTD,328244756,32155.2,,,LARGE,,,
,,01/06/2016,Essential Meds SPG - Additions,"DG: INNOVATION, GROWTH & TECHNOLOGY",B BRAUN MEDICAL LTD,328244757,36842.4,,,LARGE,,,
,,01/06/2016,Essential Meds SPG - Additions,"DG: INNOVATION, GROWTH & TECHNOLOGY",B BRAUN MEDICAL LTD,328256631,76764.1,,,LARGE,,,
,,01/06/2016,Essential Meds SPG - Additions,"DG: INNOVATION, GROWTH & TECHNOLOGY",GENESIS PHARMACEUTICALS LTD,54344,155500.75,,,SME,,,
