Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description,Supplier Site Postcode,Project code,Expenditure Type,Supplier Type,Contract Number,Vat Registration Num
,,01/07/2015,Policy Payments,DG: ERD,NHS PENSIONS AGENCY,14045,"892,577.02",Injury Benefits Liabilities (SHA & PCT Legacy),FY7 8LG,,,PUBLIC,,
,,01/07/2015,Policy Payments,DG: ERD,NHS PENSIONS AGENCY,14045,"347,908.45",Legacy injury benefit Liabilities,FY7 8LG,,,PUBLIC,,
,,01/07/2015,Policy Payments,DG: Central Technical,OXFORD UNIVERSITY HOSPITALS NHS TRUST,CHAPS,"7,500,000.00",Project diamond/Shelford - Oxford University Teaching Hospital,OX3 7HE,,,PUBLIC,,
,,01/07/2015,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,HAFS-18534,"14,000,000.00",,WF3 1WE,,,PUBLIC,,
,,01/07/2015,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,HEALTH EDUCATION ENGLAND T1510,HAFS-18535,"366,000,000.00",,LS1 4PL,,,PUBLIC,,
,,01/07/2015,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,HEALTH RESEARCH AUTHORITY,HAFS-18536,"750,000.00",,SE1 6LH,,,PUBLIC,,GB654441482
,,01/07/2015,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS MIR033,HAFS-18537,"6,000,000.00",,,,,PUBLIC,,
,,01/07/2015,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-18538,"6,000,000.00",,SE1 7NT,,,PUBLIC,,
,,01/07/2015,SpHAs Programme Revenue Parliamentary Funding,DG: Central Technical,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-18539,"11,000,000.00",,NE1 6SN,,,PUBLIC,,
,,01/07/2015,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,NHS ENGLAND CBA033,HAFS-18540,"4,310,302,000.00",,LS2 7UE,,,PUBLIC,,GB654442045
,,01/07/2015,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,NHS ENGLAND CBA033,HAFS-18541,"5,172,894,000.00",,LS2 7UE,,,PUBLIC,,GB654442045
,,01/07/2015,SpHAs Programme Revenue Parliamentary Funding,DG: Central Technical,NHS TRUST DEVELOPMENT AUTHORITY,HAFS-18542,"3,500,000.00",,SW1E 6QT,,,PUBLIC,,GB654441930
,,01/07/2015,SpHAs Programme Revenue Parliamentary Funding,DG: Central Technical,PUBLIC HEALTH ENGLAND PHE033,HAFS-18543,"805,368,000.00",,SP4 0JG,,,PUBLIC,,
,,01/07/2015,Other creditors (ST),DG: Central Technical,NHS ENGLAND CBA033,PAYMENT RETURNED TO NHSE 1/7/15,"29,929.73",,LS2 7UE,,,PUBLIC,,GB654442045
,,01/07/2015,Outsourcing Contract,DG: PHD,NHS SUPPLY CHAIN,9046000026,"232,048.03",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2015/16 - 1st April to 31st July 2015,DE55 4QJ,,,PUBLIC,,
,,01/07/2015,Outsourcing Contract,DG: PHD,NHS SUPPLY CHAIN,9046000027,"1,309,227.06",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2015/16 - 1st April to 31st July 2015,DE55 4QJ,,,PUBLIC,,
,,01/07/2015,Outsourcing Contract,DG: SFNHS,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,6287255,"208,536.00",2015-16 Funding to cover direct costs of providing hosting services for  Ambulance Radio Programme,EX2 7HY,,,PUBLIC,,
,,01/07/2015,ENDPBs Admin Revenue Grant in Aid,DG: ERD,PROFESSIONAL STANDARDS AUTHORITY,DH072,"347,500.00",PSA 15/16 Grant-in-aid Revenue cash drawdown 1/04/15 - 31/07/15,SW1W 9SP,,,PUBLIC,,
,,01/07/2015,Storage costs,DG: GOAD,IRON MOUNTAIN UK LTD,SB61200-SB61201,"24,597.43",File Storage and retrieval for ELX70,EH54 5DL,,,LARGE,,
,,01/07/2015,Expense clearing GPC (ST),DG: Central Technical,THE ROYAL BANK OF SCOTLAND PLC,5403001-03-JUL-15,"42,206.75",,SS1 9AJ,,,LARGE,,
,,01/07/2015,Expense clearing GPC (ST),DG: Central Technical,THE ROYAL BANK OF SCOTLAND PLC,5403002-03-JUL-15,"31,324.10",,SS1 9AJ,,,LARGE,,
,,01/07/2015,Expense clearing GPC (ST),DG: Central Technical,THE ROYAL BANK OF SCOTLAND PLC,5403003-03-JUL-15,"32,469.86",,SS1 9AJ,,,LARGE,,
,,01/07/2015,Research & development,DG: RDD,RAND EUROPE CIC,15327/10073-63,"28,195.50",PROJECTS,CB4 1YG,,,SME,,GB599625179
,,01/07/2015,Research & development,DG: RDD,RAND EUROPE CIC,15328/11116-48,"29,465.57",PROJECTS,CB4 1YG,,,SME,,GB599625179
,,01/07/2015,Research & development,DG: RDD,RAND EUROPE CIC,15335/14066-5,"61,530.00",PROJECTS,CB4 1YG,,,SME,,GB599625179
,,01/07/2015,Outsourcing Contract,DG: SFNHS,COPYRIGHT LICENSING AGENCY,581531,"1,621,148.00","The Copyright Licensing Agency Limited Saffron House, 6-10 Kirby Street, London EC1N 8TS Company No. 1690026 Registered in England Telephone: 020 7400 3100) ",W1P 0LP,,,SME,,GB386463025
,,01/07/2015,Research & development,DG: RDD,SOUTHAMPTON UNIVERSITY OF,44167773,"3,926,761.71",NETS-CC Management,SO17 1BJ,,,PUBLIC,,
,,01/07/2015,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY OF,7704982,"-1,326.00",RDD Programme Support - Miscellaneous,NG7 2RD,,,PUBLIC,,GB690391225
,,01/07/2015,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY OF,7704982,"1,326.00",RDD Programme Support - Miscellaneous,NG7 2RD,,,PUBLIC,,GB690391225
,,01/07/2015,Provisions cash payment,DG: PHD,CAXTON FOUNDATION,CF-6/2015-16,"115,869.99",Caxton Foundation funding for beneficiary support,EN4 9NX,,,VCS,,
,,01/07/2015,Outsourcing Contract,DG: SCLGCP,SOCIAL CARE INSTITUTE FOR EXCELLENCE SCIE,IVC02341,"333,697.20",Project management costs for carers in employment pilots,NW1 6AQ,,,VCS,,
,,01/07/2015,Outsourcing Contract,DG: SCLGCP,SOCIAL CARE INSTITUTE FOR EXCELLENCE SCIE,IVC02344,"333,697.20",Project management costs for carers in employment pilots,NW1 6AQ,,,VCS,,
,,02/07/2015,Addition Clearing - SW LIC,DG: IGT,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210017343,"28,543.30",Capital: F/Y 2014/15 LSP NME STAF  Hull and East Trust and LC costs for Lorenzo Deployment,HU16 5JQ,,,PUBLIC,,
,,02/07/2015,Service charge,DG: IGT,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210017343,"133,876.12",Revenue: F/Y 2014/15 LSP NME Hull & East Yorks TrustSTAF and LC costs for Lorenzo Deployment,HU16 5JQ,,,PUBLIC,,
,,02/07/2015,Service charge,DG: IGT,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210017343,"40,423.18",Revenue: F/Y 2015/16 LSP NME Hull & East Yorks Trust  - Lorenzo,HU16 5JQ,,,PUBLIC,,
,,02/07/2015,Addition Clearing - SW LIC,DG: IGT,WALSALL HEALTHCARE NATIONAL HEALTH SERVICE TRUST,C038586,"239,733.87",Capital: F/Y 2014/15 LSP NME STAF and LC costs for Lorenzo Deployment,WS2 9PS,,,PUBLIC,,
,,02/07/2015,Service charge,DG: IGT,WALSALL HEALTHCARE NATIONAL HEALTH SERVICE TRUST,C038586,"604,354.65",Revenue: F/Y 2014/15 LSP NME STAF and LC costs for Lorenzo Deployment,WS2 9PS,,,PUBLIC,,
,,02/07/2015,Research & development,DG: RDD,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-540760-106581,"31,423.00",Research for Patient Benefit,BS99 1YF,,,PUBLIC,,
,,02/07/2015,IT minor costs non capital,DG: GOAD,SAS SOFTWARE LTD,1500858,"38,556.00",,SL7 2EB,,,LARGE,,GB347347538
,,02/07/2015,Rent of Land & Buildings (non-PFI operating lease),DG: GOAD,SAVILLS COMMERCIAL LTD,DS101L-050787- 1/7/2015,"130,500.00",,M2 2FE,,,LARGE,,GB606046468
,,02/07/2015,Service charge,DG: GOAD,SAVILLS COMMERCIAL LTD,DS101L-050787- 1/7/2015,"47,412.12",,M2 2FE,,,LARGE,,GB606046468
,,02/07/2015,Addition Clearing - SW LIC,DG: IGT,BJSS LTD,13521,"127,636.91",Capital: 2015/16 Spine 2 BJSS - Collaborative Development Call-Off Contract April - June 2015,LS1 2TW,,,SME,,GB613295452
,,02/07/2015,Service charge,DG: IGT,BT GROUP PLC,384238,"154,188.39",Revenue: BT Spine - Committed 2014/15,NW9 5BA,,,LARGE,,GB245719348
,,02/07/2015,Service charge,DG: IGT,CSC COMPUTER SCIENCES LTD,5201412889,"7,135,032.61",Revenue: 2015/16 LSP NME CSC - Non Lorenzo,PR1 8UQ,,,LARGE,,GB584686581
,,02/07/2015,Service charge,DG: IGT,ATOS IT SOLUTIONS AND SERVICES LTD,5584188868,"909,556.45",Revenue: CAB Extension April  2015 to June 2015 - ACCN 559,NW1 3HG,,,LARGE,,GB232327983
,,02/07/2015,Rates,DG: GOAD,LAMBETH LONDON BOROUGH COUNCIL,325683913/36080133135016,"330,885.00",,SW2 1RW,,,PUBLIC,,
,,02/07/2015,Rates,DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),5028047,"126,369.75",,FY5 3TA,,,PUBLIC,,
,,02/07/2015,Rent of Land & Buildings (non-PFI operating lease),DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),5028047,"582,643.68",,FY5 3TA,,,PUBLIC,,
,,02/07/2015,Utilities,DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),5028047,"3,871.49",,FY5 3TA,,,PUBLIC,,
,,02/07/2015,Rates,DG: GOAD,WESTMINSTER CITY COUNCIL,540691,"507,870.00",,WC2N 6NU,,,PUBLIC,,
,,02/07/2015,Rates,DG: GOAD,LEEDS CITY COUNCIL,901349235/JULY-SEP2015,"16,416.90",,LS1 1UR,,,PUBLIC,,
,,02/07/2015,Rates,DG: GOAD,LEEDS CITY COUNCIL,901349235/JULY-SEP2015,"57,163.35",,LS1 1UR,,,PUBLIC,,
,,02/07/2015,Outsourcing Contract,DG: SFNHS,DEPARTMENT FOR WORK AND PENSIONS (DWP),2926768,"576,870.00",Administration of the NHS Injury Cost Recovery Scheme.,CF14 3UW,,,PUBLIC,,
,,02/07/2015,Outsourcing Contract,DG: PHD,DEPARTMENT FOR WORK AND PENSIONS (DWP),2926713,"1,000,000.00",DWP Overseas Healthcare Team Recharges 2015-16 (core funding),FY5 3TA,,,PUBLIC,,
,,02/07/2015,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON UCL,ERS-540753-106592,"68,116.00",Invention for Innovation,WC1E 6BT,,,PUBLIC,,GB524371168
,,02/07/2015,Research & development,DG: RDD,CITY UNIVERSITY LONDON,ERS-540754-106588,"117,433.00",Invention for Innovation,EC1V 0HB,,,PUBLIC,,
,,02/07/2015,Research & development,DG: RDD,UNIVERSITY OF THE WEST OF ENGLAND,ERS-540755-106596,"103,157.00",Invention for Innovation,BS16 1QY,,,PUBLIC,,GB520137788
,,02/07/2015,Research & development,DG: RDD,NEWCASTLE UNIVERSITY,ERS-540756-106593,"74,643.00",Invention for Innovation,NE1 7RU,,,PUBLIC,,GB499672470
,,02/07/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,WRVS,ERS-540784-106601,"35,300.00","IESD 2013-14, AIMS 2562171, Royal Voluntary Service: From NHS Trust Hospitals to community care: Led by volunteers",CF23 8RP,,,VCS,,GB625772523
,,03/07/2015,Additions Other loans,DG: SFNHS,NHS PROPERTY SERVICES LTD,NHSPS LOAN3/7/15,"15,000,000.00",,SE1 6LH,,,PUBLIC,,
,,03/07/2015,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00379469RI,"34,724.98",,SO53 3YE,,,LARGE,,GB188414046
,,03/07/2015,Service charge,DG: IGT,BT GROUP PLC,362237,"145,810.17","Revenue: 2015/16 SCR BT - CCN802 Provision of business critical Initial Upload and message volume reports	 ",NW9 5BA,,,LARGE,,GB245719348
