Department,Entity,Date,Expense type,Expense Area,Supplier Name,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Number,Expenditure type,
Defra,Animal Health and Veterinary Laboratories Agency,23/04/2012,Sub Contracts,Research Programmes,Animal Health,361730,"£26,001.75",Research studies: Validation of new serology tests for bovine TB in cattle,YO1 7PX,Large,700538,SE3263,Programme,
Defra,Animal Health and Veterinary Laboratories Agency,10/04/2012,Sub Contracts,Commercial,ADAS Consulting Ltd,379018,"£40,492.00",Broiler coccidiosis studies,WV6 8TQ,Large,701247,KN0002,Programme,
Defra,Animal Health and Veterinary Laboratories Agency,10/04/2012,Sub Contracts,Research Programmes,ADAS Consulting Ltd,379019,"£30,815.00",Research Studies: Detection of scrapie in environmental samples within a penned environment ,WV6 8TQ,Large,700544,SE1863,Programme,
Defra,Animal Health and Veterinary Laboratories Agency,30/04/2012,ED Accommodation Costs,Corporate - Accommodation,DTZ,379439,"£992,650.74",Accommodation charges for Weybridge farms,B4 6AJ,Large,,ZZZ0000,Administrative,
Defra,Animal Health and Veterinary Laboratories Agency,17/04/2012,Publications,CPCU - Corporate,Thomson Reuters (Scientific) Inc.,379728,"£27,502.15",Licence for journal access,,Large,,ZZZ0000,Administrative,
Defra,Animal Health and Veterinary Laboratories Agency,23/04/2012,Consultancy IT - Other,Corporate - IT,Specialist Computer Centres plc,379998,"£28,025.48",Additional work on Sharepoint Work Packages,B11 2LE,Large,134567,ZZZ0000,Administrative,
Defra,Animal Health and Veterinary Laboratories Agency,23/04/2012,Sub Contracts,Research Programmes,ADAS Consulting Ltd,380059,"£39,583.33",Research Studies: Maintenance of a TSE-free flock,WV6 8TQ,Large,701268,SE1931,Programme,
Defra,Animal Health and Veterinary Laboratories Agency,19/04/2012,Project Misc Expend,Surveillance Programmes,DX Network Services Ltd,380281,"£25,804.10",Movement of samples for the fallen stock project,SL0 9JQ,Large,133525,TS5902,Programme,
Defra,Animal Health and Veterinary Laboratories Agency,19/04/2012,IT Service Contracts >= 5000,Corporate - IT,2e2 Services,380282,"£53,820.80",Annual maintenance and support for IT hardware,RG19 4QB,SME,134787,ZZZ0000,Administrative,
Defra,Animal Health and Veterinary Laboratories Agency,30/04/2012,ED Accommodation Costs,Corporate - Accommodation,DTZ,380565,"£1,001,036.23",Accommodation charges for Weybridge farms,B4 6AJ,Large,,ZZZ0000,Administrative,
Defra,Animal Health and Veterinary Laboratories Agency,30/04/2012,ED Accommodation Costs,Corporate - Accommodation,DTZ,380568,"£50,944.98",Accommodation charges for Penrith,B4 6AJ,Large,,ZZZ0000,Administrative,
Defra,Animal Health and Veterinary Laboratories Agency,30/04/2012,ED Accommodation Costs,Corporate - Accommodation,DTZ,380576,"£39,078.52",Accommodation charges for Luddington,B4 6AJ,Large,,ZZZ0000,Administrative,
Defra,Animal Health and Veterinary Laboratories Agency,30/04/2012,ED Accommodation Costs,Corporate - Accommodation,DTZ,380581,"£73,919.63",Accommodation charges for Lasswade,B4 6AJ,Large,,ZZZ0000,Administrative,
Defra,Animal Health and Veterinary Laboratories Agency,30/04/2012,ED Accommodation Costs,Corporate - Accommodation,DTZ,380883,"£39,552.19",Accommodation charges for Weybridge farms,B4 6AJ,Large,,ZZZ0000,Administrative,
DEFRA,Animal Health and Veterinary Laboratories Agency,30/04/2012,LVI Claims,Chief Operating Officer DG,WESTPOINT VET GROUP LTD~850620743,LVI149924,"£27,719.53",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,RH12 3SH,SME,,00000000,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,30/04/2012,LVI Claims,Chief Operating Officer DG,CASTLE VETERINARY GROUP LTD~807674214,LVI149905,"£38,642.11",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,PL15 7ED,SME,,00000000,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,26/04/2012,Travel UK,Chief Operating Officer DG,Redfern Travel Ltd,032618,"£36,965.88",Payment of the monthly invoice for provision of air and rail bookings to Redfern Travel Ltd,BD1 3AZ,SME,,00000000,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,26/04/2012,Hard charges,Chief Operating Officer DG,D T Z,29592,"£81,471.38",2011-12 Quarter 4 Accommodation Expenditure for the Temple Quays site in Bristol,B4 6HT,,,HARDESTA,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,26/04/2012,Hard charges,Chief Operating Officer DG,D T Z,34804,"£31,838.73",2011-12 Quarter 4 Accommodation Expenditure for the Temple Quays site in Bristol,B4 6HT,,,HARDESTA,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,26/04/2012,Hard charges,Chief Operating Officer DG,D T Z,34832,"£34,694.85",2011-12 Quarter 4 Accommodation Expenditure for the Beeches Road site in Chelmsford,B4 6HT,,,HARDESTA,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,26/04/2012,Hard charges,Chief Operating Officer DG,D T Z,34908,"£59,217.77",2011-12 Quarter 4 Accommodation Expenditure for the Clyst House site in Exeter,B4 6HT,,,HARDESTA,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,26/04/2012,Hard charges,Chief Operating Officer DG,D T Z,34941,"£66,963.08",2011-12 Quarter 4 Accommodation Expenditure for the Ty Merlin site in Carmarthen,B4 6HT,,,HARDESTA,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,26/04/2012,Hard charges,Chief Operating Officer DG,D T Z,34903,"£80,647.95",2011-12 Quarter 4 Accommodation Expenditure for the Liberty House site in Reigate,B4 6HT,,,HARDESTA,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,26/04/2012,Hard charges,Chief Operating Officer DG,D T Z,34925,"£76,675.68",2011-12 Quarter 4 Accommodation Expenditure for the Barnwood Park site in Gloucester,B4 6HT,,,HARDESTA,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,26/04/2012,Hard charges,Chief Operating Officer DG,D T Z,34945,"£26,479.53",2011-12 Quarter 4 Accommodation Expenditure for the Waterfront site in Newcastle,B4 6HT,,,HARDESTA,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,26/04/2012,Hard charges,Chief Operating Officer DG,D T Z,34900,"£41,175.67",2011-12 Quarter 4 Accommodation Expenditure for the Hadrian House site in Carlisle,B4 6HT,,,HARDESTA,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,26/04/2012,Hard charges,Chief Operating Officer DG,D T Z,34764,"£31,844.08",2011-12 Quarter 4 Accommodation Expenditure for the Sand Hutton site in North Yorkshire,B4 6HT,,,HARDESTA,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,26/04/2012,Hard charges,Chief Operating Officer DG,D T Z,34931,"£39,277.52",2011-12 Quarter 4 Accommodation Expenditure for the Quadrant House site in Newcastle,B4 6HT,,,HARDESTA,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,30/04/2012,Printing & Binding,Chief Operating Officer DG,Promotional Logistics Ltd,OPI124697,"£25,162.27",Payment to Promotional Logistics for printing and distributing automated TB notices ,CO10 2XG,SME,,00000000,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,10/04/2012,Other Current Payments (GB),Chief Operating Officer DG,Veterinary Laboratories Agency,3000006841,"£50,000.00",Payment to the Veterinary Laboratories Agency for carrying out post mortems on identified welfare cases to assist in potential court cases against the animal owner,KT15 3NB,,,00000000,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,26/04/2012,Emergency Vaccinations,Chief Operating Officer DG,Genus Breeding Ltd.,21094173,"£44,123.40",Contingency contract for provision of livestock vaccinations in the event of an outbreak,CW6 9HY,SME,,EMERVACC,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,30/04/2012,LVI Claims,Chief Operating Officer DG,DERBYSHIRE VETERINARY SERVICES LTD~928648871,LVI149954,"£26,288.69",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,DE6 1ES,SME,,00000000,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,30/04/2012,LVI Claims,Chief Operating Officer DG,SOUTH MOOR LTD T/A SOUTHMOOR VETS~141491191,LVI149545,"£31,204.75",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,TQ7 1JL,SME,,00000000,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,30/04/2012,LVI Claims,Chief Operating Officer DG,ST DAVID'S FARM PRACTICE LTD~826206836,LVI149915,"£29,627.63",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,EX8 5AN,SME,,00000000,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,30/04/2012,LVI Claims,Chief Operating Officer DG,TORBRIDGE VETERINARY HOSPITAL/TORB~143028794,LVI149551,"£27,906.25",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,EX39 3DX,SME,,00000000,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,10/04/2012,GPC Card,Central Finance Group,Barclaycard Business Issuing,4715320649058286310312,"£76,804.93",Payment of the monthly Barclaycard invoice for purchase made on the government procurement cards across AHVLA,TS17 6YG,,,00000000,Asset,
DEFRA,Animal Health and Veterinary Laboratories Agency,30/04/2012,Mobile Phones,Central Finance Group,Vodafone Ltd,63023295,"£26,550.98",Payment of the monthly Vodafone bill for mobile telephones,,,,00000000,Asset,
DEFRA,Animal Health and Veterinary Laboratories Agency,30/04/2012,LVI Claims,Chief Operating Officer DG,George Veterinary Group~137680257,LVI149535,"£36,773.99",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,SN16 9AA,SME,,00000000,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,30/04/2012,LVI Claims,Chief Operating Officer DG,TIBBS AND SIMMONS LTD~900711374,LVI149940,"£29,778.98",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,BS40 5TZ,SME,,00000000,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,12/04/2012,Service Level Agreement Costs,Chief Operating Officer DG,Joint Nature Conservation Committee,SIJ652,"£29,859.13",Quarterly payment to the Joint Nature Conservation Committee for advice and guidance to assist AHVLA in issuing Conservation on International Trade in Endangered Species of Wild Fauna and Flora (CITES) licences for endangered species,PE1 1JY,,,JNCCXXXX,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,30/04/2012,LVI ERNIC Suspense,Chief Operating Officer DG,H M Revenue & Customs,270412,"£85,163.24",Payment of National Insurance for Official Veterinarians,BD98 8AA,,,00000000,Liability,
DEFRA,Animal Health and Veterinary Laboratories Agency,30/04/2012,LVI Claims,Chief Operating Officer DG,Penbode Veterinary Group~143290584,LVI149555,"£57,269.71",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,EX22 6HB,SME,,00000000,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,30/04/2012,LVI Claims,Chief Operating Officer DG,MARKET HALL VETERINARY GROUP~869595055,LVI149929,"£32,285.48",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,SA33 4DY,SME,,00000000,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,02/04/2012,LVI ERNIC Suspense,Chief Operating Officer DG,H M Revenue & Customs,280312,"£76,491.21",Payment of National Insurance for Official Veterinarians,BD98 8AA,,,00000000,Liability,
DEFRA,Animal Health and Veterinary Laboratories Agency,30/04/2012,LVI Claims,Chief Operating Officer DG,The Vale Veterinary Group~141003340,LVI149541,"£33,378.60",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,EX16 4LF,SME,,00000000,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,30/04/2012,LVI Claims,Chief Operating Officer DG,MILFEDDYGON DOLGELLAU CYF~161477853,LVI149578,"£26,210.04",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,LL40 2YF,,,00000000,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,30/04/2012,LVI Claims,Chief Operating Officer DG,BODRWNSIWN VET GROUP~352416963,LVI149768,"£25,695.30",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,LL65 4RJ,SME,,00000000,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,30/04/2012,LVI Claims,Chief Operating Officer DG,Fenton Veterinary Practice~122901407,LVI149498,"£28,748.19",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,SA61 1BN,SME,,00000000,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,30/04/2012,LVI Claims,Chief Operating Officer DG,MILFEDDYGON Y WERN/  WERN VETERINAR~159252551,LVI149572,"£52,920.97",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,LL15 ITG,SME,,00000000,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,30/04/2012,LVI Claims,Chief Operating Officer DG,Milfeddygon Deufor~401424509,LVI149786,"£34,928.43",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,LL53 6SH,SME,,00000000,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,30/04/2012,LVI Claims,Chief Operating Officer DG,FRIARS MOOR VETERINARY CLINIC~185442352,LVI149609,"£28,220.32",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,DT10 1BH,SME,,00000000,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,30/04/2012,LVI Claims,Chief Operating Officer DG,Moorland Veterinary Centre~278675204,LVI149714,"£29,267.15",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,ST13 6AS,SME,,00000000,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,30/04/2012,LVI Claims,Chief Operating Officer DG,XL FARMCARE WEST MIDLANDS LTD~114213469,LVI149481,"£128,498.67",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,ST14 8EB,SME,,00000000,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,30/04/2012,LVI Claims,Chief Operating Officer DG,BELMONT VETERINARY CENTRE LTD~134086385,LVI149529,"£32,441.20",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,HR2 7JS,SME,,00000000,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,30/04/2012,LVI Claims,Chief Operating Officer DG,SYNERGY FARM HEALTH LTD~979392255,LVI149975,"£62,174.88",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,DT2 0LD,SME,,00000000,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,30/04/2012,LVI Claims,Chief Operating Officer DG,FARMVETS SOUTHWEST LTD~319585037,LVI149746,"£30,505.00",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,TA6 6DF,SME,,00000000,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,30/04/2012,LVI Claims,Chief Operating Officer DG,PRIORY VETERINARY LTD.~122926971,LVI149499,"£34,842.87",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,SA43 1QR,SME,,00000000,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,02/04/2012,Service Level Agreement Costs,,Food Standards Agency,1701435,"£45,304.94",Payment to Food Standards Agency for sampling and submission of TB reactor cattle in contracted slaughterhouses.,YO1 2YX,,,AHFSATBS,Expense,
DEFRA,Animal Health and Veterinary Laboratories Agency,30/04/2012,Service Level Agreement Costs,,Food Standards Agency,1701466,"£36,637.34",Payment to Food Standards Agency for sampling and submission of TB reactor cattle in contracted slaughterhouses.,YO1 2YX,,,AHFSATBS,Expense,
