2011 CMIR 7 - TRANSPARENCY REPORT,,,,,,,
Month: May 2011,,,,,,,
QCDA Spend May 2011,,,,,,,
Dept.,Entity,Date,OGC Master Category,Project code,Supplier,Transaction Number,Payment Value
Dept. for Education,QCDA,10/05/2011,Professional Services Other,Corporate Services,Beachcroft LLP,PBAC/00133331,"£36,194.88"
Dept. for Education,QCDA,17/05/2011,Professional Services Temporary Staff,Test Delivery Operations Programme,BSS,PBAC/00133438,"£48,366.22"
Dept. for Education,QCDA,12/05/2011,Facilities,Corporate Services,City of Westminister,PCREDT/00001016,"-£124,282.20"
Dept. for Education,QCDA,27/05/2011,N/A,Corporate Services,Civil Superannuation Vote,PRFT/00001545,"£240,333.79"
Dept. for Education,QCDA,27/05/2011,N/A,Corporate Services,Contributions Agency,PRFT/00001544,"£166,771.38"
Dept. for Education,QCDA,26/05/2011,ICT,Corporate Services,Energis Comm (Cable & Wireless),PCREDT/00001017,"-£63,944.96"
Dept. for Education,QCDA,10/05/2011,Logistics,Test Delivery Operations Programme,Granby Marketing,PBAC/00133330,"£375,759.00"
Dept. for Education,QCDA,17/05/2011,Professional Services Temporary Staff,Corporate Services,Hays Personnel Services Ltd,PBAC/00133410,"£34,476.00"
Dept. for Education,QCDA,27/05/2011,N/A,Corporate Services,Inland Revenue Only,PRFT/00001542,"£211,620.07"
Dept. for Education,QCDA,27/05/2011,Professional Services - Financial Services,Corporate Services,National Audit Office,PRFT/00001543,"£28,500.00"
Dept. for Education,QCDA,26/05/2011,Logistics,General Qualifications Programme,Parcelforce Worldwide,PBAC/00133516,"£60,753.12"
Dept. for Education,QCDA,10/05/2011,Professional Services Learning & Development,Test Delivery Operations Programme,Pearson-Edexcel Ltd,PBAC/00133339,"£2,200,000.00"
Dept. for Education,QCDA,10/05/2011,Professional Services Temporary Staff,Corporate Services,PENNA PLC,PBAC/00133334,"£158,309.54"
Dept. for Education,QCDA,26/05/2011,Facilities,Corporate Services,SGP Property & Facilities Management Ltd,PBAC/00133544,"£103,452.27"
Dept. for Education,QCDA,17/05/2011,Facilities,Corporate Services,SGP Property & Facilities Management Ltd,PBAC/00133426,"£40,868.06"
Dept. for Education,QCDA,26/05/2011,Facilities,Corporate Services,SGP Property & Facilities Management Ltd,POCRDT/00000607,"-£37,815.26"
Dept. for Education,QCDA,10/05/2011,Facilities,Corporate Services,SGP Property & Facilities Management Ltd,PBAC/00133366,"£25,586.75"
Dept. for Education,QCDA,23/05/2011,ICT,Corporate Services,Steria Services Ltd ,PBAC/00133485,"£299,629.44"
Dept. for Education,QCDA,17/05/2011,ICT,Corporate Services,Steria Services Ltd ,PBAC/00133417,"£53,184.55"
Dept. for Education,QCDA,10/05/2011,ICT,Corporate Services,Vodafone Business Solutions Ltd,PBAC/00133338,"£26,447.46"
,,,,,,,
QCDAe spend May 2011,,,,,,,
2011 CMIR 7e - TRANSPARENCY REPORT,,,,,,,
Month: May 2011,,,,,,,
,,,,,,,
Dept.,Entity,Date,OGC Master Category,Project code,Supplier,Transaction Number, Payment Value 
Dept. for Education,QCDA(E),04/05/2011,Office Solutions,Test Delivery Operations Programme,Elliott Baxter & Company Limited,QPIN/00001097,"427,476.97"
