Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Expenditure Type
Cabinet Office,CABINET OFFICE,03/12/12,IT Costs,GOVERNMENT DIGITAL SERVICE,CANTOR & BALL LTD,3000031353,"30,000.00",Development services,SE1 0BU,SME,Programme
Cabinet Office,CABINET OFFICE,03/12/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,COOPERATION IRELAND,3000031333,"42,059.00",National Citizen Service project grant ,BT12 5GH,SME,Grants
Cabinet Office,CABINET OFFICE,03/12/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,COMMUNITY FOUNDATION NETWORK,3000031343,"82,500.00",Strategic partners transition grant ,N1 9HS,Large,Grants
Cabinet Office,CABINET OFFICE,03/12/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE LINCOLNSHIRE & RUTLAND EBP,3000031350,"155,462.00",National Citizen Service project grant,LN2 4WH,SME,Grants
Cabinet Office,CABINET OFFICE,04/12/12,Supplies and Services,HONOURS AND APPOINTMENTS,THE TREASURER TO THE QUEEN,3000031368,"71,911.00",Central Chancery charges for administration of Honours,SW1A 1AA,Government Department,Programme
Cabinet Office,CABINET OFFICE,05/12/12,Supplies and Services,CENTRAL BUDGETS,TELEPERFORMANCE LTD,3000031415,"44,031.40",Storage Costs,BS1 3LG,Large,Admin
Cabinet Office,CABINET OFFICE,05/12/12,IT Costs,HUMAN RESOURCES,DWP,3000031413,"99,307.00",Resource Management software development,FY5 3TA,Government Department,Admin
Cabinet Office,CABINET OFFICE,06/12/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,NATIONAL YOUTH AGENCY,3000031429,"30,166.00",National Citizen Service project grant ,LE5 3GL,SME,Grants
Cabinet Office,CABINET OFFICE,06/12/12,Supplies and Services,PARLIAMENTARY COUNSEL OFFICE,LEXIS NEXIS BUTTERWORTHS,3000031430,"32,859.15",Purchase of legal publications,CR9 5AF,Large,Admin
Cabinet Office,CABINET OFFICE,06/12/12,Supplies and Services,INTELLIGENCE SECURITY AND RESILIENCE,CYBER SECURITY CHALLENGE UK LTD,3000031423,"45,000.00",Get Safe On Line campaign,HP9 2YX,SME,Programme
Cabinet Office,CABINET OFFICE,06/12/12,Other Staff Related Costs,OFFICE FOR CIVIL SOCIETY,THE CHALLENGE NETWORK,3000031436,"3,899,869.00",National Citizen Service contract ,SE1 7HS,SME,Programme
Cabinet Office,CABINET OFFICE,07/12/12,IT Costs,GOVERNMENT DIGITAL SERVICE,SKYSCAPE CLOUD LTD,3000031465,"40,109.81",Cost for hosting GOV.UK,GU14 0LX,SME,Programme
