Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Expenditure Type,
Cabinet Office,Cabinet Office,03/01/12,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000021731,"81,164.76",Facilities Management Services,BN1 1HQ,Large,Administration,
Cabinet Office,Cabinet Office,04/01/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,COMMUNITY DEVELOPMENT FOUNDATION,3000021741,"2,919,750.00",Community First grants,EC1V 2PT,SME,Grants,
Cabinet Office,Government Procurement Service,04/01/12,GSI COS,Network Services,CESG,PINDOH 33835,"46,833.00",Security costs for government secure intranet,GL51 0EX,Gov Dept,Programme,
Cabinet Office,Government Procurement Service,04/01/12,Moves & Changes,Network Services,Siemens,PINDOH 33867,"1,015,115.00",Government managed telecoms contract,MK15 0DJ,Large,Programme,
Cabinet Office,Cabinet Office,06/01/12,Consultancy,SCHEME MANAGEMENT EXECUTIVE,AON HEWITT,3000021823,"55,305.06",Professional services,KT8 5BS,Large,Administration,
Cabinet Office,Cabinet Office,06/01/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000021785,"26,326.26","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice",SL6 1DP,Large,Programme,
Cabinet Office,Cabinet Office,06/01/12,IT Costs,GOVERNMENT DIGITAL SERVICE,CIMEX MEDIA LTD,3000021787,"37,343.86",Support and maintenance of the Directgov Mobile site,EC2A 4PJ,SME,Programme,
Cabinet Office,Cabinet Office,06/01/12,IT Costs,GOVERNMENT DIGITAL SERVICE,STERIA LTD,3000021804,"976,174.71",Hosting and maintenance of the Directgov website,HP2 7AH,Large,Programme,
Cabinet Office,Cabinet Office,06/01/12,Supplies and Services,KNOWLEDGE AND INFORMATION MANAGEMENT,THE COPYRIGHT LICENSING AGENCY LTD,1000473,"26,474.43",Licence for 2010/11,EC1N 8TS,SME,Administration,
Cabinet Office,Cabinet Office,06/01/12,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000021806,"151,229.10",Capitation costs and legal fees,WC2B 4TS,Large,Administration,
Cabinet Office,Cabinet Office,09/01/12,Accommodation and Utilities,PRIME MINISTERS OFFICE,BT,3000021826,"50,620.05",Telecomms line rentals,DH98 1BT,Large,Administration,
Cabinet Office,Cabinet Office,09/01/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000021829,"33,844.50","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Programme,
Cabinet Office,Cabinet Office,09/01/12,Accommodation and Utilities,GOVERNMENT DIGITAL SERVICE,COI CENTRAL OFFICE OF INFORMATION,3000021832,"47,367.00",Quarterly Business Rates charge on accommodation,SE1 7DU,Large,Programme,
Cabinet Office,Cabinet Office,09/01/12,Accommodation and Utilities,GOVERNMENT DIGITAL SERVICE,COI CENTRAL OFFICE OF INFORMATION,3000021832,"80,896.80",Quarterly service charge on accommodation,SE1 7DU,Large,Programme,
