Department,Entity,Date,Expense type,Expense Area,Supplier Name,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Number,Expenditure type
DEFRA,RPA,30/04/2012,IT Outsourced Services,Programmes & Projects,Accenture,3003180760,"Ł836,820.00",ICT Managed Service Charges ,EC3M 3BD,No,64175,SPSS0110,Admin
DEFRA,RPA,30/04/2012,IT Outsourced Services,Service Management,Accenture,3003180761,"Ł836,820.00",ICT Managed Service Charges,EC3M 3BD,No,64175,PPS03700,Admin
DEFRA,RPA,20/04/2012,Printing,Managed Document Services,Adare,IS1201229,"Ł63,251.60",Scheme Payments 2012 Application Forms,HD8 9QQ,No,63966,MDSSPS01,Admin
DEFRA,RPA,24/04/2012,Downtream Access Mailing,Managed Document Services,Adare,IS1201230,"Ł27,480.00",Mailing Costs,HD8 9QQ,No,63966,MDSSPS01,Admin
DEFRA,RPA,04/04/2012,Various,Various,Barclaycard,April Transactions,"Ł26,257.19",Government Procurement Card Expenditure,TS17 6YG,,N/A,N/A,Admin
DEFRA,RPA,20/04/2012,IT Outsourced Services,Service Management,Cable & Wireless,UK13070379/UK10/042012/9044,"Ł30,177.48",Monthly PBX Maintenance Charges for all RPA Locations,RG12 1XL,,64133,TLMS0160,Admin
DEFRA,RPA,20/04/2012,IT Licences,Service Management,Computacenter,3803877935,"Ł223,600.00",Symantec Security Software Support,AL10 9TW,,64104,N/A,Admin
DEFRA,RPA,03/04/2012,IT Outsourced Services,Service Management,Defra,1000014301,"Ł142,005.83",2011-2012 Government Gateway,YO1 7PX,,63662,COMS0150,Admin
DEFRA,RPA,03/04/2012,IT Outsourced Services,Service Management,Defra,1000014301,"Ł28,401.17",2011-2012 Government Gateway,YO1 7PX,,63662,COMS0150,
DEFRA,RPA,03/04/2012,IT Outsourced Services,Service Management,Defra,1000014302,"Ł108,333.33",2011-2012 Single Payment Scheme Applications Licences,YO1 7PX,,63663,SPSH0120,Admin
DEFRA,RPA,12/04/2012,IT Outsourced Services,Service Management,DSGi Business,11329797,"Ł63,195.00",Monthly ICT Managed Service Charges,BL9 7BJ,,64069,OFF0125,Admin
DEFRA,RPA,20/04/2012,Rates,Sustainable Workplace Management,DTZ,34934,"Ł79,563.75",Sustainable Workplace Management,B4 6AJ,,63799,N/A,Admin
DEFRA,RPA,20/04/2012,Fuel & Utilities,Sustainable Workplace Management,DTZ,34934,"Ł44,278.45",Sustainable Workplace Management,B4 6AJ,,63799,N/A,
DEFRA,RPA,20/04/2012,Rent,Sustainable Workplace Management,DTZ,34934,"Ł325,000.00",Sustainable Workplace Management,B4 6AJ,,63799,N/A,
DEFRA,RPA,20/04/2012,Rates,Sustainable Workplace Management,DTZ,34938,"Ł58,682.33",Sustainable Workplace Management,B4 6AJ,,63803,N/A,
DEFRA,RPA,24/04/2012,Maintenance & FM Service,Sustainable Workplace Management,DTZ,33924,"Ł27,080.09",Sustainable Workplace Management,B4 6AJ,,63803,N/A,Admin
