Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number, Amount ,Description,Supplier postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
DEFRA,EA,29/03/2012,ICT,HO Capital WiP | HO 1B1S Service Centre Team | CI SD Management MRA | CI Solutions Delivery Management | National Accomodation Change Fund | CI Infrastructure Change Programme MRA | HO Flood Warning Systems | HO Met Office Joint Venture Manager | E and B Regulated Industry | E and B Land and Water | CIS Capital WiP | CI Innovation Architecture | CI SP MRA | CI Customer Services and Solutions | ,Capgemini UK Plc,1061361," £34,447,490.46 ",IT Service Procurement Outsource service charge and work order costs.  ,GU21 6DB,,30259319 | 30295016 | 30259320 | 30259316 | 30304723 | 30282611,IMNE430009 |  | CIS330899 | EBCRI11502L01 | REAN001298 | CIS161238 | CIS3306199 |  | HOOP000105 |  | HORES00023 | HORES00057 | HORES00020 | HORES00060 | HORES00055 | BBPDM20021L01 | EBPRI11005L01 | EBPLW11020L02 | CIS111923 | CIS330924 | EBPLW11005L01 | CIS330897 |  | BBPDM20000L08 |  | FCPAM00006L01 | CIS3302978 |  | CIS330995 | CIS3302979 | CIS3302972 | CIS330348 | CIS330772 |  | BBXXX20002L03 |  | HORES00103 | BBPDM20000L04 | EBORI40002L01 | BBPDM20024L01 | BBXXX20004L01 | EBOLW40008L02 | FCPIM00032L01 | CIS330352 | CIS330429 |  |  |  | BBXXX20005L01 |  |  | CIS3302981 | HOOP000145 |  | CIS330598 |  |  | IMSO001264 | EBORI40002L02 |  | HOEV101103 | FCPAM00005L01 | FCOIM40015L01 |  | FROIM40020P01 |  |  |  |  |  |  |  |  | HORES00046 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,Project
DEFRA,EA,20/03/2012,ICT,HO Capital WiP | CI SD Management MRA | CI Solutions Delivery Management | National Accomodation Change Fund | Incident Management Manager | CI Infrastructure Change Programme MRA | CI Customer Services and Solutions | CI SP MRA | ,Capgemini UK Plc,1052048," £8,326,367.22 ",IT Service Procurement Outsource service charge and work order costs.  ,GU21 6DB,,30259319 | 30295016 | 30259320 | 30259316 | 30304723 | 30282611,CIS330352 |  | BBXXX20002L03 | REAN001298 | FCPMM00050L01 | BBPDM20000L13 | HORES00020 | HORES00103 | CIS111923 | CIS3306199 | CIS330296 | CIS330348 | BBPDM20000L26 | CIS330899 | EBCRI11502L01 | FCPIM00032L01 | HORES00057 | HORES00055 | CIS3302972 |  | FCPAM00005L01 |  | FCPIM00033L01 | CIS161238 | BBPDM20024L01 |  | FCRM-IM008 | CIS330897 |  |  |  | EBOLW40008L02 |  |  |  |  | ,Project
DEFRA,EA,27/03/2012,ICT,HO Capital WiP | CI SD Management MRA | National Accomodation Change Fund | CI ITXpress Business | CIS Capital WiP | CI Infrastructure Change Programme MRA | SE Regional Flood & Coastal Risk Manager | CI Solutions Delivery Management | ,Capgemini UK Plc,1044994," £6,144,478.17 ",IT Service Procurement Outsource service charge and work order costs.  ,GU21 6DB,,30259319 | 30295016 | 30259320 | 30282611 | 30304723 | 30259316,CIS330352 | IMNE430009 |  | EBCRI11502L01 | REAN001298 | HORES00023 |  | CIS111923 | HORES00057 | HORES00020 | CIS3306199 | HORES00103 | FCPMM00050L03 | RETH000544 | FCPAM00005L01 |  | CIS330899 | BBPDM20021L01 |  | EBOCC40005L01 | FCPIM00020L01 |  | HORES00073 |  | CIS330924 |  |  | ,Project
DEFRA,EA,27/03/2012,Vehicles,Balance Sheet Codes,Hitachi Capital Vehicle Solutions Ltd,1050703," £2,307,560.56 ",Supply of Lease Cars - Service Inspection Maintenance and Repair 2011/2012,RG14 2NU,,30000281,,Administration
DEFRA,EA,20/03/2012,Professional Services Other,WA Water and Environment,Welsh Water,1056940," £1,836,534.90 ",Reservoir Operating Agreement for the period 1.1.2012 to 31.3.12.  ,CF3 9WL,,,,Project
DEFRA,EA,27/03/2012,Professional Services Other,AN Capital WiP,Birketts LLP Client Account,1060599," £1,537,252.63 ",Ouse washes habitat creation project - Purchase of land,IP1 1HZ,,N/A,N/A,Project
DEFRA,EA,22/03/2012,Construction,SE Capital WiP,Team Van Oord,1054793," £1,437,584.98 ",Medmerry Managed Realignment,RG14 5QS,,30142735,IMSO001023,Project
DEFRA,EA,30/03/2012,Construction,NE Capital WiP,Birse Civils Ltd,1058082," £1,262,114.66 ",Redcar Flood alleviation scheme,DN18 5BW,,30142670,IMNE000524,Project
DEFRA,EA,29/03/2012,Construction,SE Capital WiP,Jackson Civil Engineering Ltd,1054425," £1,038,644.35 ",Rye Harbour western training walls certificate No 2,IP1 5LT,,30142731,IMSO001286,Project
DEFRA,EA,29/03/2012,Construction,AN Capital WiP,Birse Civils Ltd,1052845," £1,028,271.07 ",C2552 Lincshore Beach Renourishment 2012,DN18 5BW,,30142670,IMAN001844,Project
DEFRA,EA,15/03/2012,Construction,SE Capital WiP,Team Van Oord,1055092," £995,415.08 ",Pevensey coastal outfalls assessment No 6,RG14 5QS,,30142735,IMSO000737,Project
DEFRA,EA,20/03/2012,Environmental Services ,Incident Management Manager,Met Office,1055898," £995,000.00 ",Weather Radar Network Renewal,EX1 3PB,,,FCPIM00015B00,Administration
DEFRA,EA,29/03/2012,Construction,MI Capital WiP,Jackson Civil Engineering Ltd,1053566," £984,725.78 ",Nottingham Leftbank Flood alleviation scheme Attenborough works,IP1 5LT,,30142731,IMMI000642,Project
DEFRA,EA,15/03/2012,Construction,WA Capital WiP | ,Birse Civils Ltd,1060573," £857,631.22 ",Newport Flood alleviation scheme  ,LS24 9BX,,40015267,IMWA000754,Project
DEFRA,EA,20/03/2012,Construction,NE Capital WiP,Birse Civils Ltd,1045631," £799,364.53 ",Redcar Flood Allevation Scheme,DN18 5BW,,30142670,IMNE000524,Project
DEFRA,EA,15/03/2012,Construction,AN Capital WiP,Interserve Construction Ltd,1058575," £790,456.76 ",Recondition Local Levy,TQ14 0HP,,30142730,IMAN002372,Project
DEFRA,EA,20/03/2012,Facilities,FM Operating Unit - Central and South West | ,Bristol City Council,1057327," £590,820.00 ",Rates Horizon House 2012/13,BS1 5TR,,,,Administration
DEFRA,EA,15/03/2012,Construction,SW Capital WiP,Interserve Construction Ltd,1059492," £588,488.02 ",Truro Tidal Defences Phase 3 construct a new 300m long sheet piled wall,TQ14 0HP,,30142730,IMSW001669,Project
DEFRA,EA,01/03/2012,Construction,NW Capital WiP,Volkerstevin Ltd,1053418," £578,395.52 ",Keswick Flood Risk Management.,EN11 9BX,,30142737,IMNW000686,Project
DEFRA,EA,15/03/2012,Construction,MI Capital WiP | ,Galliford Try Infrastructure Ltd,1052110," £548,210.75 ",Upton Upon Severn Flood alleviation scheme,LE10 3JF,,30142734,IMMI000870,Project
