EXAMPLES OF GPC EXPENDITURE,,,,,
,,,,,
MODGPC136245,01-Feb-16,Books and Periodicals              , BOOK STORES,2844,136245
MODGPC136246,01-Feb-16,Print and Advertising              , MISC PUBLISHING & PRINTING,723,136246
MODGPC136247,10-Feb-16,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,757.77,136247
MODGPC136248,08-Feb-16,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,995.76,136248
MODGPC136249,02-Feb-16,Medical Supplies and Services      ," LABORATORY, MEDICAL AND HOSPITAL EQUIPMENT",502.1,136249
MODGPC136250,17-Feb-16,Professional Services              , ARCHITECTURAL/ENG/SURVEY,540,136250
MODGPC136251,17-Feb-16,Professional Services              , ARCHITECTURAL/ENG/SURVEY,600,136251
MODGPC136252,18-Feb-16,Professional Services              , ARCHITECTURAL/ENG/SURVEY,1440,136252
MODGPC136253,23-Feb-16,Professional Services              , ARCHITECTURAL/ENG/SURVEY,1700,136253
MODGPC136254,29-Feb-16,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,540,136254
MODGPC136255,26-Feb-16,Miscellaneous Industrial/Commercial, DURABLE GOODS - DEFAULT,681.32,136255
MODGPC136256,12-Feb-16,General Retail and Wholesale       , VARIETY STORES,4860,136256
MODGPC136257,26-Feb-16,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,1376.09,136257
MODGPC136258,26-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,1396.54,136258
MODGPC136259,27-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,509.5,136259
MODGPC136260,26-Feb-16,Eating Places/Restaurants, RESTAURANTS,1496.64,136260
MODGPC136261,27-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,651.76,136261
MODGPC136262,25-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,843.12,136262
MODGPC136263,27-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,4803.59,136263
MODGPC136264,27-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,503.82,136264
MODGPC136265,27-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,588.19,136265
MODGPC136266,26-Feb-16,Wholesale Clubs, WHOLESALE CLUBS,1165.96,136266
MODGPC136267,26-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,504.26,136267
MODGPC136268,26-Feb-16,Advertising Services, ADVERTISING SERVICES,10635,136268
MODGPC136269,26-Feb-16,Lab/Med/Hospital Equipment," LABORATORY, MEDICAL AND HOSPITAL EQUIPMENT",4934.48,136269
MODGPC136270,26-Feb-16,Shoe Repair/Shine/Hat Clean, SHOE REPAIR/SHINE/HAT CLEAN,1137.95,136270
MODGPC136271,26-Feb-16,Commercial Furniture, COMMERCIAL FURNITURE,880.8,136271
MODGPC136272,25-Feb-16,Household Appliance Stores, HOUSEHOLD APPLIANCE STORES,1334.98,136272
MODGPC136273,25-Feb-16,Auto Body Repair Shops, AUTO BODY REPAIR SHOPS,1332.11,136273
MODGPC136274,25-Feb-16,Automotive Parts Stores, AUTOMOTIVE PARTS STORES,923.57,136274
MODGPC136275,25-Feb-16,Automotive Parts Stores, AUTOMOTIVE PARTS STORES,873.08,136275
MODGPC136276,25-Feb-16,Automotive Parts Stores, AUTOMOTIVE PARTS STORES,1256.13,136276
MODGPC136277,26-Feb-16,Misc Speciality Retail, MISC SPECIALTY RETAIL,2012,136277
MODGPC136278,26-Feb-16,Misc Speciality Retail, MISC SPECIALTY RETAIL,3464,136278
MODGPC136279,26-Feb-16,Local Commuter Transport, LOCAL COMMUTER TRANSPORT,595.02,136279
MODGPC136280,25-Feb-16,Lumber/Build. Supply Stores, LUMBER/BUILD. SUPPLY STORES,1624.27,136280
MODGPC136281,28-Feb-16,Holiday Inn, HOLIDAY INN,540,136281
MODGPC136282,26-Feb-16,Business Services - Default, BUSINESS SERVICES - DEFAULT,549.81,136282
MODGPC136283,22-Feb-16,Book Stores, BOOK STORES,657,136283
MODGPC136284,26-Feb-16,Sporting Goods Stores, SPORTING GOODS STORES,599.76,136284
MODGPC136285,26-Feb-16,Household Appliance Stores, HOUSEHOLD APPLIANCE STORES,1440,136285
MODGPC136286,26-Feb-16,Professional Services - Def, PROFESSIONAL SERVICES - DEF,750,136286
MODGPC136287,26-Feb-16,Schools - Default, SCHOOLS - DEFAULT,3541.5,136287
MODGPC136288,28-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,631.55,136288
MODGPC136289,26-Feb-16,Govt Serv - Default, GOV'T SERV - DEFAULT,687.6,136289
MODGPC136290,26-Feb-16,Sporting Goods Stores, SPORTING GOODS STORES,1340.85,136290
MODGPC136291,26-Feb-16,Commercial Furniture, COMMERCIAL FURNITURE,583.22,136291
MODGPC136292,26-Feb-16,Industrial Supplies - Def, INDUSTRIAL SUPPLIES - DEF,1168.2,136292
MODGPC136293,26-Feb-16,Phone Serv/Equip Non-Util, TELECOMMUNICATION EQUIPMENT,8544,136293
MODGPC136294,26-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,2689,136294
MODGPC136295,26-Feb-16,Business Services - Default, BUSINESS SERVICES - DEFAULT,1111,136295
MODGPC136296,26-Feb-16,Misc Speciality Retail, MISC SPECIALTY RETAIL,623.99,136296
MODGPC136297,27-Feb-16,Marriott, MARRIOTT,763.79,136297
MODGPC136298,27-Feb-16,Marriott, MARRIOTT,763.79,136298
MODGPC136299,26-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,588.5,136299
MODGPC136300,27-Feb-16,Automobile Rental Agency, AUTOMOBILE RENTAL AGENCY,1255.42,136300
MODGPC136301,26-Feb-16,Moevenpick Hotels, MOVENPICK HOTELS,1386.2,136301
MODGPC136302,26-Feb-16,Ramada Inn, RAMADA INN,849.87,136302
MODGPC136303,27-Feb-16,Marriott, MARRIOTT,763.79,136303
MODGPC136304,27-Feb-16,Marriott, MARRIOTT,763.79,136304
MODGPC136305,27-Feb-16,Marriott, MARRIOTT,763.79,136305
MODGPC136306,26-Feb-16,Enterprise Rent-A-Car, ENTERPRISE RENT-A-CAR,943.78,136306
MODGPC136307,26-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,2160,136307
MODGPC136308,26-Feb-16,Equip/Furn Rent/Lease Serv, TOOL HIRE,504.85,136308
MODGPC136309,26-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,646.25,136309
MODGPC136310,26-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,807.82,136310
MODGPC136311,26-Feb-16,Sports/Riding Apparel Store, SPORTS/RIDING APPAREL STORES,796.28,136311
MODGPC136312,26-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,999.94,136312
MODGPC136313,28-Feb-16,Springhill Hotel And Casino, SPRINGHILL SUITES,760.73,136313
MODGPC136314,26-Feb-16,Furniture/Equip Stores, FURNITURE/EQUIP STORES,1989.58,136314
MODGPC136315,26-Feb-16,Govt Serv - Default, GOV'T SERV - DEFAULT,1410.35,136315
MODGPC136316,26-Feb-16,Lumber/Build. Supply Stores, LUMBER/BUILD. SUPPLY STORES,852.33,136316
MODGPC136317,26-Feb-16,Household Appliance Stores, HOUSEHOLD APPLIANCE STORES,2644.81,136317
MODGPC136318,26-Feb-16,Other Direct Marketers, OTHER DIRECT MARKETERS,1976.06,136318
MODGPC136319,27-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,640,136319
MODGPC136320,25-Feb-16,Airports/Fields/Terminals, AIRPORTS/FIELDS/TERMINALS,575.08,136320
MODGPC136321,27-Feb-16,Hilton International, HILTON INTERNATIONAL,1048.86,136321
MODGPC136322,28-Feb-16,Business Services - Default, BUSINESS SERVICES - DEFAULT,1117.85,136322
MODGPC136323,26-Feb-16,Schools - Default, SCHOOLS - DEFAULT,734.35,136323
MODGPC136324,25-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,1383.75,136324
MODGPC136325,26-Feb-16,Moevenpick Hotels, MOVENPICK HOTELS,1418.58,136325
MODGPC136326,25-Feb-16,Service Stations, SERVICE STATIONS,1554.57,136326
MODGPC136327,26-Feb-16,Residence Inn, RESIDENCE INN,2005.94,136327
MODGPC136328,25-Feb-16,Moevenpick Hotels, MOVENPICK HOTELS,1212.8,136328
MODGPC136329,25-Feb-16,Hyatt, HYATT,8534.62,136329
MODGPC136330,27-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,1755.34,136330
MODGPC136331,27-Feb-16,Hilton International, HILTON INTERNATIONAL,1079.71,136331
MODGPC136332,26-Feb-16,Marinas," MARINAS, SERVICE & SUPPLY",5662.31,136332
MODGPC136333,26-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,5369.82,136333
MODGPC136334,28-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,1925,136334
MODGPC136335,27-Feb-16,Other Direct Marketers, OTHER DIRECT MARKETERS,1135.72,136335
MODGPC136336,26-Feb-16,Continuity/Subscription Mercht, CONTINUITY/SUBSCRIPTION MERCHT,3046.6,136336
MODGPC136337,26-Feb-16,Charitable/Soc Service Orgs, CHARITABLE/SOC SERVICE ORGS,600,136337
MODGPC136338,25-Feb-16,Uniforms & Commercial Clothing, UNIFORMS & COMMERCIAL CLOTHING,771.14,136338
MODGPC136339,26-Feb-16,Automotive Parts Stores, AUTOMOTIVE PARTS STORES,873.34,136339
MODGPC136340,26-Feb-16,Charitable/Soc Service Orgs, CHARITABLE/SOC SERVICE ORGS,700,136340
MODGPC136341,26-Feb-16,Uniforms & Commercial Clothing, UNIFORMS & COMMERCIAL CLOTHING,842.4,136341
MODGPC136342,26-Feb-16,Med/Health Services - Def, MED/HEALTH SERVICES - DEF,5100,136342
MODGPC136343,26-Feb-16,Charitable/Soc Service Orgs, CHARITABLE/SOC SERVICE ORGS,800,136343
MODGPC136344,26-Feb-16,Colleges/Univ/Jc/Profession, COLLEGES/UNIV/JC/PROFESSION,2568,136344
MODGPC136345,26-Feb-16,Govt Serv - Default, GOV'T SERV - DEFAULT,1600,136345
MODGPC136346,26-Feb-16,Art Dealers & Galleries, ART DEALERS & GALLERIES,522,136346
MODGPC136347,26-Feb-16,Colleges/Univ/Jc/Profession, COLLEGES/UNIV/JC/PROFESSION,500,136347
MODGPC136348,26-Feb-16,Phone Serv/Equip Non-Util, TELECOMMUNICATION EQUIPMENT,3680.93,136348
MODGPC136349,26-Feb-16,Phone Serv/Equip Utility, TELECOMMUNICATION SERVICES,2565.13,136349
MODGPC136350,26-Feb-16,Steamship/Cruise Lines, CRUISE LINES,1277.28,136350
MODGPC136351,26-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,2100,136351
MODGPC136352,26-Feb-16,Automobile Rental Agency, AUTOMOBILE RENTAL AGENCY,566.02,136352
MODGPC136353,26-Feb-16,Household Appliance Stores, HOUSEHOLD APPLIANCE STORES,1110,136353
MODGPC136354,26-Feb-16,Automobile Dealers And Leasing, CAR & TRUCK DEALERS/NEW/USED,1034.7,136354
MODGPC136355,26-Feb-16,Automotive Parts Stores, AUTOMOTIVE PARTS STORES,2882.04,136355
MODGPC136356,26-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,1825,136356
MODGPC136357,26-Feb-16,Laundry/Cleaning/Garment Sv, LAUNDRY/CLEANING/GARMENT SV,3340.8,136357
MODGPC136358,26-Feb-16,Eating Places/Restaurants, RESTAURANTS,1474.74,136358
MODGPC136359,27-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,2137.9,136359
MODGPC136360,26-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,1550.81,136360
MODGPC136361,26-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,2920,136361
MODGPC136362,26-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,650,136362
MODGPC136363,26-Feb-16,Govt Serv - Default, GOV'T SERV - DEFAULT,1413.6,136363
MODGPC136364,26-Feb-16,Govt Serv - Default, GOV'T SERV - DEFAULT,1500,136364
MODGPC136365,26-Feb-16,Discount Stores, DISCOUNT STORES,1989.88,136365
MODGPC136366,23-Feb-16,Book Stores, BOOK STORES,1013.5,136366
MODGPC136367,26-Feb-16,Postage Stamps, POSTAGE STAMPS,500,136367
MODGPC136368,26-Feb-16,Steamship/Cruise Lines, CRUISE LINES,1895,136368
MODGPC136369,26-Feb-16,Computers/Peripherals/Software, COMPUTERS/PERIPHERALS/SOFTWARE,735.76,136369
MODGPC136370,26-Feb-16,Equip/Furn Rent/Lease Serv, TOOL HIRE,548.3,136370
MODGPC136371,26-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,6462.33,136371
MODGPC136372,26-Feb-16,Mens/Womens Clothing Stores, MENS/WOMENS CLOTHING STORES,3429.24,136372
MODGPC136373,26-Feb-16,Hospitals, HOSPITALS,1221.42,136373
MODGPC136374,26-Feb-16,Hospitals, HOSPITALS,2339.88,136374
MODGPC136375,26-Feb-16,Eating Places/Restaurants, RESTAURANTS,1180.19,136375
MODGPC136376,26-Feb-16,Govt Serv - Default, GOV'T SERV - DEFAULT,1155.6,136376
MODGPC136377,26-Feb-16,Equip/Furn Rent/Lease Serv, TOOL HIRE,607.68,136377
MODGPC136378,24-Feb-16,Auto Service Shops/Non Dealer, AUTO SERVICE SHOPS/NON DEALER,1690.08,136378
MODGPC136379,26-Feb-16,Amusement/Rec Serv - Def, RECREATION SERVICES,1280.2,136379
MODGPC136380,26-Feb-16,Misc Speciality Retail, MISC SPECIALTY RETAIL,5791.93,136380
MODGPC136381,28-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,966.9,136381
MODGPC136382,25-Feb-16,Business Services - Default, BUSINESS SERVICES - DEFAULT,1212,136382
MODGPC136383,26-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,812.09,136383
MODGPC136384,26-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,965.44,136384
MODGPC136385,26-Feb-16,Marriott, MARRIOTT,708.5,136385
MODGPC136386,26-Feb-16,Business Services - Default, BUSINESS SERVICES - DEFAULT,984,136386
MODGPC136387,28-Feb-16,Towneplace Suites, TOWNEPLACE SUITES,509.01,136387
MODGPC136388,26-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,11210,136388
MODGPC136389,28-Feb-16,Springhill Hotel And Casino, SPRINGHILL SUITES,1055.23,136389
MODGPC136390,28-Feb-16,Springhill Hotel And Casino, SPRINGHILL SUITES,760.73,136390
MODGPC136391,25-Feb-16,Truck/Trailer Rentals, TRUCK/UTILITY TRAILER RENTALS,604.69,136391
MODGPC136392,28-Feb-16,Springhill Hotel And Casino, SPRINGHILL SUITES,760.73,136392
MODGPC136393,25-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,666.63,136393
MODGPC136394,28-Feb-16,Tourist Attractions And Xhbt, TOURIST ATTRACTIONS AND XHBT,651.5,136394
MODGPC136395,26-Feb-16,Industrial Supplies - Def, INDUSTRIAL SUPPLIES - DEF,801.79,136395
MODGPC136396,26-Feb-16,Stationery/Office Supplies, STATIONERY/OFFICE SUPPLIES,1900.8,136396
MODGPC136397,25-Feb-16,Holiday Inn, HOLIDAY INN,1329.56,136397
MODGPC136398,26-Feb-16,Stationery/Office Supplies, STATIONERY/OFFICE SUPPLIES,2090.92,136398
MODGPC136399,26-Feb-16,Misc Speciality Retail, MISC SPECIALTY RETAIL,841.5,136399
MODGPC136400,26-Feb-16,Clothing/Rent/Costume/Unifo, CLOTHING/RENT/COSTUME/UNIFO,2671.88,136400
MODGPC136401,26-Feb-16,Misc Publishing & Printing, MISC PUBLISHING & PRINTING,2064,136401
MODGPC136402,26-Feb-16,Electrical Parts/Equipment, ELECTRICAL PARTS/EQUIPMENT,1482.61,136402
MODGPC136403,25-Feb-16,Business Services - Default, BUSINESS SERVICES - DEFAULT,537.6,136403
MODGPC136404,26-Feb-16,Electrical Contractors, ELECTRICAL CONTRACTORS,2976.6,136404
MODGPC136405,26-Feb-16,Electrical Contractors, ELECTRICAL CONTRACTORS,12564.46,136405
MODGPC136406,26-Feb-16,Misc Speciality Retail, MISC SPECIALTY RETAIL,4800,136406
MODGPC136407,27-Feb-16,New Otani Hotels, OTANI HOTEL,2314.54,136407
MODGPC136408,27-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,1109.8,136408
MODGPC136409,26-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,838.13,136409
MODGPC136410,26-Feb-16,Sporting Goods Stores, SPORTING GOODS STORES,2279,136410
MODGPC136411,26-Feb-16,Automotive Parts Stores, AUTOMOTIVE PARTS STORES,1271.4,136411
MODGPC136412,26-Feb-16,Hospitals, HOSPITALS,7300.4,136412
MODGPC136413,26-Feb-16,Lab/Med/Hospital Equipment," LABORATORY, MEDICAL AND HOSPITAL EQUIPMENT",960,136413
MODGPC136414,26-Feb-16,Lab/Med/Hospital Equipment," LABORATORY, MEDICAL AND HOSPITAL EQUIPMENT",748.8,136414
MODGPC136415,24-Feb-16,Book Stores, BOOK STORES,1236.11,136415
MODGPC136416,24-Feb-16,Book Stores, BOOK STORES,741,136416
MODGPC136417,26-Feb-16,Electrical Parts/Equipment, ELECTRICAL PARTS/EQUIPMENT,807.62,136417
MODGPC136418,25-Feb-16,Uniforms & Commercial Clothing, UNIFORMS & COMMERCIAL CLOTHING,1081.04,136418
MODGPC136419,26-Feb-16,Transportation Svcs - Default, TRANSPORTATION SVCS - DEFAULT,1593,136419
MODGPC136420,26-Feb-16,Transportation Svcs - Default, TRANSPORTATION SVCS - DEFAULT,1593,136420
MODGPC136421,26-Feb-16,Transportation Svcs - Default, TRANSPORTATION SVCS - DEFAULT,1593,136421
MODGPC136422,26-Feb-16,Stationery/Office Supplies, STATIONERY/OFFICE SUPPLIES,618,136422
MODGPC136423,26-Feb-16,Business Services - Default, BUSINESS SERVICES - DEFAULT,506.94,136423
MODGPC136424,26-Feb-16,Stationery/Office Supplies, STATIONERY/OFFICE SUPPLIES,2000,136424
MODGPC136425,26-Feb-16,Schools - Default, SCHOOLS - DEFAULT,644,136425
MODGPC136426,26-Feb-16,Automotive Parts Stores, AUTOMOTIVE PARTS STORES,870.32,136426
MODGPC136427,25-Feb-16,Automotive Parts Stores, AUTOMOTIVE PARTS STORES,558.72,136427
MODGPC136428,25-Feb-16,Automotive Parts Stores, AUTOMOTIVE PARTS STORES,933.38,136428
MODGPC136429,25-Feb-16,Auto Body Repair Shops, AUTO BODY REPAIR SHOPS,1355,136429
MODGPC136430,25-Feb-16,Automotive Parts Stores, AUTOMOTIVE PARTS STORES,1137.62,136430
MODGPC136431,25-Feb-16,Chemicals/Allied Prods - Def, CHEMICALS/ALLIED PRODS - DEF,1758,136431
MODGPC136432,25-Feb-16,Continuity/Subscription Mercht, CONTINUITY/SUBSCRIPTION MERCHT,2850,136432
MODGPC136433,25-Feb-16,Sports/Riding Apparel Store, SPORTS/RIDING APPAREL STORES,2474.62,136433
MODGPC136434,25-Feb-16,Sports/Riding Apparel Store, SPORTS/RIDING APPAREL STORES,501.66,136434
MODGPC136435,25-Feb-16,Stationery Stores, STATIONERY STORES,3782.28,136435
MODGPC136436,25-Feb-16,Bicycle Shops/Sales/Service, BICYCLE SHOPS/SALES/SERVICE,2104.99,136436
MODGPC136437,24-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,516,136437
MODGPC136438,25-Feb-16,Department Stores, DEPARTMENT STORES,1872.3,136438
MODGPC136439,25-Feb-16,Member Organizations - Def, MEMBER ORGANIZATIONS - DEF,613,136439
MODGPC136440,25-Feb-16,Computer Software Stores, COMPUTER SOFTWARE STORES,4799.98,136440
MODGPC136441,24-Feb-16,Electrical Parts/Equipment, ELECTRICAL PARTS/EQUIPMENT,665.64,136441
MODGPC136442,24-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,750.43,136442
MODGPC136443,25-Feb-16,Postage Stamps, POSTAGE STAMPS,678,136443
MODGPC136444,24-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,643.68,136444
MODGPC136445,25-Feb-16,Equip/Furn Rent/Lease Serv, TOOL HIRE,555.72,136445
MODGPC136446,25-Feb-16,Lab/Med/Hospital Equipment," LABORATORY, MEDICAL AND HOSPITAL EQUIPMENT",756,136446
MODGPC136447,25-Feb-16,Sporting Goods Stores, SPORTING GOODS STORES,13418.71,136447
MODGPC136448,25-Feb-16,Lodging/Hotels/Motels/Resorts, HOTELS/MOTELS/RESORTS,522.41,136448
