Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number,Amount,Vat Registration Num,PO Line Description,Expenditure Type,Contract Number
Department of Health,Department of Health,01/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Redbridge Produce & Flowers,,,NOR0112,37287.41,,,,
Department of Health,Department of Health,01/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Redbridge Produce & Flowers,,,SUN0112,28376.75,,,,
Department of Health,Department of Health,01/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Redbridge Produce & Flowers,,,DUR0112,53891.31,,,,
Department of Health,Department of Health,01/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Total Produce Plc,,,H12010131885,38148.87,,,,
Department of Health,Department of Health,01/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Total Produce Plc,,,H12010131916,38789.87,,,,
Department of Health,Department of Health,01/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Total Produce Plc,,,H12010131937,38880.25,,,,
Department of Health,Department of Health,01/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,GW Price Ltd,,,780652,55670.2,,,,
Department of Health,Department of Health,01/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,GW Price Ltd,,,780658,26818.44,,,,
Department of Health,Department of Health,01/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,GW Price Ltd,,,780653,28871.4,,,,
Department of Health,Department of Health,01/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,GW Price Ltd,,,780660,42037.14,,,,
Department of Health,Department of Health,01/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,GW Price Ltd,,,780657,64747.28,,,,
Department of Health,Department of Health,01/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,GW Price Ltd,,,780656,43838.96,,,,
Department of Health,Department of Health,01/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,GW Price Ltd,,,780664,41754.08,,,,
Department of Health,Department of Health,01/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,GW Price Ltd,,,780650,30669.92,,,,
Department of Health,Department of Health,01/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Total Produce Plc,,,W12010131352,51739.12,,,,
Department of Health,Department of Health,01/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Total Produce Plc,,,W12010131353,26250.79,,,,
Department of Health,Department of Health,01/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Total Produce Plc,,,W12010131356,25232.88,,,,
Department of Health,Department of Health,01/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Total Produce Plc,,,W12010131895,30497.64,,,,
Department of Health,Department of Health,01/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Total Produce Plc,,,W12010131896,29216.16,,,,
Department of Health,Department of Health,01/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Total Produce Plc,,,H12010131885,38148.87,,,,
Department of Health,Department of Health,01/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Total Produce Plc,,,H12010131916,38789.87,,,,
Department of Health,Department of Health,01/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Total Produce Plc,,,H12010131937,38880.25,,,,
Department of Health,Department of Health,01/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Total Produce Plc,,,B12010131878,66853.03,,,,
Department of Health,Department of Health,01/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Total Produce Plc,,,B12010131801,29938.5,,,,
Department of Health,Department of Health,01/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Total Produce Plc,,,B12010131865,43269.09,,,,
Department of Health,Department of Health,01/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Total Produce Plc,,,B12010131933,46880.78,,,,
Department of Health,Department of Health,08/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Minor Weir & Willis Ltd,,,SFVS001659,28141.889,,,,
Department of Health,Department of Health,08/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Minor Weir & Willis Ltd,,,SFVS001661,29669.277,,,,
Department of Health,Department of Health,08/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Minor Weir & Willis Ltd,,,SFVS001662,28818.139,,,,
Department of Health,Department of Health,08/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Minor Weir & Willis Ltd,,,SFVS001664,26606.064,,,,
Department of Health,Department of Health,08/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Minor Weir & Willis Ltd,,,SFVS001667,90557.745,,,,
Department of Health,Department of Health,08/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Minor Weir & Willis Ltd,,,SFVS001668,26074.83,,,,
Department of Health,Department of Health,08/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Minor Weir & Willis Ltd,,,SFVS001669,25061.76,,,,
Department of Health,Department of Health,08/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Minor Weir & Willis Ltd,,,SFVS001670,28941.635,,,,
Department of Health,Department of Health,08/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Minor Weir & Willis Ltd,,,SFVS001677,39331.823,,,,
Department of Health,Department of Health,08/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Minor Weir & Willis Ltd,,,SFVS001679,53554.878,,,,
Department of Health,Department of Health,08/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Minor Weir & Willis Ltd,,,SFVS001681,33754.682,,,,
Department of Health,Department of Health,08/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Minor Weir & Willis Ltd,,,SFVS001682,25335.39,,,,
Department of Health,Department of Health,08/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Minor Weir & Willis Ltd,,,SFVS001684,62257.185,,,,
Department of Health,Department of Health,08/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Minor Weir & Willis Ltd,,,SFVS001692,50947.169,,,,
Department of Health,Department of Health,08/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Minor Weir & Willis Ltd,,,SFVS001694,68199.659,,,,
Department of Health,Department of Health,08/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Minor Weir & Willis Ltd,,,SFVS001698,106361.476,,,,
Department of Health,Department of Health,08/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Minor Weir & Willis Ltd,,,SFVS001699,41142.788,,,,
Department of Health,Department of Health,08/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Minor Weir & Willis Ltd,,,SFVS001700,68496.675,,,,
Department of Health,Department of Health,08/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Minor Weir & Willis Ltd,,,SFVS001701,53491.267,,,,
Department of Health,Department of Health,08/02/2012,School Fruit & Vegetable Scheme,Health Improvement & Protection,Minor Weir & Willis Ltd,,,SFVS001702,50571.879,,,,
Department of Health,Department of Health,01/03/2012,Outsourcing Contract,CDD CORPORATE DEVELOPMENT,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201272555,26193.96,,Managed Print Click Charges - From 01/04/2011 to 31/03/2012,Admin,
Department of Health,Department of Health,01/03/2012,Rent of Land & Buildings (non-PFI operating lease),CDD CORPORATE DEVELOPMENT,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,5024856,514572.51,,"Quarry House Leeds - Accommodation Costs July - March 2012 Facilty Price Rent@£484,377.05 mthly.",Admin,
Department of Health,Department of Health,01/03/2012,Utilities,CDD CORPORATE DEVELOPMENT,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,5024904,41860.53,,"Quarry House Leeds - Accommodation Costs July - March 2012 Utilities Recovery @£40,526.53 mthly",Admin,
Department of Health,Department of Health,01/03/2012,Facilities management: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00224806RI,32615.46,,Skipton House - Air Handling Unit (AHU2) Extract Fan Motor No.2,Admin,
Department of Health,Department of Health,01/03/2012,Building repairs & maintenance,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00224800RI,26159.55,,Richmond House Lifts Inspection,Admin,
