1 Department Family,2 Entity,3 Date,4 Expense Type,5 Expense Area,6 Supplier,7 Transaction No,8 Amount
DEFRA,Marine Management Organisation,Sep-10,Grant Payments,Grants Team,Abex Fish Salters Ltd,FEF0266,"43,252.00"
DEFRA,Marine Management Organisation,Sep-10,Grant Payments,Grants Team,Waterdance Ltd,FEF0282,"89,600.00"
DEFRA,Marine Management Organisation,Sep-10,Clearing Construction in Progress (I.T.),IT & Data Directorate,IBM United Kingdom Ltd,5807100789,"61,453.68"
DEFRA,Marine Management Organisation,Sep-10,Clearing Construction in Progress (I.T.),IT & Data Directorate,IBM United Kingdom Ltd,5807100492,"39,742.03"
DEFRA,Marine Management Organisation,Sep-10,Grant Payments,Grants Team,Waterdance Ltd,FEF0283,"30,150.00"
DEFRA,Marine Management Organisation,Sep-10,Clearing Construction in Progress (I.T.),IT & Data Directorate,IBM United Kingdom Ltd,5806100883,"26,493.90"
DEFRA,Marine Management Organisation,Sep-10,Purchase of Statistical Data,Fish Stats Unit,Sea Fish Industry Authority,ED005808,"25,349.16"
DEFRA,Marine Management Organisation,Sep-10,Other Pay Costs,Various cost centres,DEFRA,1000005739,"73,344.35"
DEFRA,Marine Management Organisation,Sep-10,Aerial Surveillance Costs,Newcastle DCMO & Management Team,Directflight Ltd,221,"239,237.13"
DEFRA,Marine Management Organisation,Sep-10,Grant Payments,Grants Team,Waterdance Ltd,FEF0282030910,"61,888.00"
DEFRA,Marine Management Organisation,Sep-10,Surface Surveillance Costs,Fisheries Monitoring Centre,Ministry Of Defence,7168587,"1,907,858.08"
