Department Family,Entity,Transaction Date,Expense Type,Expense Area,Supplier Name,Transaction Number,Amount
DFID,DFID,40522,Shared Services,Human Resources Division,FCO SERVICES,400129810,30119.73
DFID,DFID,40521,Aid to partner government,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",TCI Government,400130441,3334000
DFID,DFID,40522,Technical & Advisory services,West and Southern Africa,EFFECTIVE DEVELOPMENT GROUP,400130492,38805.6
DFID,DFID,40521,Aid to international organisations,Policy and Research Directorate,AFRICA RICE CENTER,400130899,332215
DFID,DFID,40521,Aid to international organisations,Policy and Research Directorate,ICARDA,400130978,544815
DFID,DFID,40521,Technical & Advisory services,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",TECHNICAL PROCURMENT SERVICES (GBP),400131201,188186
DFID,DFID,40521,Technical & Advisory services,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",TECHNICAL PROCUREMENT SERVICES (USD),400131252,267036
DFID,DFID,40514,Aid to civil society organisations / NGOs,East and Central Africa, ISLAMIC RELIEF,400131345,345510.18
DFID,DFID,40518,Aid to other bilateral donors,Asia Division,SDC,400131347,500000
DFID,DFID,40521,Technical & Advisory services,Policy and Research Directorate,Chatham House Enterprises,400131356,49934
DFID,DFID,40519,Aid to partner government,Asia Division,THE CROWN AGENTS,400131376,1263655.78
DFID,DFID,40513,Aid to civil society organisations / NGOs,Western Asia and Stabilisation Division,CARE INTERNATIONAL,400131413,1000000
DFID,DFID,40513,Technical & Advisory services,Policy and Research Directorate,EMERGING MARKETS GROUP,400131433,115459.53
DFID,DFID,40514,Technical & Advisory services,Asia Division,Best Practices Foundation,400131489,48162.79
DFID,DFID,40514,Technical & Advisory services,Western Asia and Stabilisation Division,THE CROWN AGENTS,400131501,44212
DFID,DFID,40515,Technical & Advisory services,Western Asia and Stabilisation Division,THE CROWN AGENTS,400131503,43645
DFID,DFID,40514,Aid to civil society organisations / NGOs,Asia Division,OXFAM (General Account),400131514,32389.92
