Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount £,Description
Cabinet Office,CABINET OFFICE,01/11/2010,"Travel, Subsistence and Hospitality",CENTRAL BUDGETS,EDF TRADING LTD,3000012936,"29,386.50",Required purchase of carbon off-setting credits for official travel for April to September 2010
Cabinet Office,CABINET OFFICE,01/11/2010,Other Staff Related Costs,ERG - OFFICE FOR CIVIL SOCIETY,IMPROVEMENT & DEVELOPMENT AGENCY,3000012938,"212,766.00",National Programme for Third Sector Commissioning - to provide training for commissioners of public services to better engage with civil society organisations
Cabinet Office,CABINET OFFICE,02/11/2010,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000012960,"26,605.43",Facilities management services 
Cabinet Office,CABINET OFFICE,02/11/2010,Hire of Plant and Machines Memorandum Accounts,IT AND TELECOMS BRANCH,FUJITSU SERVICES,3000012962,"39,212.09",ICT services charges
Cabinet Office,Cabinet Office,02/11/2010,Property and Estates Benchmarking,ERG - Office of Government Commerce,INVESTMENT PROPERTY DATABANK,88554,"53,250.00","Monthly payment for contract for analysis, benchmarking and reporting the performance of central government offices "
Cabinet Office,CABINET OFFICE,03/11/2010,"Travel, Subsistence and Hospitality",ESTATE MANAGEMENT,ECOVERT FM LTD,3000012982,"29,604.13",Payment for carbon reduction projects
Cabinet Office,CABINET OFFICE,03/11/2010,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000012982,"143,670.99","Monthly charges for gas, electricity and water charges for all estate buildings"
Cabinet Office,CABINET OFFICE,03/11/2010,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000012982,"267,864.75",70 Whitehall refurbishment project Phase 2
Cabinet Office,Buying Solutions,03/11/2010,Moves & Changes,Network Services,GLOBAL CROSSING,PINMTS 18727,"233,357.00",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,03/11/2010,Moves & Changes,Network Services,GLOBAL CROSSING,PINMTS 18728,"91,405.00",Government Managed Telecoms Contract
Cabinet Office,Capacity Builders,04/11/2010,Grant,Programmes,Coast and Moors Voluntary Action,1920,"77,097.95","Capital Investment Programme Strand C - this is the first stage payment of a capital project grant. This payment forms part of a grant to build a resource centre for local community and voluntary groups in  Scarborough, Whitby and surrounding  areas
"
Cabinet Office,Cabinet Office,04/11/2010,IT support and maintenance recoverable,ERG - Office of Government Commerce,CORPORATE DOCUMENT SERVICES LIMITED,88636,"79,968.22","Monthly payment for contract for support, maintenance and development of e-PIMS, the government property database  "
Cabinet Office,CABINET OFFICE,05/11/2010,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITORS DEPARTMENT,103067,"70,841.52",Charges for in-house legal team - legal fees and disbursements
